parameter_set_id,parameter_set_hash,strategy_family,trade_count,winning_trades,win_rate,total_return_pct,mean_return_pct,median_return_pct,volatility_pct,max_drawdown_pct,sharpe_like_score,parameters_json
research_parameter_set:mean_reversion:0ac395d19eb8f7c2,0ac395d19eb8f7c283bf862b6972905251b06eeb2916a5f20e6c14347a59e30a,mean_reversion,2,0,0.0,-7.5898579999999995,-3.7949289999999998,-3.7949289999999998,0.07122499999999987,7.5898579999999995,-53.28085644085653,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.25, ""holding_bars"": 2, ""lookback_bars"": 20}"
research_parameter_set:mean_reversion:1619ed2c0d076be1,1619ed2c0d076be1b2eccd9c4013c54322d1e36b6c3ede360329e86b6fab242b,mean_reversion,4,1,0.25,-13.845989,-3.46149725,-4.0204,2.8232962336546774,13.845989,-1.2260481945669546,"{""entry_zscore"": 1.25, ""exit_zscore"": 0.5, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:mean_reversion:189fbe0559f16028,189fbe0559f160288c909f5fce9dc20f67d1e83e2f2e1b04d3ab3449ac19720f,mean_reversion,4,1,0.25,-13.845989,-3.46149725,-4.0204,2.8232962336546774,13.845989,-1.2260481945669546,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.25, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:mean_reversion:1b6b09d0214d0f74,1b6b09d0214d0f746540755d99211d56bb95d51d4de9158afeec6e4a1ca2dd26,mean_reversion,7,0,0.0,-14.827006,-2.1181437142857145,-2.040202,1.063193034569884,14.827006,-1.9922475462253308,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.5, ""holding_bars"": 2, ""lookback_bars"": 5}"
research_parameter_set:mean_reversion:2559800ad3007f2f,2559800ad3007f2f9d31e15ff4e7328e8546f49ca52ed0f44c814d79213114a0,mean_reversion,2,0,0.0,-7.5898579999999995,-3.7949289999999998,-3.7949289999999998,0.07122499999999987,7.5898579999999995,-53.28085644085653,"{""entry_zscore"": 1.25, ""exit_zscore"": 0.25, ""holding_bars"": 2, ""lookback_bars"": 20}"
research_parameter_set:mean_reversion:49ac973ee6a8bc95,49ac973ee6a8bc9551163a2b3c98d81877cc5c85a9a4d033aed9256bca56ecf9,mean_reversion,1,0,0.0,-7.712308,-7.712308,-7.712308,0.0,7.712308,0.0,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.5, ""holding_bars"": 4, ""lookback_bars"": 20}"
research_parameter_set:mean_reversion:4a9d631f8d4d58f0,4a9d631f8d4d58f0a03bf7f1a58e780f2d5567f345e426cdb22275e92b9fc4ca,mean_reversion,2,0,0.0,-4.990494999999999,-2.4952474999999996,-2.4952474999999996,2.4752475,4.990494999999999,-1.0080800000808,"{""entry_zscore"": 1.25, ""exit_zscore"": 0.25, ""holding_bars"": 4, ""lookback_bars"": 10}"
research_parameter_set:mean_reversion:4f3f41541e06b304,4f3f41541e06b304c9e3d4f263873bfaea441d3d070de2f2a0fd8969157a6ddd,mean_reversion,7,0,0.0,-14.827006,-2.1181437142857145,-2.040202,1.063193034569884,14.827006,-1.9922475462253308,"{""entry_zscore"": 1.25, ""exit_zscore"": 0.5, ""holding_bars"": 2, ""lookback_bars"": 5}"
research_parameter_set:mean_reversion:50bd1284874342b9,50bd1284874342b98db50ce557f071ae7384e8acaf4eb64e2ac97573881b7dc9,mean_reversion,7,0,0.0,-14.827006,-2.1181437142857145,-2.040202,1.063193034569884,14.827006,-1.9922475462253308,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.25, ""holding_bars"": 2, ""lookback_bars"": 5}"
research_parameter_set:mean_reversion:517e9b9019602405,517e9b9019602405042ad1a0187be5847da579db120e67c7e27a952a96768558,mean_reversion,5,1,0.2,-8.723887000000001,-1.7447774,-2.060816,2.0137234118945533,8.726404000000002,-0.8664434200317892,"{""entry_zscore"": 0.75, ""exit_zscore"": 0.25, ""holding_bars"": 2, ""lookback_bars"": 10}"
