parameter_set_id,parameter_set_hash,strategy_family,trade_count,winning_trades,win_rate,total_return_pct,mean_return_pct,median_return_pct,volatility_pct,max_drawdown_pct,sharpe_like_score,parameters_json
research_parameter_set:momentum_continuation:1339b082fd2880e3,1339b082fd2880e35fadbcbd448d60c0ff8e3404d53560096d7c64108ef77e03,momentum_continuation,10,7,0.7,16.32093,1.632093,1.970099,1.4930180081481268,1.0709279999999999,1.0931502440646217,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 2, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:2103d708cead2c10,2103d708cead2c10fbc4c0f45c2284ac295d7ff8ed15b2329765631480c244b6,momentum_continuation,5,3,0.6,10.693313,2.1386626,3.940396,3.5473742851514047,2.081856,0.6028860864645751,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:39870b1ad2d83228,39870b1ad2d832289ca0f53db79d877fdd6ea08b300ccc4531cff11aa146c77e,momentum_continuation,11,8,0.7272727272727273,16.278851,1.4798955454545455,1.98,1.7337780917328998,2.103333,0.85356687370262,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0025, ""holding_bars"": 2, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:44a4f57ab3b20b2f,44a4f57ab3b20b2f8d8c47cb6318597c89de2b2bb48defe439c088168b7b70e5,momentum_continuation,5,3,0.6,12.814680999999998,2.5629361999999998,3.901569,2.616306841430599,0.990874,0.9796007713676977,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:4a163aeb41842f2e,4a163aeb41842f2e3988f3914b0ca27aa89da41f7e78ce1c606acc6ebcc9201a,momentum_continuation,3,1,0.3333333333333333,2.7611289999999995,0.9203763333333331,-0.02,3.711255234638934,3.101224,0.2479959677100667,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0, ""holding_bars"": 4, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:52094f79a17db6c0,52094f79a17db6c0798cf32e3e395ce35866f96d4e441ce9b98143c2da5b4fcb,momentum_continuation,5,3,0.6,9.669773,1.9339546,3.98,3.819905448099552,3.145,0.5062833691242712,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:57cc38dfaff8aea5,57cc38dfaff8aea5e4bc41d5d85ee615c2d50d1a93c02269002dba0bc3068668,momentum_continuation,5,3,0.6,9.669773,1.9339546,3.98,3.819905448099552,3.145,0.5062833691242712,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:5e9183037b91b7d4,5e9183037b91b7d4aab8b6526fefbcefa08cd46107e80353e4098e61c162118b,momentum_continuation,9,6,0.6666666666666666,10.503402,1.1670446666666667,1.960198,1.9455951793207709,2.101856,0.5998394111328417,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0, ""holding_bars"": 2, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:70b8564c938e9980,70b8564c938e9980be81fd6f69097248dfa78bf791a022a84940038bf8222d0f,momentum_continuation,10,7,0.7,16.32093,1.632093,1.970099,1.4930180081481268,1.0709279999999999,1.0931502440646217,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0, ""holding_bars"": 2, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:7102c8983577fed8,7102c8983577fed84ea8af3ab50ef13b860f33ea1ba2cbc6dd6efa47e6d87dc9,momentum_continuation,3,1,0.3333333333333333,2.7611289999999995,0.9203763333333331,-0.02,3.711255234638934,3.101224,0.2479959677100667,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0, ""holding_bars"": 4, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:7957ba5f3bb32866,7957ba5f3bb32866395a8f40427741ee6589f07f5c345bd4c331ce8d7863d3b7,momentum_continuation,5,3,0.6,10.693313,2.1386626,3.940396,3.5473742851514047,2.081856,0.6028860864645751,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:799ebde1d585179d,799ebde1d585179d17c4ae09ee8ffa210af1bbae9ecad1b5bdc6427595102479,momentum_continuation,7,4,0.5714285714285714,6.287309,0.898187,1.940784,2.394149491627037,5.184149,0.3751591131385878,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0, ""holding_bars"": 2, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:7dbfdc1c231dca14,7dbfdc1c231dca1463a70b58f924a10d5004dc7ff5a1fa9eda8d7bef5a132df0,momentum_continuation,5,3,0.6,11.822579999999999,2.3645159999999996,3.940396,2.846835693674435,1.050928,0.830576912202509,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:a8c62f782fde28ab,a8c62f782fde28abb997f3cdf7d1f64988d51d1f086279f2ca4657e361e174ab,momentum_continuation,11,8,0.7272727272727273,16.278851,1.4798955454545455,1.98,1.7337780917328998,2.103333,0.85356687370262,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0, ""holding_bars"": 2, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:b33f02734899f37f,b33f02734899f37f5b877da9e816d745cc8aab016bce82501addd98e184439b3,momentum_continuation,5,3,0.6,11.822579999999999,2.3645159999999996,3.940396,2.846835693674435,1.050928,0.830576912202509,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0, ""holding_bars"": 4, ""lookback_bars"": 3}"
research_parameter_set:momentum_continuation:b41ef5aac1317e35,b41ef5aac1317e35e09b703b8beaa7ca30642fb417b06caeba59ef8fe25372c7,momentum_continuation,9,6,0.6666666666666666,9.501933,1.0557703333333333,1.98,2.044694840254381,3.1437410000000003,0.5163461620522232,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 2, ""lookback_bars"": 5}"
research_parameter_set:momentum_continuation:b6a35d47dd981b26,b6a35d47dd981b26068898a1d822265bb123c4420428bad48535f95aef40a8e5,momentum_continuation,7,4,0.5714285714285714,6.287309,0.898187,1.940784,2.394149491627037,5.184149,0.3751591131385878,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0, ""holding_bars"": 2, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:b7094651149c754e,b7094651149c754ecfe158eae93ed101eb214baa2eaae919d9051dc769b31c29,momentum_continuation,3,1,0.3333333333333333,2.7611289999999995,0.9203763333333331,-0.02,3.711255234638934,3.101224,0.2479959677100667,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:ba4dab488ca6fe61,ba4dab488ca6fe61cd32455b7e8aee34d5a7bd42ac78b8f419fdd58e839111f2,momentum_continuation,3,1,0.3333333333333333,2.7611289999999995,0.9203763333333331,-0.02,3.711255234638934,3.101224,0.2479959677100667,"{""entry_threshold"": 0.005, ""exit_threshold"": 0.0025, ""holding_bars"": 4, ""lookback_bars"": 10}"
research_parameter_set:momentum_continuation:bafdfbb3afcf1d0c,bafdfbb3afcf1d0c5ddc281792806267f700166ba6eab5d8e1fab4e4702265e2,momentum_continuation,7,4,0.5714285714285714,6.287309,0.898187,1.940784,2.394149491627037,5.184149,0.3751591131385878,"{""entry_threshold"": 0.01, ""exit_threshold"": 0.0025, ""holding_bars"": 2, ""lookback_bars"": 10}"
