Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06062025,1845136202,0002737
Trade Date <06-JUN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,6,3,50.00
20,2,1003ISFL28,N4,88,88,100.00
20,3,1015ECL29,NR,2297,1397,60.82
20,4,1015UCL26,N1,13,13,100.00
20,5,1025SCL35A,N1,1,1,100.00
20,6,1025UCL26A,N1,7,6,85.71
20,7,1030SFIL28,NM,76,51,67.11
20,8,1035UCL26,NA,17,17,100.00
20,9,1050ISFL28,N5,431,395,91.65
20,10,1050NFL26,N7,94,94,100.00
20,11,1050UCL28,NH,332,332,100.00
20,12,105IIFL29,N7,85,85,100.00
20,13,1060ECL29,NS,80,80,100.00
20,14,1065NFL27,NC,2987,2737,91.63
20,15,1075NFL25,N6,208,208,100.00
20,16,1075UCL25,N9,100,100,100.00
20,17,10IIFL28,N4,10,10,100.00
20,18,10IIFL28A,NE,65,65,100.00
20,19,10IIFLSF27,NB,10,10,100.00
20,20,10NFL25,N9,99,99,100.00
20,21,10NIDO26,N6,175,175,100.00
20,22,12VCCL29B,N0,11,10,90.91
20,23,182D021025,TB,200,100,50.00
20,24,182D061125,TB,100,100,100.00
20,25,182D101025,TB,100,100,100.00
20,26,182D140825,TB,100,100,100.00
20,27,182D161025,TB,100,100,100.00
20,28,182D170725,TB,100,100,100.00
20,29,182D231025,TB,200,200,100.00
20,30,182D310725,TB,300,300,100.00
20,31,182D311025,TB,200,200,100.00
20,32,20MICRONS,EQ,167624,76520,45.65
20,33,21STCENMGM,EQ,11278,8525,75.59
20,34,360ONE,EQ,2406203,1048145,43.56
20,35,364D030725,TB,500,500,100.00
20,36,364D091025,TB,100,100,100.00
20,37,364D100426,TB,5100,5100,100.00
20,38,364D140526,TB,100,100,100.00
20,39,3IINFOLTD,EQ,355928,173259,48.68
20,40,3MINDIA,EQ,2253,1305,57.92
20,41,3PLAND,EQ,39060,24771,63.42
20,42,563GS2026,GS,503,503,100.00
20,43,574GS2026,GS,5001,5001,100.00
20,44,585GS2030,GS,2,1,50.00
20,45,5PAISA,EQ,83325,35464,42.56
20,46,610GS2031,GS,600,600,100.00
20,47,633GS2035,GS,100,100,100.00
20,48,63MOONS,EQ,828896,350697,42.31
20,49,664GS2027,GS,100,100,100.00
20,50,664GS2035,GS,1198,599,50.00
20,51,667GS2035,GS,5,4,80.00
20,52,676GS2061,GS,79215,79215,100.00
20,53,679GS2031,GS,8000,8000,100.00
20,54,679GS2034A,GS,1000,1000,100.00
20,55,68GS2060,GS,1000,1000,100.00
20,56,690GS2065,GS,17992,17992,100.00
20,57,695GS2061,GS,10725,10725,100.00
20,58,698GR2054,GS,100,100,100.00
20,59,699GS2026,GS,302,300,99.34
20,60,699GS2051,GS,27736,25729,92.76
20,61,702GS2027,GS,8600,8600,100.00
20,62,702GS2031,GS,9000,9000,100.00
20,63,704GS2029,GS,400,400,100.00
20,64,706GS2028,GS,110,110,100.00
20,65,706GS2046,GS,99,99,100.00
20,66,706WB36,SG,100,100,100.00
20,67,707IRFC25,NF,300,300,100.00
20,68,709GS2054,GS,100,100,100.00
20,69,709GS2074,GS,26655,26655,100.00
20,70,710GS2029,GS,2,2,100.00
20,71,714NHAI26,N7,1142,1142,100.00
20,72,718GS2033,GS,2770,2770,100.00
20,73,718GS2037,GS,10739,10739,100.00
20,74,719GS2060,GS,1000,1000,100.00
20,75,719HUDCO28,N7,500,500,100.00
20,76,71GS2034,GS,1000,1000,100.00
20,77,725GS2063,GS,70305,69505,98.86
20,78,726GS2032,GS,10504,10001,95.21
20,79,729NHAI26,NC,2,2,100.00
20,80,732GS2030,GS,1600,1600,100.00
20,81,733GS2026,GS,4109,4000,97.35
20,82,733TN33,SG,400,400,100.00
20,83,734GS2064,GS,65800,65800,100.00
20,84,734RJ33A,SG,100,100,100.00
20,85,736GS2052,GS,2199,2199,100.00
20,86,736NTPC25D,NB,1281,1281,100.00
20,87,736PFCL28,N2,490,490,100.00
20,88,737GS2028,GS,5900,5900,100.00
20,89,737NTPC35C,NA,46,40,86.96
20,90,738GS2027,GS,74352,74352,100.00
20,91,73GS2053,GS,51,50,98.04
20,92,740IIFCL33,N1,1011,1001,99.01
20,93,741GS2036,GS,3550,3550,100.00
20,94,743REC35,NH,21,21,100.00
20,95,746GS2073,GS,47895,47895,100.00
20,96,750IRFC35,NK,345,345,100.00
20,97,751HUDCO28,N5,139,139,100.00
20,98,753IRFC30,NJ,1,1,100.00
20,99,754GS2036,GS,823446,753515,91.51
20,100,759GS2026,GS,2,2,100.00
20,101,760PFCL35,N3,28,28,100.00
20,102,762NTPC35F,ND,214,214,100.00
20,103,764HUDCO31,N8,453,398,87.86
20,104,764NABAR31,N2,155,150,96.77
20,105,769HUDCO31,N9,754,417,55.31
20,106,769NHAI31,NE,327,327,100.00
20,107,76NHAI31,NA,3627,3237,89.25
20,108,774IREDA31,N7,980,780,79.59
20,109,777PN33,SG,100,100,100.00
20,110,79NHIT35,N1,2412,2412,100.00
20,111,79NHIT40,N2,539,539,100.00
20,112,79NHIT47,N3,260,250,96.15
20,113,810IRFC27,N2,250,250,100.00
20,114,81TCHF28,N8,50,50,100.00
20,115,820IIFL27,N9,10,10,100.00
20,116,824GS2027,GS,2435,2435,100.00
20,117,82HUDCO27,N2,724,684,94.48
20,118,82IGT31,NJ,1778,1517,85.32
20,119,830PFCL27,N5,300,300,100.00
20,120,832GS2032,GS,200,200,100.00
20,121,833GS2026,GS,240,240,100.00
20,122,835SCL23B,YM,45,45,100.00
20,123,842IIFL26,NL,981,981,100.00
20,124,843IHFL29,NC,151,151,100.00
20,125,847SCL25,Z2,159,159,100.00
20,126,84TCHF28,NA,100,100,100.00
20,127,850IIFL27,NA,260,260,100.00
20,128,865IHFL27,N1,10,10,100.00
20,129,865IRFC29,NA,545,545,100.00
20,130,865LTF26,NN,22,12,54.55
20,131,865TCAPS27,N8,3600,3000,83.33
20,132,871REC28,N9,928,631,68.00
20,133,872MMFSL26,N1,15,15,100.00
20,134,875IHFL29,ND,100,100,100.00
20,135,875IIFL26A,NQ,30,30,100.00
20,136,875NHAI29,N6,3871,3828,98.89
20,137,876HUDCO28,ND,774,624,80.62
20,138,879NHPC28,N5,420,280,66.67
20,139,87LTF27,NH,26,26,100.00
20,140,87SCL27A,ZK,80,55,68.75
20,141,880IREDA29,N5,101,101,100.00
20,142,885IHL26,N1,20,20,100.00
20,143,885MOFSL26,N0,10,10,100.00
20,144,886REC34,NG,34,34,100.00
20,145,888IRFC29,NE,2245,1611,71.76
20,146,888REC29,NF,564,564,100.00
20,147,889SCL28,NU,10,10,100.00
20,148,891IIFCL34,N4,1,1,100.00
20,149,892NHPC33,N6,761,761,100.00
20,150,892PFCL33,N8,458,458,100.00
20,151,894SCL25,Z3,10,10,100.00
20,152,897MOFSL29,N4,427,427,100.00
