Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28052025,2076419353,0002737
Trade Date <28-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003SFIL28,NX,1,1,100.00
20,2,1015ECL29,NR,418,411,98.33
20,3,1015SCL29T,N1,569,559,98.24
20,4,1018GS2026,GS,4,3,75.00
20,5,1035UCL26,NA,3,3,100.00
20,6,1040NFL26,NA,11,11,100.00
20,7,1050NFL26,N7,5,5,100.00
20,8,1050UCL25,N7,57,57,100.00
20,9,1050UCL28,NH,351,351,100.00
20,10,105IIFL29,N7,200,200,100.00
20,11,105UCL2026,NB,44,22,50.00
20,12,1060ECL29,NS,275,275,100.00
20,13,1065NFL27,NC,93,93,100.00
20,14,1075NFL25,N6,71,71,100.00
20,15,1075SCL34T,N1,2,1,50.00
20,16,1075UCL25,N9,9,9,100.00
20,17,10CAGL27,N5,1,1,100.00
20,18,10IIFL28,N4,210,140,66.67
20,19,10IIFL28A,NE,400,400,100.00
20,20,10IIFL29,N6,335,335,100.00
20,21,10IIFLSF27,NB,50,50,100.00
20,22,10NFL25,N9,138,138,100.00
20,23,10NIDO26,N6,155,155,100.00
20,24,1180VCCL26,N0,1,1,100.00
20,25,12VCCL29B,N0,10,10,100.00
20,26,182D050625,TB,200,200,100.00
20,27,20MICRONS,EQ,81415,45375,55.73
20,28,21STCENMGM,EQ,3759,3712,98.75
20,29,360ONE,EQ,671847,501987,74.72
20,30,364D050226,TB,100,100,100.00
20,31,364D260625,TB,600,300,50.00
20,32,364D310725,TB,5000,5000,100.00
20,33,3IINFOLTD,EQ,393177,184858,47.02
20,34,3MINDIA,EQ,17684,5002,28.29
20,35,3PLAND,EQ,60541,44310,73.19
20,36,515GS2025,GS,1,1,100.00
20,37,563GS2026,GS,8,7,87.50
20,38,574GS2026,GS,2000,2000,100.00
20,39,577GS2030,GS,200,200,100.00
20,40,579GS2030,GS,1,1,100.00
20,41,585GS2030,GS,3,3,100.00
20,42,5PAISA,EQ,44106,23131,52.44
20,43,633GS2035,GS,200,200,100.00
20,44,63MOONS,EQ,162353,69671,42.91
20,45,664GS2027,GS,100,100,100.00
20,46,667GS2050,GS,12,12,100.00
20,47,675GS2029,GS,2527,2525,99.92
20,48,676GS2061,GS,2901,2901,100.00
20,49,679GS2031,GS,4300,4300,100.00
20,50,690GS2065,GS,31,31,100.00
20,51,692GS2039,GS,594,494,83.16
20,52,695GS2061,GS,6,4,66.67
