Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06112024,1317544188,0002584
Trade Date <06-NOV-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,1,1,100.00
20,2,1003ICCL28,NX,2,2,100.00
20,3,1003IIFL29,NC,25,25,100.00
20,4,1003ISFL28,N4,362,362,100.00
20,5,1003SCL30A,NV,2,2,100.00
20,6,1015ECL29,NR,300,299,99.67
20,7,1018GS2026,GS,1738,1738,100.00
20,8,1025NFL25,N5,200,200,100.00
20,9,1025UCL25,N8,50,50,100.00
20,10,1040UCL25,N4,50,50,100.00
20,11,1040UCL27B,N1,10,10,100.00
20,12,1049DLS25A,Y5,85,60,70.59
20,13,1049DLSL25,NX,111,111,100.00
20,14,1050NFL26,N7,253,253,100.00
20,15,1050UCL25,N7,165,165,100.00
20,16,105IIFL29,N7,80,80,100.00
20,17,1065NFL27,NC,32,32,100.00
20,18,1075UCL25,N9,40,40,100.00
20,19,10IIFL28,N4,123,123,100.00
20,20,10IIFL28A,NE,60,60,100.00
20,21,10IIFL29,N6,30,30,100.00
20,22,10NFL25,N9,10,10,100.00
20,23,10NIDO26,N6,30,30,100.00
20,24,10SCL30A,BV,20,17,85.00
20,25,1119NFL27,ND,11,11,100.00
20,26,11UCL26,NC,20,20,100.00
20,27,182D060225,TB,200,100,50.00
20,28,182D121224,TB,500,500,100.00
20,29,182D140225,TB,1000,1000,100.00
20,30,182D240425,TB,100,100,100.00
20,31,182D270225,TB,9000,9000,100.00
20,32,182D281124,TB,300,300,100.00
20,33,360ONE,EQ,162519,68238,41.99
20,34,364D030425,TB,100,100,100.00
20,35,364D060225,TB,3100,3100,100.00
20,36,364D091025,TB,1000,1000,100.00
20,37,364D100725,TB,200,200,100.00
20,38,364D110425,TB,2000,2000,100.00
20,39,364D211124,TB,100,100,100.00
20,40,364D261224,TB,10100,10100,100.00
20,41,364D270325,TB,900,900,100.00
20,42,3IINFOLTD,EQ,779962,384310,49.27
20,43,3MINDIA,EQ,2669,488,18.28
20,44,522GS2025,GS,4,2,50.00
20,45,574GS2026,GS,1017,1015,99.80
20,46,5PAISA,EQ,45524,20444,44.91
20,47,619GS2034,GS,4996,3996,79.98
20,48,63MOONS,EQ,480054,199544,41.57
20,49,654GS2032,GS,19004,19000,99.98
20,50,664GS2035,GS,100,100,100.00
20,51,679GS2027,GS,250000,250000,100.00
20,52,679GS2034,GS,100,100,100.00
20,53,689GS2025,GS,1,1,100.00
20,54,68GS2060,GS,6697,3397,50.72
20,55,695GS2061,GS,3,3,100.00
20,56,697GR2034,GS,300,300,100.00
20,57,699GS2026,GS,1002,1002,100.00
20,58,699GS2051,GS,1,1,100.00
20,59,702GS2027,GS,3640,3490,95.88
20,60,702GS2031,GS,300,300,100.00
20,61,704GS2029,GS,2831,2780,98.20
20,62,706GS2028,GS,4002,3002,75.01
20,63,709GS2054,GS,301,301,100.00
20,64,710GS2029,GS,13955,8955,64.17
20,65,717GS2030,GS,5200,5200,100.00
20,66,718GS2033,GS,650,650,100.00
20,67,718GS2037,GS,5745,3025,52.65
20,68,71GS2034,GS,697,697,100.00
20,69,723GS2039,GS,11450,11450,100.00
20,70,725GS2063,GS,5891,5891,100.00
20,71,726GS2032,GS,19600,19600,100.00
20,72,726GS2033,GS,15000,15000,100.00
20,73,727GS2026,GS,2,2,100.00
20,74,729IRFC26,NN,4,2,50.00
20,75,732GS2030,GS,8000,8000,100.00
20,76,732IRFC25,NI,324,324,100.00
20,77,733GS2026,GS,42804,42804,100.00
20,78,734GS2064,GS,3950,3950,100.00
20,79,736GS2052,GS,100,100,100.00
