Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29102024,1186653402,0002531
Trade Date <29-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,16,8,50.00
20,2,1003ISFL28,N4,79,79,100.00
20,3,1003SCL30A,NV,12,0,0.00
20,4,1015ECL29,NR,76,66,86.84
20,5,1015UCL26,N1,110,70,63.64
20,6,1018GS2026,GS,11407,11407,100.00
20,7,1025NFL25,N5,5,5,100.00
20,8,1025SCL34A,ZT,10,10,100.00
20,9,1035UCL26,NA,71,71,100.00
20,10,1040UCL27B,N1,222,222,100.00
20,11,1049DLS25A,Y5,169,169,100.00
20,12,1049DLSL25,NX,18,17,94.44
20,13,1050NFL26,N7,76,76,100.00
20,14,105IIFL29,N7,65,65,100.00
20,15,1060ECL29,NS,50,50,100.00
20,16,1065NFL27,NC,547,547,100.00
20,17,1075UCL25,N9,10,10,100.00
20,18,10IFSL26,N7,50,50,100.00
20,19,10IIFL28,N4,40,40,100.00
20,20,10IIFL28A,NE,510,510,100.00
20,21,10IIFL29,N6,196,196,100.00
20,22,10NIDO26,N6,233,187,80.26
20,23,10SCL30A,BV,149,93,62.42
20,24,182D300125,TB,500,500,100.00
20,25,360ONE,EQ,414668,257860,62.18
20,26,364D020125,TB,200,200,100.00
20,27,364D030725,TB,500,500,100.00
20,28,364D051224,TB,900,900,100.00
20,29,364D071124,TB,23000,23000,100.00
20,30,364D090125,TB,1000,1000,100.00
20,31,364D091025,TB,300,300,100.00
20,32,364D150825,TB,1500,1500,100.00
20,33,364D161025,TB,100,100,100.00
20,34,364D240725,TB,14500,14500,100.00
20,35,364D270225,TB,100,100,100.00
20,36,364D310725,TB,100,100,100.00
20,37,3IINFOLTD,EQ,567254,174100,30.69
20,38,3MINDIA,EQ,2362,420,17.78
20,39,574GS2026,GS,2,1,50.00
20,40,5PAISA,EQ,38487,16128,41.91
20,41,610GS2031,GS,2,1,50.00
20,42,63MOONS,EQ,465575,191735,41.18
20,43,654GS2032,GS,1001,1001,100.00
20,44,667GS2035,GS,1,1,100.00
20,45,667GS2050,GS,1000,1000,100.00
20,46,676GS2061,GS,5,5,100.00
20,47,679GS2034,GS,150,150,100.00
20,48,689GS2025,GS,900,900,100.00
20,49,68GS2060,GS,4,4,100.00
20,50,695GS2061,GS,2,1,50.00
20,51,697GR2034,GS,20,20,100.00
20,52,699GS2026,GS,8000,8000,100.00
20,53,699GS2051,GS,500,500,100.00
20,54,702GS2027,GS,3845,3845,100.00
20,55,702GS2031,GS,301,301,100.00
20,56,704GS2029,GS,3850,3850,100.00
20,57,706GS2028,GS,15995,15895,99.37
20,58,709GS2054,GS,1041,1041,100.00
20,59,710GS2029,GS,1998,1979,99.05
20,60,717GS2030,GS,21750,21750,100.00
20,61,718GS2033,GS,110400,110400,100.00
20,62,718GS2037,GS,8008,8008,100.00
20,63,719GS2060,GS,287,287,100.00
20,64,71GS2034,GS,3100,3100,100.00
20,65,725GS2063,GS,14555,14555,100.00
20,66,726GS2032,GS,12601,12599,99.98
20,67,726GS2033,GS,6,6,100.00
20,68,732GS2030,GS,2202,2202,100.00
20,69,732IRFC25,NI,4,4,100.00
20,70,733GS2026,GS,6000,5950,99.17
20,71,734GS2064,GS,13766,13766,100.00
20,72,734IRFC28,N4,250,250,100.00
20,73,735IRFC31,NM,198,149,75.25
20,74,736GS2052,GS,10,10,100.00
20,75,737GS2028,GS,29262,29262,100.00
20,76,738GS2027,GS,19998,13800,69.01
20,77,738REC27TF,N2,175,175,100.00
20,78,739NHAI26,N8,1002,1000,99.80
20,79,739NHAI31A,ND,69,69,100.00
20,80,73GS2053,GS,26714,14207,53.18
20,81,740IIFCL33,N1,100,100,100.00
20,82,741GS2036,GS,108334,108334,100.00
20,83,746GS2073,GS,6958,6958,100.00
20,84,74GS2035,GS,37000,37000,100.00
20,85,74GS2062,GS,200,200,100.00
20,86,751HUDCO28,N5,550,550,100.00
20,87,753IRFC30,NJ,5153,4748,92.14
20,88,753NTPC30E,NC,78,78,100.00
20,89,754GS2036,GS,857312,803312,93.70
20,90,760PFCL35,N3,724,724,100.00
20,91,762NTPC35F,ND,78,78,100.00
20,92,763GS2059,GS,6,6,100.00
20,93,764HUDCO31,N8,1,1,100.00
20,94,764IRFC31,NO,9090,9000,99.01
20,95,764NABAR31,N2,201,101,50.25
20,96,769NHAI31,NE,1023,1013,99.02
20,97,76NHAI31,NA,6599,5177,78.45
20,98,774IREDA31,N7,350,350,100.00
20,99,797IGT31,NL,71,70,98.59
20,100,79NHIT35,N1,4674,4069,87.06
20,101,79NHIT40,N2,3201,3182,99.41
20,102,79NHIT47,N3,3647,3338,91.53
20,103,801TCH25,N4,60,60,100.00
20,104,810IRFC27,N2,100,100,100.00
20,105,812REC27,NI,240,240,100.00
20,106,81ABFL33,N5,213,213,100.00
20,107,820IIFL27,N9,78,78,100.00
20,108,824GS2027,GS,3,3,100.00
20,109,825IIFL25,N7,100,100,100.00
20,110,828GS2027,GS,1000,1000,100.00
20,111,829LTF24,NL,153,153,100.00
20,112,82IGT31,NJ,1735,1716,98.90
20,113,830NHAI27,N2,385,385,100.00
20,114,830PFCL27,N5,255,255,100.00
20,115,840CIFCL28,N4,122,122,100.00
20,116,842IIFL26,NL,984,889,90.35
20,117,843IHFL29,NC,250,250,100.00
20,118,849NTPC25,N7,70088,69987,99.86
20,119,850IIFL27,NA,408,408,100.00
20,120,850NHAI29,N5,15,15,100.00
20,121,851HUDCO28,NB,370,370,100.00
20,122,85IFL26,NX,7,7,100.00
20,123,85IIFL25,NO,18,18,100.00
20,124,863NHB29,N2,20,20,100.00
20,125,865IFL28,NZ,811,811,100.00
20,126,865IIFL28,NS,2311,2311,100.00
20,127,865IRFC29,NA,77,77,100.00
20,128,865LTF26,NN,51,49,96.08
20,129,865TCAPS27,N8,446,359,80.49
20,130,86LTF24,NJ,58,49,84.48
20,131,871REC28,N9,520,510,98.08
20,132,872MMFSL26,N1,179,90,50.28
20,133,875IHFL29,ND,100,100,100.00
20,134,875IIFL26A,NQ,20,20,100.00
20,135,875NHAI29,N6,215,213,99.07
20,136,875PCHFL26,N8,60,60,100.00
20,137,876HUDCO28,ND,1556,1475,94.79
20,138,879NHPC28,N5,800,800,100.00
20,139,880IREDA29,N5,550,500,90.91
20,140,888ERFL28,N5,8,8,100.00
20,141,888IRFC29,NE,1025,1000,97.56
20,142,888NHB29,N5,45,45,100.00
