Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05052025,1102572605,0002758
Trade Date <05-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,50,50,100.00
20,2,0SCL27,YW,1,1,100.00
20,3,1003IIFL29,NC,200,200,100.00
20,4,1015ECL29,NR,662,662,100.00
20,5,1015SCL28,NR,12,12,100.00
20,6,1015UCL26,N1,50,50,100.00
20,7,1025IIFL30,Y3,1,1,100.00
20,8,1025SCL34,Z8,2,2,100.00
20,9,1025SCL34Z,N1,2,2,100.00
20,10,1025UCL25,N8,3,3,100.00
20,11,1025UCL26A,N1,1,1,100.00
20,12,1035UCL26,NA,130,130,100.00
20,13,1065NFL27,NC,620,620,100.00
20,14,1075SCL34,ZR,7,7,100.00
20,15,1075UCL25,N9,13,13,100.00
20,16,10IIFL28,N4,65,65,100.00
20,17,10IIFL28A,NE,308,199,64.61
20,18,10IIFL29,N6,175,175,100.00
20,19,10IIFLSF27,NB,4,4,100.00
20,20,10ISFL26,N3,25,25,100.00
20,21,10NFL25,N9,534,440,82.40
20,22,10NIDO26,N6,50,50,100.00
20,23,12VCCL27A,N0,1,1,100.00
20,24,12VCCL29B,N0,1,1,100.00
20,25,182D180925,TB,100,100,100.00
20,26,182D310725,TB,1000,1000,100.00
20,27,20MICRONS,EQ,96338,35579,36.93
20,28,21STCENMGM,EQ,4743,4741,99.96
20,29,360ONE,EQ,530064,278116,52.47
20,30,364D030725,TB,100,100,100.00
20,31,364D080525,TB,409300,409300,100.00
20,32,364D111225,TB,100,100,100.00
20,33,364D120625,TB,200,200,100.00
20,34,364D161025,TB,400,400,100.00
20,35,364D210825,TB,10000,10000,100.00
20,36,364D290126,TB,100,100,100.00
20,37,364D301025,TB,100,100,100.00
20,38,3IINFOLTD,EQ,320798,156379,48.75
20,39,3MINDIA,EQ,1170,426,36.41
20,40,3PLAND,EQ,15735,8825,56.09
20,41,515GS2025,GS,500,500,100.00
20,42,563GS2026,GS,4490,4490,100.00
20,43,574GS2026,GS,50,50,100.00
20,44,5PAISA,EQ,22237,9645,43.37
20,45,619GS2034,GS,2,2,100.00
20,46,63MOONS,EQ,121482,56581,46.58
20,47,654GS2032,GS,2,2,100.00
20,48,662GS2051,GS,130,130,100.00
20,49,667GS2050,GS,802,802,100.00
20,50,675GS2029,GS,300,300,100.00
20,51,676GS2061,GS,9934,9934,100.00
20,52,679GS2034A,GS,200,200,100.00
20,53,68GS2060,GS,1,1,100.00
20,54,690GS2065,GS,30,30,100.00
20,55,692GS2039,GS,3000,3000,100.00
20,56,695GS2061,GS,22,21,95.45
20,57,699GS2026,GS,3,2,66.67
20,58,699GS2051,GS,1,1,100.00
20,59,702GS2027,GS,100,100,100.00
20,60,704GS2029,GS,40000,40000,100.00
20,61,706GS2028,GS,26300,26300,100.00
20,62,709GS2054,GS,400,400,100.00
20,63,709GS2074,GS,596,596,100.00
20,64,710GS2029,GS,7410,7400,99.87
20,65,716GS2050,GS,1,1,100.00
20,66,718GS2037,GS,28200,28200,100.00
20,67,723GJ27,SG,100,100,100.00
20,68,723GS2039,GS,1,1,100.00
20,69,725GS2063,GS,57501,56318,97.94
20,70,726GS2029,GS,100,100,100.00
20,71,726GS2032,GS,13402,13400,99.99
20,72,726GS2033,GS,5853,5853,100.00
20,73,729NHAI26,NC,552,552,100.00
20,74,732GS2030,GS,584,484,82.88
20,75,732IRFC25,NI,3,3,100.00
20,76,733GS2026,GS,21610,21609,100.00
20,77,734GS2064,GS,11101,11101,100.00
20,78,734IRFC28,N4,501,501,100.00
20,79,735NHAI31,N9,414,414,100.00
20,80,736GS2052,GS,4,4,100.00
20,81,736PFCL28,N2,100,100,100.00
20,82,737GS2028,GS,4426,4426,100.00
20,83,738GS2027,GS,151166,149514,98.91
20,84,738REC27TF,N2,805,800,99.38
20,85,739NHAI26,N8,204,204,100.00
20,86,73GS2053,GS,600,600,100.00
20,87,741GS2036,GS,2868,2868,100.00
20,88,746GS2073,GS,27510,26745,97.22
20,89,749MH30,SG,200,200,100.00
20,90,74GS2062,GS,1,1,100.00
20,91,753IRFC30,NJ,228,228,100.00
20,92,754GS2036,GS,406227,401598,98.86
20,93,764HUDCO31,N8,575,460,80.00
20,94,764IRFC31,NO,5500,5500,100.00
20,95,764NABAR31,N2,140,140,100.00
20,96,769HUDCO31,N9,825,825,100.00
20,97,769NHAI31,NE,245,245,100.00
20,98,76NHAI31,NA,1287,1187,92.23
20,99,772GS2049,GS,1100,1100,100.00
20,100,772GS2055,GS,961,961,100.00
20,101,78ABCL33,N1,63,63,100.00
20,102,797IGT31,NL,50,50,100.00
20,103,79NHIT35,N1,997,996,99.90
20,104,79NHIT40,N2,1906,1902,99.79
20,105,79NHIT47,N3,556,369,66.37
20,106,810IRFC27,N2,3000,3000,100.00
20,107,812REC27,NI,147,147,100.00
20,108,81TCHF28,N8,861,686,79.67
20,109,824GS2027,GS,110,110,100.00
20,110,82HUDCO27,N2,1518,1018,67.06
20,111,82IGT31,NJ,587,449,76.49
20,112,830CIFC26,N2,57,57,100.00
20,113,830NHAI27,N2,6003,4978,82.93
20,114,835IFL25,NV,2,2,100.00
20,115,835SCL23B,YM,15,15,100.00
20,116,840CIFCL28,N4,18,18,100.00
20,117,842IIFL26,NL,1153,1078,93.50
20,118,843IHFL29,NC,60,60,100.00
20,119,84TCHF28,NA,10,10,100.00
20,120,850NHAI29,N5,155,140,90.32
20,121,865IFL28,NZ,182,182,100.00
20,122,865IIFL28,NS,10,10,100.00
20,123,865IRFC29,NA,544,544,100.00
20,124,865TCAPS27,N8,644,644,100.00
20,125,867NHPC33,N3,400,400,100.00
20,126,871REC28,N9,4983,4588,92.07
20,127,872MMFSL26,N1,1,1,100.00
20,128,875IIFL26,NM,63,63,100.00
20,129,875NHAI29,N6,427,426,99.77
20,130,875PCHFL26,N8,400,400,100.00
20,131,876HUDCO28,ND,518,510,98.46
20,132,87LTF27,NH,52,52,100.00
20,133,880IREDA29,N5,859,859,100.00
20,134,885IHL26,N1,15,10,66.67
20,135,888IHFL25F,NC,10,10,100.00
20,136,888IRFC29,NE,3096,1765,57.01
20,137,88SCL25,ZG,154,154,100.00
20,138,890NHB34,N7,13,13,100.00
20,139,890SFIL23A,NZ,550,550,100.00
20,140,891IIFCL34,N4,759,759,100.00
20,141,891NTPC33,N6,756,756,100.00
20,142,892NHPC33,N6,253,253,100.00
20,143,892PFCL33,N8,797,790,99.12
20,144,893NHB29,N6,20,20,100.00
20,145,898LTF29,N7,55,55,100.00
20,146,901HUDCO34,NE,3154,3154,100.00
20,147,901NHB34,N6,292,180,61.64
20,148,905LTF27,NF,814,650,79.85
20,149,910CAGL25,N7,100,100,100.00
20,150,910TCAP28,NA,2,1,50.00
20,151,915SCL26,NE,2,1,50.00
20,152,916SCL25,ZW,2,2,100.00
20,153,91D010825,TB,200,200,100.00
20,154,91D050625,TB,700,700,100.00
20,155,91D110725,TB,200,200,100.00
20,156,91D120625,TB,1100,1100,100.00
20,157,91D190625,TB,100,100,100.00
20,158,91D300525,TB,1000,1000,100.00
20,159,921ISFL25,N0,1000,950,95.00
20,160,925AEL26,N1,82,82,100.00
20,161,925ERFL28,N6,22,22,100.00
20,162,925SCL28C,BS,1,1,100.00
20,163,92GS2030,GS,500,500,100.00
20,164,930SFL28,YP,30,30,100.00
20,165,931SFL26,Z5,235,235,100.00
20,166,943ECL28,NJ,61,61,100.00
20,167,948SCL26D,AI,1,1,100.00
20,168,950SCL23A,AP,20,20,100.00
20,169,956AEL29,N6,508,508,100.00
20,170,957NIDO26,N5,2,2,100.00
20,171,960CAGL25,N3,200,200,100.00
20,172,960IIFLS26,N9,1,1,100.00
20,173,960ISFL25,N1,21,21,100.00
20,174,965AEL27,N4,416,409,98.32
20,175,965IHFL25D,N7,87,87,100.00
20,176,965SCL25C,N0,20,20,100.00
20,177,965SCL25F,NZ,67,66,98.51
20,178,965SCL26Y,N1,10,10,100.00
20,179,965SCL27,N1,15,15,100.00
20,180,966SFIL25A,NI,40,20,50.00
20,181,96IIFL28,N5,3062,2965,96.83
20,182,96IIFL28A,NF,2219,2219,100.00
20,183,96SFIL24A,NB,50,50,100.00
20,184,970CAGL28,ND,1060,1013,95.57
20,185,971SCL28,AN,75,75,100.00
20,186,971SCL29T,N1,85,85,100.00
20,187,97SFL29,YZ,170,170,100.00
20,188,985IIFL22,NC,129,129,100.00
20,189,985SFIL28,NO,1304,1304,100.00
20,190,98SFIL26,NU,4,4,100.00
20,191,990SCL26B,Y7,37,18,48.65
20,192,990SCL27,YT,4,4,100.00
20,193,990SCL28,N1,10,10,100.00
20,194,99AEL29,N7,52,52,100.00
20,195,99SCL27,ZH,40,10,25.00
20,196,9IIFL28,Y0,10,10,100.00
20,197,9MMFSML,N2,10,10,100.00
20,198,9PCHFL31A,NA,123,123,100.00
20,199,9SCL26BA,NA,222,222,100.00
20,200,A2ZINFRA,EQ,81365,64403,79.15
20,201,AAATECH,EQ,108695,53597,49.31
20,202,AADHARHFC,EQ,197312,81367,41.24
20,203,AAKASH,EQ,123515,60401,48.90
20,204,AAREYDRUGS,EQ,236753,122869,51.90
20,205,AARON,EQ,2766,1703,61.57
20,206,AARTECH,EQ,17881,13286,74.30
20,207,AARTIDRUGS,EQ,268836,164000,61.00
20,208,AARTIIND,EQ,2712717,989465,36.48
20,209,AARTIPHARM,EQ,229152,95186,41.54
20,210,AARTISURF,EQ,9237,6150,66.58
20,211,AARVI,EQ,1327,679,51.17
20,212,AATMAJ,SM,2000,2000,100.00
20,213,AAVAS,EQ,217513,110868,50.97
20,214,ABB,EQ,241475,122890,50.89
20,215,ABBOTINDIA,EQ,8416,4593,54.57
20,216,ABCAPITAL,EQ,2452802,1388028,56.59
20,217,ABCOTS,SM,8500,5500,64.71
20,218,ABDL,EQ,201827,107341,53.18
20,219,ABFRL,EQ,1774380,641650,36.16
20,220,ABGSEC,EQ,1612,963,59.74
20,221,ABHAPOWER,ST,8000,8000,100.00
20,222,ABINFRA,EQ,625777,103977,16.62
20,223,ABMINTLLTD,EQ,2096,998,47.61
20,224,ABREL,EQ,73086,29018,39.70
