Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28042025,1147798559,0002764
Trade Date <28-APR-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,609,609,100.00
20,2,1003SFIL28,NX,40,40,100.00
20,3,1015ECL29,NR,675,675,100.00
20,4,1018GS2026,GS,7951,7948,99.96
20,5,1025NFL25,N5,20,11,55.00
20,6,1025SCL34,Z8,15,15,100.00
20,7,1025SCL34B,N1,400,300,75.00
20,8,1025SCL35A,N1,156,156,100.00
20,9,1025UCL26A,N1,27,24,88.89
20,10,1030SFIL26,NJ,4,4,100.00
20,11,1050IIFL29,ND,295,295,100.00
20,12,1050ISFL28,N5,50,50,100.00
20,13,1050NFL26,N7,10,9,90.00
20,14,1050UCL25,N7,269,269,100.00
20,15,1050UCL28,NH,150,125,83.33
20,16,1060ECL29,NS,14,14,100.00
20,17,1065NFL27,NC,1091,891,81.67
20,18,1075SCL33,YK,10,10,100.00
20,19,1090NFL26,NB,139,139,100.00
20,20,10IIFL28,N4,100,100,100.00
20,21,10IIFL28A,NE,652,642,98.47
20,22,10IIFL29,N6,5,5,100.00
20,23,10NIDO26,N6,101,101,100.00
20,24,1175PPPL27,N0,10,10,100.00
20,25,119VCCL26,N0,10,10,100.00
20,26,12VCCL27,N0,2,2,100.00
20,27,12VCCL29B,N0,4,4,100.00
20,28,182D070825,TB,500,500,100.00
20,29,182D101025,TB,2000,2000,100.00
20,30,182D120625,TB,100,100,100.00
20,31,182D161025,TB,100,100,100.00
20,32,182D240725,TB,200,100,50.00
20,33,20MICRONS,EQ,93335,38450,41.20
20,34,21STCENMGM,EQ,4834,3898,80.64
20,35,360ONE,EQ,937547,527437,56.26
20,36,364D020525,TB,18000,18000,100.00
20,37,364D031025,TB,1500,1000,66.67
20,38,364D110925,TB,9900,9900,100.00
20,39,3IINFOLTD,EQ,376018,188155,50.04
20,40,3MINDIA,EQ,3526,1691,47.96
20,41,3PLAND,EQ,4723,3495,74.00
20,42,563GS2026,GS,5,5,100.00
20,43,574GS2026,GS,2014,2014,100.00
20,44,5PAISA,EQ,58488,22114,37.81
20,45,63MOONS,EQ,115322,49808,43.19
20,46,654GS2032,GS,1903,1903,100.00
20,47,662GS2051,GS,500,500,100.00
20,48,664GS2027,GS,400,400,100.00
20,49,667GS2050,GS,11168,5640,50.50
20,50,675GS2029,GS,100,100,100.00
20,51,676GS2061,GS,52,52,100.00
20,52,68GS2060,GS,8,4,50.00
20,53,692GS2039,GS,1902,1901,99.95
20,54,695GS2061,GS,209,103,49.28
20,55,698GR2054,GS,250,250,100.00
20,56,699GS2026,GS,106,106,100.00
20,57,699GS2051,GS,60,20,33.33
20,58,702GS2027,GS,125,125,100.00
20,59,702GS2031,GS,1700,1600,94.12
20,60,704GS2029,GS,21700,21700,100.00
20,61,706GS2028,GS,6900,6900,100.00
20,62,709GS2054,GS,1000,1000,100.00
20,63,709GS2074,GS,5,5,100.00
20,64,710GS2029,GS,5501,5500,99.98
20,65,716GS2050,GS,22,21,95.45
20,66,717GS2030,GS,316,315,99.68
20,67,718GS2037,GS,33422,32043,95.87
20,68,719GS2060,GS,1,1,100.00
20,69,723GS2039,GS,100,100,100.00
20,70,725GS2063,GS,20399,20399,100.00
20,71,726GS2032,GS,3000,3000,100.00
20,72,726GS2033,GS,6500,6500,100.00
20,73,727GS2026,GS,1402,1401,99.93
20,74,729IRFC26,NN,24,24,100.00
20,75,729NHAI26,NC,1062,1062,100.00
20,76,732IRFC25,NI,805,805,100.00
20,77,733GS2026,GS,2450,2450,100.00
20,78,733HR36,SG,200,200,100.00
20,79,734GS2064,GS,98603,98603,100.00
20,80,736PFCL28,N2,423,223,52.72
20,81,737GS2028,GS,1107,1107,100.00
20,82,738GS2027,GS,384539,379042,98.57
20,83,738REC27TF,N2,50,50,100.00
20,84,739NHAI26,N8,1501,1501,100.00
20,85,73GS2053,GS,3540,3540,100.00
20,86,741GS2036,GS,68560,68560,100.00
20,87,745AP38,SG,100,100,100.00
20,88,746GS2073,GS,3161,2990,94.59
20,89,750IRFC35,NK,859,859,100.00
20,90,751HUDCO28,N5,996,996,100.00
20,91,753IRFC30,NJ,1453,1453,100.00
20,92,753NTPC30E,NC,156,156,100.00
20,93,754CG31,SG,100,100,100.00
20,94,754GS2036,GS,1008631,989178,98.07
20,95,757GS2033,GS,2,1,50.00
20,96,760PFCL35,N3,139,139,100.00
20,97,764HUDCO31,N8,332,332,100.00
20,98,764NABAR31,N2,1981,1854,93.59
20,99,765RJ33,SG,100,100,100.00
20,100,768KA37,SG,100,100,100.00
20,101,769NHAI31,NE,1283,1253,97.66
20,102,76NHAI31,NA,387,385,99.48
20,103,772GS2049,GS,1039,500,48.12
20,104,772GS2055,GS,1,1,100.00
20,105,774IREDA31,N7,410,410,100.00
20,106,78ABCL33,N1,2,2,100.00
20,107,794TN32,SG,8000,8000,100.00
20,108,79NHIT35,N1,1125,1006,89.42
20,109,79NHIT40,N2,4294,3505,81.63
20,110,79NHIT47,N3,703,703,100.00
20,111,810IRFC27,N2,906,906,100.00
20,112,812REC27,NI,4157,3157,75.94
20,113,81ABCL33,N4,1,1,100.00
20,114,820IIFL27,N9,50,50,100.00
20,115,824GS2027,GS,3030,2750,90.76
20,116,82HUDCO27,N2,1204,844,70.10
20,117,82IGT31,NJ,21,21,100.00
20,118,830NHAI27,N2,5550,4350,78.38
20,119,832GS2032,GS,9000,9000,100.00
20,120,833GS2026,GS,12,6,50.00
20,121,835IFL25,NV,8,8,100.00
20,122,835SCL23B,YM,6,6,100.00
20,123,840CIFCL28,N4,290,290,100.00
20,124,842IIFL26,NL,5,5,100.00
20,125,846REC28,N6,200,200,100.00
20,126,84TCHF28,NA,4,2,50.00
20,127,863IRFC29,NC,79,79,100.00
20,128,865IFL28,NZ,150,150,100.00
20,129,865IIFL28,NS,907,907,100.00
20,130,865IRFC29,NA,851,851,100.00
20,131,865LTF26,NN,116,116,100.00
20,132,865TCAPS27,N8,556,455,81.83
20,133,871REC28,N9,2169,807,37.21
20,134,872MMFSL26,N1,11,11,100.00
20,135,875IIFL26A,NQ,100,100,100.00
20,136,875NHAI29,N6,1600,1600,100.00
20,137,875PCHFL26,N8,2,2,100.00
20,138,875SFL27,ZF,514,508,98.83
20,139,876HUDCO28,ND,100,100,100.00
20,140,87LTF27,NH,200,200,100.00
20,141,880IREDA29,N5,10,10,100.00
20,142,880IREDA34,N6,975,700,71.79
20,143,888IRFC29,NE,933,878,94.11
20,144,888REC29,NF,10,10,100.00
