Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16092024,1682054769,0002480
Trade Date <16-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,10,10,100.00
20,2,1003ICCL28,NX,3,1,33.33
20,3,1003ISFL28,N4,390,390,100.00
20,4,1003SCL30A,NV,704,600,85.23
20,5,1015ECL29,NR,1,1,100.00
20,6,1018GS2026,GS,1102,1102,100.00
20,7,1025NFL25,N5,140,140,100.00
20,8,1025SCL34,Z8,100,100,100.00
20,9,1040UCL25,N4,253,152,60.08
20,10,1050ISFL28,N5,100,100,100.00
20,11,1050NFL26,N7,496,496,100.00
20,12,1050UCL25,N7,230,230,100.00
20,13,1065NFL27,NC,654,654,100.00
20,14,1075SCL33A,N2,15,15,100.00
20,15,10IIFL28,N4,2054,1985,96.64
20,16,10IIFL28A,NE,106,106,100.00
20,17,10IIFL29,N6,328,328,100.00
20,18,10NFL25,N9,116,116,100.00
20,19,10NIDO26,N6,86,86,100.00
20,20,10SCL30A,BV,26,10,38.46
20,21,11DLSL25,NV,10,10,100.00
20,22,11DLSL25A,Y3,200,200,100.00
20,23,182D111024,TB,100,100,100.00
20,24,182D190924,TB,200,200,100.00
20,25,182D221124,TB,100,100,100.00
20,26,20MICRONS,EQ,152739,68847,45.07
20,27,360ONE,EQ,279159,186199,66.70
20,28,364D030425,TB,200,200,100.00
20,29,364D090125,TB,100,100,100.00
20,30,364D110925,TB,100,100,100.00
20,31,3IINFOLTD,EQ,340722,170225,49.96
20,32,3MINDIA,EQ,2536,1111,43.81
20,33,563GS2026,GS,101,101,100.00
20,34,574GS2026,GS,1061,1060,99.91
20,35,5PAISA,EQ,227288,92864,40.86
20,36,610GS2031,GS,102,102,100.00
20,37,618GS2024,GS,10,10,100.00
20,38,63MOONS,EQ,250914,168008,66.96
20,39,654GS2032,GS,30007,30004,99.99
20,40,667GS2035,GS,120,40,33.33
20,41,667GS2050,GS,194,194,100.00
20,42,676GS2061,GS,112,106,94.64
20,43,68GS2060,GS,8,8,100.00
20,44,695GS2061,GS,3,3,100.00
20,45,699GS2026,GS,4210,4210,100.00
20,46,699GS2051,GS,19319,19319,100.00
20,47,702GS2027,GS,1097,706,64.36
20,48,702GS2031,GS,209,209,100.00
20,49,704GS2029,GS,4703,4400,93.56
20,50,706GS2028,GS,54000,41000,75.93
20,51,709GS2054,GS,8000,8000,100.00
20,52,710GS2029,GS,3454,3368,97.51
20,53,717GS2030,GS,701,601,85.73
20,54,718GS2033,GS,4300,4300,100.00
20,55,718GS2037,GS,3664,3560,97.16
20,56,71GS2034,GS,3500,3000,85.71
20,57,723GS2039,GS,19200,19200,100.00
20,58,725GA35,SG,100,100,100.00
20,59,725GS2063,GS,400,400,100.00
20,60,726GS2032,GS,27500,24365,88.60
20,61,726GS2033,GS,5600,5600,100.00
