Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27112024,1434402269,0002579
Trade Date <27-NOV-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,33,33,100.00
20,2,1003ISFL28,N4,2466,2365,95.90
20,3,1015ECL29,NR,261,251,96.17
20,4,1025NFL25,N5,93,93,100.00
20,5,1025SCL34,Z8,4,4,100.00
20,6,1025UCL26A,N1,1500,1500,100.00
20,7,1049DLSL25,NX,50,50,100.00
20,8,1050ISFL28,N5,3382,3309,97.84
20,9,1050NFL26,N7,72,72,100.00
20,10,1065NFL27,NC,60,60,100.00
20,11,1075SCL33A,N2,5,5,100.00
20,12,10IIFL28,N4,1281,1281,100.00
20,13,10IIFL28A,NE,6040,5990,99.17
20,14,10IIFL29,N6,25,25,100.00
20,15,10NIDO26,N6,90,85,94.44
20,16,10SCL30A,BV,9,9,100.00
20,17,1119NFL27,ND,125,125,100.00
20,18,11DLSL25,NV,50,50,100.00
20,19,11DLSL25A,Y3,74,46,62.16
20,20,12VCCL27A,N0,2,2,100.00
20,21,182D040425,TB,3000,3000,100.00
20,22,182D080525,TB,3000,3000,100.00
20,23,182D090125,TB,100,100,100.00
20,24,182D150525,TB,100,100,100.00
20,25,182D230125,TB,100,100,100.00
20,26,182D270225,TB,600,600,100.00
20,27,182D300125,TB,10000,10000,100.00
20,28,360ONE,EQ,1317672,722245,54.81
20,29,364D020125,TB,12100,12100,100.00
20,30,364D100725,TB,100,100,100.00
20,31,364D180725,TB,4900,4900,100.00
20,32,364D270325,TB,1300,1300,100.00
20,33,3IINFOLTD,EQ,738462,381172,51.62
20,34,3MINDIA,EQ,5797,807,13.92
20,35,3PLAND,EQ,523964,233354,44.54
20,36,5PAISA,EQ,18439,9558,51.84
20,37,63MOONS,EQ,475419,272691,57.36
20,38,667GS2035,GS,1,1,100.00
20,39,676GS2061,GS,10,10,100.00
20,40,679GS2034,GS,149,149,100.00
20,41,68GS2060,GS,1,1,100.00
20,42,695GS2061,GS,1,1,100.00
20,43,699GS2026,GS,10350,10200,98.55
20,44,699GS2051,GS,31,31,100.00
20,45,702GS2027,GS,792,792,100.00
20,46,702GS2031,GS,200,200,100.00
20,47,704GS2029,GS,2236,2236,100.00
20,48,704IRFC28,N6,10,10,100.00
20,49,706GS2028,GS,17181,15068,87.70
20,50,709GS2054,GS,500,500,100.00
20,51,709GS2074,GS,12049,10800,89.63
20,52,710GS2029,GS,45738,40738,89.07
20,53,717GS2028,GS,10,10,100.00
20,54,717GS2030,GS,2387,2384,99.87
20,55,718GS2033,GS,1746,1746,100.00
20,56,718GS2037,GS,500,500,100.00
20,57,719GS2060,GS,150,150,100.00
20,58,719HUDCO28,N7,35,35,100.00
20,59,71GS2034,GS,2377,2377,100.00
20,60,723GS2039,GS,9700,9700,100.00
20,61,725GS2063,GS,1500,1500,100.00
20,62,726GS2032,GS,135107,130400,96.52
20,63,726GS2033,GS,1402,1402,100.00
