Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06112023,1749393559,0002256
Trade Date <06-NOV-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D040424,TB,100,100,100.00
20,2,182D070324,TB,18900,18900,100.00
20,3,182D110424,TB,100,100,100.00
20,4,182D141223,TB,100,100,100.00
20,5,182D180124,TB,6000,6000,100.00
20,6,182D210324,TB,500,500,100.00
20,7,182D211223,TB,600,600,100.00
20,8,182D301123,TB,200,200,100.00
20,9,21STCENMGM,EQ,4300,3585,83.37
20,10,360ONE,EQ,181150,111616,61.62
20,11,364D020524,TB,10000,10000,100.00
20,12,364D031024,TB,100,100,100.00
20,13,364D040124,TB,400,400,100.00
20,14,364D071223,TB,89100,89100,100.00
20,15,364D080824,TB,400,400,100.00
20,16,364D101024,TB,100,100,100.00
20,17,364D110124,TB,100,100,100.00
20,18,364D110424,TB,2000,2000,100.00
20,19,364D150224,TB,1400,1400,100.00
20,20,364D171024,TB,1200,1200,100.00
20,21,364D190924,TB,1500,1500,100.00
20,22,364D220224,TB,9500,9500,100.00
20,23,364D311024,TB,10000,10000,100.00
20,24,3IINFOLTD,EQ,585249,294070,50.25
20,25,3MINDIA,EQ,1258,702,55.80
20,26,3PLAND,EQ,15315,9955,65.00
20,27,515GS2025,GS,156,155,99.36
20,28,563GS2026,GS,3,3,100.00
20,29,574GS2026,GS,14,2,14.29
20,30,5PAISA,EQ,49973,24481,48.99
20,31,618GS2024,GS,16,16,100.00
20,32,63MOONS,EQ,55918,36164,64.67
20,33,654GS2032,GS,45570,45500,99.85
20,34,664GS2035,GS,1000,1000,100.00
20,35,667GS2035,GS,1,1,100.00
20,36,667GS2050,GS,1521,1521,100.00
20,37,669GS2024,GS,644,609,94.57
20,38,676GS2061,GS,21,21,100.00
20,39,689GS2025,GS,6,6,100.00
20,40,68GS2060,GS,31,31,100.00
20,41,695GS2061,GS,1317,1317,100.00
20,42,699GS2026,GS,199,199,100.00
20,43,699GS2051,GS,1341,1341,100.00
20,44,706GS2028,GS,2202,2102,95.46
20,45,710GS2029,GS,73189,73189,100.00
20,46,717GS2030,GS,23239,23239,100.00
20,47,718GS2033,GS,100,100,100.00
20,48,718GS2037,GS,300,300,100.00
20,49,725GS2063,GS,8501,8501,100.00
20,50,726GS2032,GS,5468,5468,100.00
20,51,726GS2033,GS,1,1,100.00
20,52,736GS2052,GS,1575,1575,100.00
20,53,738GS2027,GS,151601,151601,100.00
20,54,73GS2053,GS,9500,9500,100.00
20,55,741GS2036,GS,414380,414380,100.00
20,56,744AP33,SG,100,100,100.00
20,57,74GS2062,GS,10396,10279,98.87
20,58,754GS2036,GS,907535,897403,98.88
20,59,768GS2023,GS,22295,22295,100.00
20,60,795GS2032,GS,37,37,100.00
20,61,91D010224,TB,300,300,100.00
20,62,91D040124,TB,3700,3700,100.00
20,63,91D071223,TB,600,600,100.00
20,64,91D110124,TB,1000,1000,100.00
20,65,91D171123,TB,200,200,100.00
20,66,91D211223,TB,13400,13400,100.00
20,67,91D231123,TB,16000,16000,100.00
20,68,91D291223,TB,200,200,100.00
20,69,92GS2030,GS,6050,6050,100.00
20,70,AAATECH,EQ,40224,20716,51.50
20,71,AAKASH,EQ,1164973,982566,84.34
20,72,AARON,EQ,12963,7044,54.34
20,73,AARTIDRUGS,EQ,282084,89144,31.60
20,74,AARTIIND,EQ,14781664,2365065,16.00
20,75,AARTIPHARM,EQ,211384,98593,46.64
20,76,AARTIPP,E1,441,407,92.29
20,77,AARTISURF,EQ,67254,30381,45.17
20,78,AARVEEDEN,EQ,94612,60686,64.14
20,79,AARVI,EQ,4863,3031,62.33
20,80,AATMAJ,SM,16000,14000,87.50
20,81,AAVAS,EQ,103245,53002,51.34
20,82,ABB,EQ,231433,148659,64.23
20,83,ABBOTINDIA,EQ,13291,5318,40.01
20,84,ABCAPITAL,EQ,4556996,1649792,36.20
20,85,ABCOTS,SM,10000,8000,80.00
20,86,ABFL,N0,25,25,100.00
20,87,ABFL,N4,126,126,100.00
20,88,ABFRL,EQ,1123491,408738,36.38
20,89,ABINFRA,SM,8000,8000,100.00
20,90,ABMINTLLTD,EQ,845,845,100.00
20,91,ABSLAMC,EQ,43068,23506,54.58
20,92,ABSLBANETF,EQ,234928,229505,97.69
20,93,ABSLLIQUID,EQ,15744,14741,93.63
20,94,ABSLNN50ET,EQ,3160,3051,96.55
20,95,ACC,EQ,203941,81128,39.78
20,96,ACCELYA,EQ,22749,13144,57.78
20,97,ACCORD,SM,2000,2000,100.00
20,98,ACCURACY,EQ,2314497,1077281,46.54
20,99,ACE,EQ,376514,188296,50.01
20,100,ACEINTEG,EQ,4698,2798,59.56
20,101,ACI,EQ,488539,248695,50.91
20,102,ACL,EQ,8384,5161,61.56
20,103,ACSAL,ST,120000,108000,90.00
20,104,ADANIENSOL,EQ,299026,123604,41.34
20,105,ADANIENT,EQ,770061,234998,30.52
20,106,ADANIGREEN,EQ,619386,280346,45.26
20,107,ADANIPORTS,EQ,2270316,1193160,52.55
20,108,ADANIPOWER,EQ,17431088,8497565,48.75
20,109,ADFFOODS,EQ,115706,48888,42.25
20,110,ADORWELD,EQ,67558,29961,44.35
20,111,ADSL,EQ,306729,173117,56.44
20,112,ADVANIHOTR,EQ,909607,329371,36.21
20,113,ADVENZYMES,EQ,251432,94693,37.66
20,114,AEGISCHEM,EQ,2954521,1421979,48.13
20,115,AEROFLEX,EQ,2646496,1027101,38.81
20,116,AETHER,EQ,33542,20100,59.92
20,117,AFFLE,EQ,251898,121085,48.07
20,118,AGARIND,EQ,39445,12819,32.50
20,119,AGARWALFT,SM,18000,18000,100.00
20,120,AGI,EQ,311941,117935,37.81
20,121,AGNI,SM,60000,50000,83.33
20,122,AGROPHOS,EQ,41821,34976,83.63
20,123,AGSTRA,EQ,1724289,1068728,61.98
20,124,AGUL,SM,38000,28000,73.68
20,125,AHL,EQ,166674,32968,19.78
20,126,AHLADA,EQ,28738,18752,65.25
20,127,AHLEAST,EQ,6589,3366,51.09
20,128,AHLUCONT,EQ,31667,19214,60.68
20,129,AIAENG,EQ,92329,30804,33.36
20,130,AILIMITED,SM,36000,36000,100.00
20,131,AIRTELPP,E1,22024,15065,68.40
20,132,AISL,SM,3600,3600,100.00
20,133,AJANTPHARM,EQ,160338,116831,72.87
20,134,AJMERA,EQ,66303,26467,39.92
20,135,AJOONI,EQ,555050,350481,63.14
20,136,AKASH,EQ,67928,14492,21.33
20,137,AKG,EQ,45969,7004,15.24
20,138,AKSHAR,EQ,2330003,2279402,97.83
20,139,AKSHARCHEM,EQ,8179,5704,69.74
20,140,AKZOINDIA,EQ,10153,4722,46.51
20,141,ALANKIT,EQ,1319862,913898,69.24
20,142,ALBERTDAVD,EQ,10050,5738,57.09
20,143,ALEMBICLTD,EQ,754674,388203,51.44
20,144,ALICON,EQ,7642,4229,55.34
20,145,ALKALI,EQ,20657,13782,66.72
20,146,ALKEM,EQ,166232,114826,69.08
20,147,ALKYLAMINE,EQ,28815,12461,43.24
20,148,ALLCARGO,EQ,209603,104625,49.92
20,149,ALLETEC,SM,420000,245600,58.48
20,150,ALLSEC,EQ,119425,66038,55.30
20,151,ALMONDZ,EQ,93226,79351,85.12
20,152,ALOKINDS,EQ,15721451,5599404,35.62
20,153,ALPA,EQ,60133,28076,46.69
20,154,ALPHAETF,EQ,176694,128925,72.97
20,155,ALPHAGEO,EQ,4705,2667,56.68
20,156,AMBANIORG,SM,6000,6000,100.00
20,157,AMBER,EQ,519816,139303,26.80
20,158,AMBIKCO,EQ,16723,7487,44.77
20,159,AMBUJACEM,EQ,1061040,551592,51.99
20,160,AMDIND,EQ,158601,104568,65.93
20,161,AMEYA,SM,14000,12000,85.71
20,162,AMIORG,EQ,31895,19664,61.65
20,163,AMJLAND,EQ,284375,189835,66.76
20,164,AMRUTANJAN,EQ,10562,5466,51.75
20,165,ANANDRATHI,EQ,56815,38393,67.58
20,166,ANANTRAJ,EQ,1213315,418662,34.51
20,167,ANDHRAPAP,EQ,88628,48086,54.26
20,168,ANDHRSUGAR,EQ,501788,203503,40.56
20,169,ANGELONE,EQ,2420122,471046,19.46
20,170,ANLON,SM,34000,26400,77.65
20,171,ANMOL,EQ,718080,380704,53.02
20,172,ANNAPURNA,SM,18000,14500,80.56
20,173,ANUP,EQ,29213,13712,46.94
20,174,ANURAS,EQ,81985,46374,56.56
20,175,ANZEN,IV,2800000,2800000,100.00
20,176,APARINDS,EQ,59005,21384,36.24
20,177,APCL,EQ,27559,15423,55.96
20,178,APCOTEXIND,EQ,43851,21056,48.02
20,179,APEX,EQ,126097,54535,43.25
20,180,APLAPOLLO,EQ,1085603,725417,66.82
20,181,APLLTD,EQ,83752,47471,56.68
20,182,APOLLO,EQ,9845091,4181087,42.47
20,183,APOLLOHOSP,EQ,399720,161351,40.37
20,184,APOLLOPIPE,EQ,62710,32608,52.00
20,185,APOLLOTYRE,EQ,1910913,875547,45.82
20,186,APOLSINHOT,EQ,3694,2462,66.65
20,187,APTECHT,EQ,199592,101649,50.93
20,188,APTUS,EQ,250363,128865,51.47
20,189,ARABIAN,SM,82000,76000,92.68
20,190,ARCHIDPLY,EQ,108519,47880,44.12
20,191,ARCHIES,EQ,38815,20279,52.25
20,192,ARE&M,EQ,278018,175586,63.16
20,193,ARHAM,SM,30000,20000,66.67
20,194,ARIES,EQ,33506,13460,40.17
20,195,ARIHANTACA,SM,1600,1600,100.00
20,196,ARIHANTCAP,EQ,129623,93808,72.37
20,197,ARIHANTSUP,EQ,51717,25422,49.16
20,198,ARISTO,SM,19200,12800,66.67
20,199,ARMANFIN,EQ,22462,12939,57.60
20,200,ARROWGREEN,EQ,30359,17262,56.86
20,201,ARTEMISMED,EQ,142598,78222,54.85
20,202,ARTNIRMAN,EQ,2380,1268,53.28
20,203,ARVEE,EQ,628,201,32.01
20,204,ARVIND,EQ,2113133,609405,28.84
20,205,ARVINDFASN,EQ,354637,150484,42.43
20,206,ARVSMART,EQ,128312,72443,56.46
20,207,ASAHIINDIA,EQ,56090,28059,50.02
20,208,ASAHISONG,EQ,107597,37822,35.15
20,209,ASAL,EQ,15843,8714,55.00
20,210,ASALCBR,EQ,28098,13775,49.02
20,211,ASHIANA,EQ,443777,177589,40.02
20,212,ASHIMASYN,EQ,237947,164422,69.10
20,213,ASHOKA,EQ,1571719,680014,43.27
20,214,ASHOKAMET,EQ,82688,33203,40.15
20,215,ASHOKLEY,EQ,4743939,2279491,48.05
20,216,ASIANENE,EQ,106671,74605,69.94
20,217,ASIANHOTNR,EQ,59674,39519,66.22
20,218,ASIANPAINT,EQ,620959,360925,58.12
20,219,ASIANTILES,EQ,3255520,1395789,42.87
20,220,ASLIND,SM,4000,4000,100.00
20,221,ASPINWALL,EQ,3826,3092,80.82
20,222,ASTEC,EQ,5141,3459,67.28
20,223,ASTERDM,EQ,148486,86788,58.45
20,224,ASTRAL,EQ,512282,200421,39.12
20,225,ASTRAMICRO,EQ,181688,75463,41.53
20,226,ASTRAZEN,EQ,8903,3685,41.39
20,227,ATAM,EQ,49946,35019,70.11
20,228,ATFL,EQ,4441,1815,40.87
20,229,ATGL,EQ,337716,174047,51.54
20,230,ATL,EQ,5671635,3089593,54.47
20,231,ATLANTA,EQ,71769,51850,72.25
20,232,ATUL,EQ,78398,18034,23.00
20,233,ATULAUTO,EQ,221705,97571,44.01
20,234,AUBANK,EQ,3301471,1771307,53.65
20,235,AURDIS,SM,8500,7000,82.35
20,236,AUROIMPEX,SM,12800,9600,75.00
20,237,AUROPHARMA,EQ,1807592,688793,38.11
20,238,AURUM,EQ,63959,51867,81.09
