Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27102023,1012875586,0002188
Trade Date <27-OCT-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D040124,TB,400,200,50.00
20,2,182D040424,TB,400,200,50.00
20,3,182D071223,TB,600,600,100.00
20,4,182D080224,TB,100,100,100.00
20,5,182D091123,TB,100,100,100.00
20,6,182D110424,TB,400,200,50.00
20,7,182D180124,TB,100,100,100.00
20,8,182D250424,TB,5000,5000,100.00
20,9,21STCENMGM,EQ,1101,846,76.84
20,10,360ONE,EQ,81762,49622,60.69
20,11,364D010824,TB,100,100,100.00
20,12,364D021123,TB,10000,10000,100.00
20,13,364D110424,TB,300,300,100.00
20,14,364D140324,TB,1000,1000,100.00
20,15,364D180424,TB,100,100,100.00
20,16,364D200624,TB,1000,1000,100.00
20,17,364D220324,TB,300,300,100.00
20,18,3IINFOLTD,EQ,573842,219908,38.32
20,19,3MINDIA,EQ,2905,679,23.37
20,20,3PLAND,EQ,18567,11452,61.68
20,21,574GS2026,GS,1,1,100.00
20,22,5PAISA,EQ,101467,35791,35.27
20,23,618GS2024,GS,4,4,100.00
20,24,63MOONS,EQ,73934,42578,57.59
20,25,654GS2032,GS,223,211,94.62
20,26,667GS2035,GS,2000,2000,100.00
20,27,667GS2050,GS,1231,1231,100.00
20,28,669GS2024,GS,25263,25262,100.00
20,29,676GS2061,GS,1,1,100.00
20,30,695GS2061,GS,100,100,100.00
20,31,699GS2026,GS,210424,210249,99.92
20,32,699GS2051,GS,177,100,56.50
20,33,706GS2028,GS,18340,18340,100.00
20,34,710GS2029,GS,59004,59004,100.00
20,35,717GS2030,GS,46055,46055,100.00
20,36,718GS2033,GS,1198,1198,100.00
20,37,718GS2037,GS,525,500,95.24
20,38,725GS2063,GS,200,200,100.00
20,39,726GS2032,GS,35500,30500,85.92
20,40,726GS2033,GS,700,700,100.00
20,41,736GS2052,GS,19047,17700,92.93
20,42,738GS2027,GS,775863,775207,99.92
20,43,73GS2053,GS,1700,1700,100.00
20,44,741GS2036,GS,91091,91091,100.00
20,45,74GS2062,GS,703,703,100.00
20,46,754GS2036,GS,475649,458460,96.39
20,47,824GS2027,GS,7865,7865,100.00
20,48,826GS2027,GS,1050,1050,100.00
20,49,833GS2026,GS,1990,1990,100.00
20,50,91D021123,TB,100,100,100.00
20,51,91D071223,TB,100,100,100.00
20,52,91D091123,TB,5200,5200,100.00
20,53,91D110124,TB,500,300,60.00
20,54,91D141223,TB,1100,1100,100.00
20,55,91D180124,TB,100,100,100.00
20,56,91D211223,TB,100,100,100.00
20,57,91D231123,TB,400,400,100.00
20,58,91D291223,TB,100,100,100.00
20,59,92GS2030,GS,3825,3425,89.54
20,60,AAATECH,EQ,218192,69972,32.07
20,61,AAKASH,EQ,184669,151338,81.95
20,62,AARON,EQ,22029,11593,52.63
20,63,AARTIDRUGS,EQ,338536,110380,32.61
20,64,AARTIIND,EQ,747107,298988,40.02
20,65,AARTIPHARM,EQ,114515,64660,56.46
20,66,AARTIPP,E1,66,66,100.00
20,67,AARTISURF,EQ,20282,6904,34.04
20,68,AARVEEDEN,EQ,21550,9505,44.11
20,69,AARVI,EQ,13939,9743,69.90
20,70,AATMAJ,SM,14000,10000,71.43
20,71,AAVAS,EQ,417927,220391,52.73
20,72,ABB,EQ,262816,111289,42.34
20,73,ABBOTINDIA,EQ,6072,2077,34.21
20,74,ABCAPITAL,EQ,1614433,461408,28.58
20,75,ABFL,N1,10,10,100.00
20,76,ABFL,N4,577,577,100.00
20,77,ABFL,N5,7473,6473,86.62
20,78,ABFRL,EQ,1582232,518716,32.78
20,79,ABFRL,W1,169,169,100.00
20,80,ABMINTLLTD,EQ,1172,1171,99.91
20,81,ABSLAMC,EQ,498807,406779,81.55
20,82,ABSLBANETF,EQ,11960,8096,67.69
20,83,ABSLLIQUID,EQ,11785,11032,93.61
20,84,ABSLNN50ET,EQ,3161,1896,59.98
20,85,ACC,EQ,449396,107190,23.85
20,86,ACCELYA,EQ,27592,10715,38.83
20,87,ACE,EQ,385796,216905,56.22
20,88,ACEINTEG,EQ,1646,764,46.42
20,89,ACI,EQ,104283,43862,42.06
20,90,ACL,EQ,24273,18986,78.22
20,91,ACSAL,ST,807000,600000,74.35
20,92,ADANIENSOL,EQ,741463,402245,54.25
20,93,ADANIENT,EQ,1244293,252417,20.29
20,94,ADANIGREEN,EQ,902416,275361,30.51
20,95,ADANIPORTS,EQ,2995404,1497245,49.98
20,96,ADANIPOWER,EQ,14877588,4076915,27.40
20,97,ADFFOODS,EQ,230586,69075,29.96
20,98,ADORWELD,EQ,15929,7255,45.55
20,99,ADSL,EQ,309320,151677,49.04
20,100,ADVANIHOTR,EQ,168617,57693,34.22
20,101,ADVENZYMES,EQ,157890,44454,28.16
20,102,AEGISCHEM,EQ,578010,293393,50.76
20,103,AEROFLEX,EQ,690947,315621,45.68
20,104,AETHER,EQ,107352,63680,59.32
20,105,AFFLE,EQ,80936,36188,44.71
20,106,AGARIND,EQ,31346,12215,38.97
20,107,AGARWALFT,SM,63000,48000,76.19
20,108,AGI,EQ,672564,258880,38.49
20,109,AGNI,SM,25000,20000,80.00
20,110,AGROPHOS,EQ,44989,27466,61.05
20,111,AGSTRA,EQ,180406,80246,44.48
20,112,AGUL,SM,2000,2000,100.00
20,113,AHL,EQ,112783,60270,53.44
20,114,AHLADA,EQ,36969,17017,46.03
20,115,AHLEAST,EQ,2951,1426,48.32
20,116,AHLUCONT,EQ,88831,47485,53.46
20,117,AIAENG,EQ,33863,19016,56.16
20,118,AILIMITED,SM,6000,6000,100.00
20,119,AIRTELPP,E1,643556,626233,97.31
20,120,AJANTPHARM,EQ,182120,104381,57.31
20,121,AJMERA,EQ,85205,32889,38.60
20,122,AJOONI,EQ,277431,130505,47.04
20,123,AKASH,EQ,46565,25327,54.39
20,124,AKG,EQ,76057,8831,11.61
