Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01082025,1419708956,0002715
Trade Date <01-AUG-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,51,51,100.00
20,2,1003ISFL28,N4,1375,1150,83.64
20,3,1003SCL30A,NV,15,15,100.00
20,4,1015SCL29T,N1,55,55,100.00
20,5,1015UCL26,N1,13,13,100.00
20,6,1018GS2026,GS,48895,47935,98.04
20,7,1025SCL34B,N1,210,210,100.00
20,8,1050SCL31,ZP,1,1,100.00
20,9,105IIFL29,N7,15,15,100.00
20,10,1060ECL29,NS,6,3,50.00
20,11,1075UCL25,N9,19,19,100.00
20,12,10CAGL27,N5,19,19,100.00
20,13,10IIFL28,N4,130,125,96.15
20,14,10IIFL28A,NE,567,567,100.00
20,15,10IIFL29,N6,600,600,100.00
20,16,10NFL25,N9,36,36,100.00
20,17,10NIDO26,N6,380,380,100.00
20,18,10UCL26,ND,79,40,50.63
20,19,1119NFL27,ND,48,48,100.00
20,20,12VCCL29A,N0,2,2,100.00
20,21,182D251225,TB,200,200,100.00
20,22,182D311025,TB,500,500,100.00
20,23,20MICRONS,EQ,205134,90764,44.25
20,24,21STCENMGM,EQ,2524,1866,73.93
20,25,360ONE,EQ,457383,229768,50.24
20,26,364D070825,TB,1400,1400,100.00
20,27,364D100426,TB,100,100,100.00
20,28,364D120326,TB,100,100,100.00
20,29,364D211125,TB,100,100,100.00
20,30,3IINFOLTD,EQ,288594,179721,62.27
20,31,3MINDIA,EQ,20155,11708,58.09
20,32,3PLAND,EQ,8685,5095,58.66
20,33,563GS2026,GS,1,1,100.00
20,34,585GS2030,GS,1,1,100.00
20,35,5PAISA,EQ,19346,9681,50.04
20,36,610GS2031,GS,501,500,99.80
20,37,633GS2035,GS,399,200,50.13
20,38,63MOONS,EQ,113710,54967,48.34
20,39,654GS2032,GS,315975,305875,96.80
20,40,664GS2027,GS,100,100,100.00
20,41,664GS2035,GS,100,100,100.00
20,42,667GS2035,GS,22,11,50.00
20,43,667GS2050,GS,1,1,100.00
20,44,676GS2061,GS,131,127,96.95
20,45,679GS2031,GS,100,100,100.00
20,46,68GS2060,GS,104,100,96.15
20,47,692GS2039,GS,711,711,100.00
20,48,695GS2061,GS,108,102,94.44
20,49,697GR2034,GS,24,24,100.00
20,50,699GS2051,GS,2500,2500,100.00
20,51,702GS2031,GS,200,200,100.00
20,52,706GS2028,GS,773,475,61.45
20,53,706GS2046,GS,14,7,50.00
20,54,709GS2054,GS,24000,24000,100.00
20,55,709GS2074,GS,13156,13156,100.00
20,56,710GS2029,GS,191,191,100.00
20,57,716GS2050,GS,100,100,100.00
20,58,717GS2030,GS,24106,21706,90.04
20,59,718GS2033,GS,15000,15000,100.00
20,60,718GS2037,GS,7000,7000,100.00
20,61,725GS2063,GS,6732,6729,99.96
