Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24072025,1399798964,0002747
Trade Date <24-JUL-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,50,50,100.00
20,2,1003ISFL28,N4,47,47,100.00
20,3,1003SCL30A,NV,27,27,100.00
20,4,1015ECL29,NR,17,17,100.00
20,5,1015SCL28A,AL,16,2,12.50
20,6,1015SCL29B,N1,10,10,100.00
20,7,1015UCL26,N1,7,7,100.00
20,8,1018GS2026,GS,2656,2656,100.00
20,9,1025NFL25,N5,32,32,100.00
20,10,1025SCL34,Z8,5,5,100.00
20,11,1025SCL34A,ZT,350,350,100.00
20,12,1025SCL34B,N1,10,10,100.00
20,13,1025UCL26A,N1,2,2,100.00
20,14,1040NFL26,NA,24,24,100.00
20,15,1050IIFL29,ND,20,10,50.00
20,16,1050UCL25,N7,17,17,100.00
20,17,1050UCL28,NH,10,10,100.00
20,18,1065NFL27,NC,72,72,100.00
20,19,1075SCL34,ZR,2,1,50.00
20,20,10CAGL27,N5,48,48,100.00
20,21,10IIFL28,N4,40,40,100.00
20,22,10NFL25,N9,63,63,100.00
20,23,10NIDO26,N6,372,244,65.59
20,24,1119NFL27,ND,149,100,67.11
20,25,111ESFB31,N0,2,2,100.00
20,26,12VCCL29B,N0,1,1,100.00
20,27,182D010126,TB,100,100,100.00
20,28,182D080126,TB,100,100,100.00
20,29,182D150126,TB,100,100,100.00
20,30,182D251225,TB,200,100,50.00
20,31,182D310725,TB,200,100,50.00
20,32,20MICRONS,EQ,157093,77548,49.36
20,33,21STCENMGM,EQ,10244,6066,59.22
20,34,360ONE,EQ,2553892,1736451,67.99
20,35,364D041225,TB,700,700,100.00
20,36,364D150825,TB,400,400,100.00
20,37,3IINFOLTD,EQ,343189,200312,58.37
20,38,3MINDIA,EQ,14336,7937,55.36
20,39,3PLAND,EQ,2674,1486,55.57
20,40,574GS2026,GS,1,1,100.00
20,41,579GS2030,GS,1,1,100.00
20,42,5PAISA,EQ,20000,11608,58.04
20,43,601GS2030,GS,600,600,100.00
20,44,633GS2035,GS,1700,1700,100.00
20,45,63MOONS,EQ,212041,92725,43.73
20,46,654GS2032,GS,3968,3264,82.26
20,47,664GS2027,GS,4501,4501,100.00
20,48,667GS2035,GS,26812,26812,100.00
20,49,667GS2050,GS,32100,32100,100.00
20,50,668GS2040,GS,1100,1000,90.91
20,51,676GS2061,GS,589,589,100.00
20,52,679GS2031,GS,200,100,50.00
20,53,679GS2034A,GS,200,200,100.00
20,54,689MH31,SG,100,100,100.00
20,55,68GS2060,GS,6200,6200,100.00
20,56,690GS2065,GS,650,650,100.00
20,57,692GS2039,GS,100,100,100.00
20,58,699GS2026,GS,1,1,100.00
20,59,699GS2051,GS,3951,3951,100.00
20,60,702GS2027,GS,13165,12300,93.43
20,61,702GS2031,GS,160,80,50.00
20,62,704GS2029,GS,3000,3000,100.00
20,63,704REC28,N4,900,900,100.00
20,64,706GS2028,GS,40599,40589,99.98
20,65,709GS2054,GS,1100,1100,100.00
20,66,709GS2074,GS,10,10,100.00
20,67,710GS2029,GS,2551,2550,99.96
20,68,711NTPC25A,N8,10,10,100.00
20,69,716GS2050,GS,4276,4276,100.00
20,70,717GS2030,GS,1450,1450,100.00
20,71,718GS2037,GS,33404,33404,100.00
20,72,719GS2060,GS,3,3,100.00
20,73,71GS2034,GS,600,600,100.00
20,74,723GS2039,GS,2000,2000,100.00
20,75,725GS2063,GS,184975,183599,99.26
20,76,726GS2032,GS,21564,21000,97.38
20,77,729IRFC26,NN,5,5,100.00
20,78,732GS2030,GS,4200,4100,97.62
20,79,733GS2026,GS,2000,2000,100.00
20,80,734GS2064,GS,1650,1650,100.00
20,81,737GS2028,GS,5900,5900,100.00
20,82,738GS2027,GS,64080,50962,79.53
20,83,738REC27TF,N2,100,100,100.00
20,84,739NHAI26,N8,500,500,100.00
20,85,73GS2053,GS,8,0,0.00
20,86,743GJ31,SG,100,100,100.00
20,87,745AP38,SG,100,100,100.00
20,88,746GS2073,GS,2559,2559,100.00
20,89,749KL45,SG,100,100,100.00
20,90,74GS2035,GS,50,50,100.00
20,91,74GS2062,GS,60,60,100.00
20,92,750IRFC35,NK,22,22,100.00
20,93,751HUDCO28,N5,323,323,100.00
20,94,753IRFC30,NJ,1,1,100.00
20,95,754GS2036,GS,240852,238498,99.02
20,96,757GS2033,GS,446,446,100.00
