Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15102025,1669555352,0003019
Trade Date <15-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,14,14,100.00
20,2,0SCL26,YR,50,50,100.00
20,3,1003ISFL28,N4,321,200,62.31
20,4,1003SCL30A,NV,546,546,100.00
20,5,1015ECL29,NR,500,500,100.00
20,6,1015UCL26,N1,102,102,100.00
20,7,1015UCL27,NF,1,1,100.00
20,8,1018GS2026,GS,16,14,87.50
20,9,1025UCL26A,N1,4,4,100.00
20,10,1025UCL27A,NG,100,40,40.00
20,11,1035UCL26,NA,33,33,100.00
20,12,1039UCL26,NE,8,8,100.00
20,13,1040NFL26,NA,10,10,100.00
20,14,1050ISFL28,N5,220,220,100.00
20,15,105UCL2026,NB,200,200,100.00
20,16,1060ECL29,NS,200,200,100.00
20,17,1065NFL27,NC,111,111,100.00
20,18,10IIFL28,N4,50,50,100.00
20,19,10IIFL28A,NE,1000,1000,100.00
20,20,10IIFL29,N6,123,120,97.56
20,21,10IIFLSF27,NB,139,139,100.00
20,22,10ISFL26,N3,10,10,100.00
20,23,10NIDO26,N6,12,12,100.00
20,24,1102NFL26,N8,70,70,100.00
20,25,118VCCL27,N0,1,1,100.00
20,26,11UCL26,NC,3,3,100.00
20,27,12VCCL27A,N0,7,7,100.00
20,28,12VCCL27B,N0,3,3,100.00
20,29,12VCCL29B,N0,9,6,66.67
20,30,182D050226,TB,300,200,66.67
20,31,182D120226,TB,200,100,50.00
20,32,182D150126,TB,100,100,100.00
20,33,182D201125,TB,100,100,100.00
20,34,182D311025,TB,3000,3000,100.00
20,35,20MICRONS,EQ,71617,44822,62.59
20,36,21STCENMGM,EQ,5538,4756,85.88
20,37,360ONE,EQ,2005553,958575,47.80
20,38,364D080126,TB,1000,1000,100.00
20,39,364D090726,TB,1800,1800,100.00
20,40,364D181225,TB,100,100,100.00
20,41,3IINFOLTD,EQ,432457,257741,59.60
20,42,3MINDIA,EQ,5824,4322,74.21
20,43,3PLAND,EQ,6725,5712,84.94
20,44,515GS2025,GS,3,3,100.00
20,45,577GS2030,GS,100,100,100.00
20,46,5PAISA,EQ,112679,33141,29.41
20,47,633GS2035,GS,503,404,80.32
20,48,63MOONS,EQ,96807,54637,56.44
20,49,648GS2035,GS,3308,3104,93.83
20,50,654GS2032,GS,8112,8112,100.00
20,51,667GS2050,GS,43515,43500,99.97
20,52,668GS2040,GS,800,800,100.00
20,53,675GS2029,GS,1,1,100.00
20,54,676GS2061,GS,5031,3486,69.29
20,55,679GS2031,GS,1010,1000,99.01
20,56,679GS2034,GS,2260,2000,88.50
20,57,68GS2060,GS,2338,2338,100.00
20,58,690GS2065,GS,126655,114283,90.23
20,59,692GS2039,GS,601,600,99.83
20,60,697GR2034,GS,100,100,100.00
20,61,698GR2054,GS,200,200,100.00
20,62,699GS2026,GS,100,100,100.00
20,63,699GS2051,GS,3159,3159,100.00
20,64,702GS2027,GS,2690,2689,99.96
20,65,702GS2031,GS,1000,1000,100.00
20,66,704GS2029,GS,1800,1800,100.00
20,67,706GS2028,GS,1200,1200,100.00
20,68,709GS2054,GS,16876,14326,84.89
20,69,709GS2074,GS,200069,197999,98.97
20,70,710GS2029,GS,100,100,100.00
20,71,714NHAI26,N7,1500,1500,100.00
20,72,717GS2030,GS,100,100,100.00
20,73,718GS2033,GS,1650,1350,81.82
20,74,718GS2037,GS,6503,6503,100.00
20,75,719GS2060,GS,665,665,100.00
20,76,71GS2034,GS,200,200,100.00
20,77,724GS2055,GS,4099,4099,100.00
20,78,725GS2063,GS,5551,5551,100.00
20,79,732GS2030,GS,100,100,100.00
20,80,732IRFC25,NI,688,609,88.52
20,81,733GS2026,GS,700,700,100.00
20,82,734GS2064,GS,68928,68428,99.27
20,83,736GS2052,GS,1,1,100.00
20,84,737GS2028,GS,9811,9811,100.00
20,85,738GS2027,GS,26828,26828,100.00
20,86,738REC27TF,N2,18,18,100.00
20,87,739NHAI26,N8,557,557,100.00
20,88,73GS2053,GS,200501,200301,99.90
20,89,74GS2062,GS,204,204,100.00
20,90,750IRFC35,NK,358,208,58.10
20,91,751HUDCO28,N5,330,330,100.00
20,92,753IRFC30,NJ,150,150,100.00
20,93,754GS2036,GS,298248,254136,85.21
20,94,758GJ32,SG,400,400,100.00
20,95,760PFCL35,N3,1,1,100.00
20,96,762GS2039,GS,200,200,100.00
20,97,762NTPC35F,ND,167,157,94.01
20,98,764HUDCO31,N8,661,661,100.00
20,99,764IRFC31,NO,653,483,73.97
20,100,764NABAR31,N2,1100,1000,90.91
20,101,766GJ30A,SG,100,100,100.00
20,102,769HUDCO31,N9,110,110,100.00
20,103,769NHAI31,NE,1770,1770,100.00
20,104,76IGT26,ND,310,310,100.00
20,105,76NHAI31,NA,904,863,95.46
20,106,777MN38,SG,100,100,100.00
20,107,79NHIT35,N1,10,10,100.00
20,108,79NHIT40,N2,2,2,100.00
20,109,79NHIT47,N3,48,29,60.42
20,110,810IRFC27,N2,90,65,72.22
20,111,820IIFL27,N9,50,50,100.00
20,112,824GS2027,GS,7270,7270,100.00
20,113,82IGT31,NJ,20,10,50.00
20,114,830NHAI27,N2,357,355,99.44
20,115,830PFCL27,N5,1,1,100.00
20,116,832GS2032,GS,4,2,50.00
20,117,83GS2040,GS,1250,1250,100.00
20,118,842IIFL26,NL,121,121,100.00
20,119,843IHFL29,NC,661,659,99.70
20,120,84TCHF28,NA,20,10,50.00
20,121,850NHAI29,N5,100,100,100.00
20,122,85IFL26,NX,10,10,100.00
20,123,863REC29,NC,3,3,100.00
20,124,865IFL28,NZ,1200,1200,100.00
20,125,865IIFL28,NS,500,500,100.00
20,126,865IRFC29,NA,1,1,100.00
20,127,865SCL27,N4,86,86,100.00
20,128,867NHPC33,N3,5,5,100.00
20,129,871REC28,N9,4110,3260,79.32
20,130,875IHFL29,ND,240,240,100.00
20,131,875IIFL26A,NQ,57,57,100.00
20,132,875NHAI29,N6,641,521,81.28
20,133,876HUDCO28,ND,3066,2755,89.86
20,134,87LTF27,NH,20,20,100.00
20,135,880IREDA29,N5,191,191,100.00
20,136,880IREDA34,N6,1600,1245,77.81
20,137,885AEL28,NB,20,20,100.00
20,138,886REC34,NG,5,5,100.00
20,139,888IHFL25F,NC,3,3,100.00
20,140,888IRFC29,NE,17,17,100.00
20,141,891IIFCL34,N4,735,735,100.00
20,142,891NTPC33,N6,368,368,100.00
20,143,892NHPC33,N6,5,5,100.00
20,144,895AEL27,N9,132,132,100.00
20,145,898LTF29,N7,842,502,59.62
20,146,8SMC29,N1,60,60,100.00
20,147,8SMC30,N2,60,60,100.00
20,148,901HUDCO34,NE,125,125,100.00
20,149,901NHB34,N6,390,191,48.97
20,150,902SCL27A,ZI,6,6,100.00
20,151,903SFL28,YI,1280,1175,91.80
20,152,910TCAP28,NA,56,55,98.21
20,153,915AEL28,NC,720,720,100.00
20,154,91D020126,TB,500,500,100.00
20,155,91D061125,TB,100,100,100.00
20,156,91D080126,TB,400,400,100.00
20,157,91D111225,TB,500,400,80.00
20,158,91D131125,TB,400,300,75.00
20,159,91D181225,TB,300,300,100.00
20,160,91D201125,TB,600,600,100.00
20,161,91D231025,TB,100,100,100.00
20,162,91D281125,TB,200,200,100.00
20,163,91D301025,TB,100,100,100.00
20,164,91MOFSL27,N2,50,50,100.00
20,165,925SCL25A,NH,10,10,100.00
20,166,925SCL25B,Y3,7,7,100.00
20,167,925SCL30A,NH,141,141,100.00
20,168,92GS2030,GS,8000,8000,100.00
20,169,930AEL30,NF,1054,830,78.75
20,170,930APMD28,N0,4,4,100.00
20,171,930APMD31,N0,5,5,100.00
20,172,930APMD33,N0,280,280,100.00
20,173,930SFL28,YP,100,50,50.00
20,174,931SFL26,Z5,50,50,100.00
20,175,932AEL27,N3,20,20,100.00
20,176,935LTF29,N5,91,82,90.11
20,177,935TSI27,N0,3,3,100.00
20,178,935TSI29,N0,10,10,100.00
20,179,93MOFSL34,N6,25,25,100.00
20,180,943ECL28,NJ,95,95,100.00
20,181,948SCL26,N9,30,30,100.00
20,182,950ISF27C,N0,10,10,100.00
20,183,957ICCL25,YW,2,2,100.00
20,184,960ISFL25,N1,10,10,100.00
20,185,965AEL27,N4,2211,2211,100.00
20,186,965SCL25A,NF,2,2,100.00
20,187,965SCL25C,N0,18,18,100.00
20,188,96IIFL28,N5,587,505,86.03
20,189,96IIFL28A,NF,1559,1559,100.00
20,190,971SCL29B,N1,120,106,88.33
20,191,97SFL28,YS,10,10,100.00
20,192,985ECL28,NK,575,575,100.00
20,193,985SFIL28,NO,1,1,100.00
20,194,990SCL26B,Y7,262,259,98.85
20,195,990SCL26D,AH,3,3,100.00
20,196,990SCL27,YT,10,10,100.00
20,197,990SCL27B,N1,26,26,100.00
20,198,995SCL2035,NM,5,5,100.00
20,199,99AEL29,N7,60,60,100.00
20,200,9IIFL28,Y0,275,275,100.00
20,201,9MMFSML,N2,725,500,68.97
20,202,9SCL26BA,NA,375,375,100.00
20,203,9SCL27,N2,40,40,100.00
20,204,AADHARHFC,EQ,171264,102900,60.08
20,205,AAKAAR,SM,3200,3200,100.00
20,206,AAKASH,EQ,194984,132191,67.80
20,207,AARADHYA,ST,22800,21600,94.74
20,208,AARON,EQ,9145,5045,55.17
20,209,AARTECH,EQ,20864,13445,64.44
20,210,AARTIDRUGS,EQ,122051,58230,47.71
20,211,AARTIIND,EQ,499520,247566,49.56
20,212,AARTIPHARM,EQ,140362,87595,62.41
20,213,AARTISURF,EQ,3293,2278,69.18
20,214,AARTISURF,P1,2,2,100.00
20,215,AARVI,EQ,3736,2060,55.14
20,216,AATMAJ,SM,4000,4000,100.00
20,217,AAVAS,EQ,67401,41563,61.67
20,218,ABB,EQ,218559,116879,53.48
20,219,ABBOTINDIA,EQ,5191,3487,67.17
20,220,ABCAPITAL,EQ,3564186,1546756,43.40
20,221,ABCOTS,EQ,45586,8688,19.06
20,222,ABDL,EQ,304209,140634,46.23
20,223,ABFRL,EQ,4595235,1483311,32.28
20,224,ABGSEC,EQ,19,15,78.95
20,225,ABHAPOWER,ST,24000,17600,73.33
20,226,ABINFRA,EQ,77619,48133,62.01
20,227,ABLBL,EQ,661450,317864,48.06
20,228,ABMINTLLTD,EQ,3221,1605,49.83
20,229,ABREL,EQ,990286,189052,19.09
20,230,ABSLAMC,EQ,177500,80181,45.17
20,231,ABSLBANETF,EQ,26574,23724,89.28
20,232,ABSLLIQUID,EQ,1481,1122,75.76
20,233,ABSLNN50ET,EQ,8737,7698,88.11
20,234,ABSLPSE,EQ,192670,176715,91.72
20,235,ABSMARINE,SM,50500,42000,83.17
20,236,ACC,EQ,65709,37166,56.56
20,237,ACCELYA,EQ,20050,11988,59.79
20,238,ACCENTMIC,ST,10500,9500,90.48
20,239,ACCPL,SM,6000,3600,60.00
20,240,ACCURACY,EQ,217806,179435,82.38
20,241,ACE,EQ,162267,69798,43.01
20,242,ACEINTEG,EQ,46697,24769,53.04
20,243,ACI,EQ,129355,58430,45.17
20,244,ACLGATI,EQ,314022,166740,53.10
20,245,ACMESOLAR,EQ,723851,322552,44.56
20,246,ACTIVEINFR,SM,1200,1200,100.00
20,247,ACUTAAS,EQ,582075,311216,53.47
20,248,ADANIENSOL,EQ,1555720,754308,48.49
20,249,ADANIENT,EQ,759772,323614,42.59
20,250,ADANIGREEN,EQ,1161123,304413,26.22
20,251,ADANIPORTS,EQ,2675240,1707317,63.82
20,252,ADANIPOWER,EQ,64552739,17537412,27.17
20,253,ADFFOODS,EQ,93402,45889,49.13
20,254,ADL,EQ,1032,629,60.95
20,255,ADOR,EQ,792231,104442,13.18
20,256,ADROITINFO,EQ,113889,92285,81.03
20,257,ADSL,EQ,161107,65144,40.44
20,258,ADVANIHOTR,EQ,27141,21217,78.17
20,259,ADVENZYMES,EQ,175345,107629,61.38
20,260,AEGISLOG,EQ,366969,123845,33.75
20,261,AEGISVOPAK,EQ,1370362,315414,23.02
20,262,AEROENTER,EQ,117650,78158,66.43
20,263,AEROFLEX,EQ,243550,120204,49.35
20,264,AERON,SM,11000,8000,72.73
20,265,AERONEU,EQ,51424,21524,41.86
20,266,AESTHETIK,SM,22000,20000,90.91
20,267,AETHER,EQ,73658,37409,50.79
20,268,AFCONS,EQ,1482466,1131895,76.35
20,269,AFFLE,EQ,162032,88668,54.72
20,270,AFFORDABLE,EQ,151727,49180,32.41
20,271,AFIL,EQ,1657864,776167,46.82
20,272,AFSL,EQ,4254,2179,51.22
20,273,AGARIND,EQ,8704,3911,44.93
20,274,AGARWALEYE,EQ,242147,127165,52.52
20,275,AGARWALFT,SM,7500,6000,80.00
20,276,AGARWALTUF,SM,85200,60000,70.42
20,277,AGI,EQ,90858,42265,46.52
20,278,AGIIL,EQ,5481252,1082932,19.76
20,279,AGNI,ST,12500,12500,100.00
20,280,AGRITECH,EQ,2615,2164,82.75
20,281,AGUL,SM,2000,2000,100.00
20,282,AHLADA,EQ,10706,8630,80.61
20,283,AHLEAST,EQ,4657,3468,74.47
20,284,AHLUCONT,EQ,41842,13761,32.89
20,285,AIAENG,EQ,164467,136544,83.02
20,286,AIIL,EQ,79979,37053,46.33
20,287,AILIMITED,SM,4500,4500,100.00
20,288,AIMTRON,SM,20000,15200,76.00
20,289,AIRAN,EQ,74604,45550,61.06
20,290,AIROLAM,EQ,11613,8736,75.23
20,291,AIRTELPP,E1,141714,78878,55.66
20,292,AISL,SM,2400,2400,100.00
20,293,AJANTPHARM,EQ,168959,115833,68.56
20,294,AJAXENGG,EQ,205932,172049,83.55
20,295,AJMERA,EQ,51473,29362,57.04
20,296,AJOONI,EQ,309934,238948,77.10
20,297,AKANKSHA,SM,6000,3000,50.00
20,298,AKASH,EQ,5201,3427,65.89
20,299,AKG,EQ,27741,20256,73.02
20,300,AKI,EQ,54243,38144,70.32
20,301,AKSHAR,EQ,2275646,1580744,69.46
20,302,AKSHARCHEM,EQ,4767,2778,58.28
20,303,AKSHOPTFBR,EQ,772640,237830,30.78
