Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10102025,1835852555,0002999
Trade Date <10-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,59,59,100.00
20,2,1003ISFL28,N4,60,60,100.00
20,3,1003SCL30A,NV,25,25,100.00
20,4,1015ECL29,NR,831,831,100.00
20,5,1015UCL26,N1,1,1,100.00
20,6,1015UCL27,NF,52,52,100.00
20,7,1018GS2026,GS,1140,1140,100.00
20,8,1025UCL26A,N1,32,32,100.00
20,9,1025VCCL28,N0,1,1,100.00
20,10,1040UCL27B,N1,558,558,100.00
20,11,105IIFL29,N7,25,25,100.00
20,12,1060ECL29,NS,80,80,100.00
20,13,1065NFL27,NC,61,61,100.00
20,14,1075SCL33,YK,1,1,100.00
20,15,10IIFL28A,NE,1300,1300,100.00
20,16,10ISFL26,N3,100,100,100.00
20,17,10NIDO26,N6,59,59,100.00
20,18,10UCL26,ND,10,10,100.00
20,19,113ESFB31,N0,20,20,100.00
20,20,12VCCL29B,N0,8,8,100.00
20,21,182D010126,TB,200,100,50.00
20,22,182D050226,TB,100,100,100.00
20,23,182D050326,TB,100,100,100.00
20,24,182D220126,TB,200,100,50.00
20,25,20MICRONS,EQ,96785,35927,37.12
20,26,21STCENMGM,EQ,6102,3262,53.46
20,27,360ONE,EQ,257260,96801,37.63
20,28,364D020726,TB,100,100,100.00
20,29,364D061125,TB,500,500,100.00
20,30,364D161025,TB,25000,25000,100.00
20,31,364D170926,TB,100,100,100.00
20,32,364D210526,TB,1100,1100,100.00
20,33,364D240926,TB,100,100,100.00
20,34,3IINFOLTD,EQ,698691,399445,57.17
20,35,3MINDIA,EQ,2220,1203,54.19
20,36,3PLAND,EQ,4985,3950,79.24
20,37,515GS2025,GS,16,14,87.50
20,38,563GS2026,GS,10,5,50.00
20,39,574GS2026,GS,1828,1828,100.00
20,40,5PAISA,EQ,8785132,891212,10.14
20,41,610GS2031,GS,100,100,100.00
20,42,633GS2035,GS,4100,4100,100.00
20,43,63MOONS,EQ,48959,25689,52.47
20,44,648GS2035,GS,3200,3200,100.00
20,45,654GS2032,GS,416,401,96.39
20,46,664GS2027,GS,200,200,100.00
20,47,667GS2035,GS,4000,2000,50.00
20,48,667GS2050,GS,1101,1101,100.00
20,49,668GS2040,GS,7500,7195,95.93
20,50,676GS2061,GS,431605,425301,98.54
20,51,679GS2034,GS,100,100,100.00
20,52,68GS2060,GS,108,108,100.00
20,53,690GS2065,GS,101,101,100.00
20,54,692GS2039,GS,102,100,98.04
20,55,695GS2061,GS,120,120,100.00
20,56,697RJ31,SG,400,400,100.00
20,57,698GR2054,GS,100,100,100.00
20,58,699GS2026,GS,1056,1016,96.21
20,59,699GS2051,GS,1,1,100.00
20,60,702GS2027,GS,3400,3400,100.00
20,61,702GS2031,GS,100,100,100.00
20,62,706GS2028,GS,6550,6550,100.00
20,63,709GS2054,GS,33190,33160,99.91
20,64,709GS2074,GS,13199,13199,100.00
20,65,710GS2029,GS,150,150,100.00
20,66,716GS2050,GS,5495,5495,100.00
20,67,717GS2030,GS,4602,4602,100.00
20,68,718GS2033,GS,200,200,100.00
20,69,718GS2037,GS,10085,10085,100.00
20,70,719GS2060,GS,2000,2000,100.00
20,71,71GS2034,GS,100,100,100.00
20,72,725GS2063,GS,6216,3711,59.70
20,73,726GS2032,GS,100,100,100.00
20,74,726GS2033,GS,14250,14100,98.95
20,75,729IRFC26,NN,390,250,64.10
