Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20082021,951599566,0001799
Trade Date <20-AUG-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,73665,44847,60.88
20,2,21STCENMGM,EQ,8151,7991,98.04
20,3,3MINDIA,EQ,7309,5001,68.42
20,4,577GS2030,GS,100,100,100.00
20,5,585GS2030,GS,200,200,100.00
20,6,5PAISA,EQ,21712,11273,51.92
20,7,63MOONS,EQ,47508,30805,64.84
20,8,662GS2051,GS,17000,17000,100.00
20,9,664GS2035,GS,100,100,100.00
20,10,667GS2050,GS,22594,15491,68.56
20,11,676GS2061,GS,100,100,100.00
20,12,716GS2050,GS,1,1,100.00
20,13,757GS2033,GS,17441,17441,100.00
20,14,75GS2034,GS,25410,25400,99.96
20,15,A2ZINFRA,EQ,404295,239789,59.31
20,16,AAATECH,SM,39000,36000,92.31
20,17,AAKASH,EQ,50260,24510,48.77
20,18,AAREYDRUGS,EQ,39614,28429,71.77
20,19,AARON,EQ,7099,5539,78.03
20,20,AARTIDRUGS,EQ,247673,122009,49.26
20,21,AARTIIND,EQ,1897994,541318,28.52
20,22,AARTISURF,EQ,19434,10843,55.79
20,23,AARVEEDEN,EQ,49760,32915,66.15
20,24,AARVI,EQ,34971,24640,70.46
20,25,AAVAS,EQ,831440,335037,40.30
20,26,ABAN,EQ,120053,71467,59.53
20,27,ABB,EQ,161033,62534,38.83
20,28,ABBOTINDIA,EQ,12055,4371,36.26
20,29,ABCAPITAL,EQ,2050100,1021236,49.81
20,30,ABFRL,EQ,2650899,1219614,46.01
20,31,ABSLBANETF,EQ,168856,168732,99.93
20,32,ABSLNN50ET,EQ,112,89,79.46
20,33,ABSLRIF6RG,MF,1353,1253,92.61
20,34,ACC,EQ,596640,175504,29.42
20,35,ACCELYA,EQ,65258,23945,36.69
20,36,ACCURACY,EQ,292744,116463,39.78
20,37,ACE,EQ,428915,172225,40.15
20,38,ACRYSIL,EQ,65003,42752,65.77
20,39,ADANIENT,EQ,4933377,1532300,31.06
20,40,ADANIPORTS,EQ,6274741,978631,15.60
20,41,ADFFOODS,EQ,21983,14290,65.00
20,42,ADORWELD,EQ,10799,6148,56.93
20,43,ADROITINFO,EQ,5570,5560,99.82
20,44,ADSL,EQ,128742,69809,54.22
20,45,ADVANIHOTR,EQ,75708,42464,56.09
20,46,ADVENZYMES,EQ,406514,109575,26.95
20,47,AEGISCHEM,EQ,729554,426259,58.43
20,48,AGARIND,EQ,30602,19621,64.12
20,49,AGRITECH,EQ,18217,8594,47.18
20,50,AGROPHOS,EQ,91198,57710,63.28
20,51,AHLADA,EQ,27367,18348,67.04
20,52,AHLEAST,EQ,4533,2947,65.01
20,53,AHLUCONT,EQ,61308,48185,78.59
20,54,AHLWEST,EQ,5354,1040,19.42
20,55,AIAENG,EQ,91109,57003,62.57
20,56,AILIMITED,SM,3000,3000,100.00
20,57,AIROLAM,SM,21000,9000,42.86
20,58,AISL,SM,25200,3600,14.29
20,59,AJANTPHARM,EQ,40537,17733,43.75
20,60,AJOONI,EQ,45340,23479,51.78
20,61,AKASH,EQ,26475,24625,93.01
20,62,AKG,EQ,5165,590,11.42
20,63,AKSHARCHEM,EQ,40810,14685,35.98
20,64,AKZOINDIA,EQ,6873,2956,43.01
20,65,ALANKIT,EQ,636736,351453,55.20
20,66,ALBERTDAVD,EQ,51680,27032,52.31
20,67,ALEMBICLTD,EQ,329365,110553,33.57
20,68,ALICON,EQ,38857,20132,51.81
20,69,ALKALI,EQ,30676,16721,54.51
20,70,ALKEM,EQ,373322,63308,16.96
20,71,ALKYLAMINE,EQ,55411,38708,69.86
20,72,ALLCARGO,EQ,1978848,604656,30.56
20,73,ALLSEC,EQ,17319,12303,71.04
20,74,ALMONDZ,EQ,21199,15207,71.73
20,75,ALOKINDS,EQ,4905977,2034796,41.48
20,76,ALPA,EQ,58651,33540,57.19
20,77,ALPHAGEO,EQ,69151,30907,44.69
20,78,AMARAJABAT,EQ,1300227,463519,35.65
20,79,AMBER,EQ,25125,13286,52.88
20,80,AMBICAAGAR,EQ,1757,1650,93.91
20,81,AMBIKCO,EQ,46567,20424,43.86
20,82,AMBUJACEM,EQ,6967987,2593134,37.21
20,83,AMDIND,EQ,44042,23331,52.97
20,84,AMJLAND,EQ,27511,17060,62.01
20,85,AMRUTANJAN,EQ,92700,71411,77.03
20,86,ANDHRAPAP,EQ,24285,11342,46.70
20,87,ANDHRSUGAR,EQ,52807,27381,51.85
20,88,ANDREWYU,EQ,162634,106137,65.26
20,89,ANGELBRKG,EQ,180308,98433,54.59
20,90,ANIKINDS,EQ,76055,53700,70.61
20,91,ANMOL,EQ,8918,4010,44.97
20,92,ANSALAPI,EQ,398902,256237,64.24
20,93,ANSALHSG,EQ,115465,59163,51.24
20,94,ANUP,EQ,35567,17892,50.31
20,95,ANURAS,EQ,81694,46838,57.33
20,96,APARINDS,EQ,95339,28863,30.27
20,97,APCL,EQ,49589,32228,64.99
20,98,APCOTEXIND,EQ,60622,46527,76.75
20,99,APEX,EQ,169754,72072,42.46
20,100,APLAPOLLO,EQ,128399,92597,72.12
20,101,APLLTD,EQ,349031,171324,49.09
20,102,APOLLO,EQ,76590,47891,62.53
20,103,APOLLOHOSP,EQ,2331020,575091,24.67
20,104,APOLLOPIPE,EQ,84758,64212,75.76
20,105,APOLLOTYRE,EQ,3941166,1617232,41.03
20,106,APOLSINHOT,EQ,5853,3371,57.59
20,107,APTECHT,EQ,280293,123736,44.15
20,108,ARENTERP,EQ,3209,3208,99.97
20,109,ARIES,EQ,61037,33513,54.91
20,110,ARIHANT,EQ,10033,2806,27.97
20,111,ARIHANTCAP,EQ,45981,16915,36.79
20,112,ARIHANTSUP,EQ,109024,45067,41.34
20,113,ARMANFIN,EQ,5303,3753,70.77
20,114,AROGRANITE,EQ,144823,85100,58.76
20,115,ARROWGREEN,EQ,25895,12635,48.79
20,116,ARSHIYA,EQ,36796,21196,57.60
20,117,ARSSINFRA,EQ,20171,9804,48.60
20,118,ARTEMISMED,EQ,4088,2836,69.37
20,119,ARVIND,EQ,824445,519213,62.98
20,120,ARVINDFASN,EQ,1449605,587892,40.56
20,121,ARVSMART,EQ,80765,54290,67.22
20,122,ASAHIINDIA,EQ,86445,31729,36.70
20,123,ASAHISONG,EQ,28652,9968,34.79
20,124,ASALCBR,EQ,43408,20802,47.92
20,125,ASHIANA,EQ,76697,32197,41.98
20,126,ASHIMASYN,EQ,34976,28271,80.83
20,127,ASHOKA,EQ,2177793,687308,31.56
20,128,ASHOKLEY,EQ,21031189,7445571,35.40
20,129,ASIANHOTNR,EQ,10459,4872,46.58
20,130,ASIANPAINT,EQ,3931334,1590560,40.46
20,131,ASIANTILES,EQ,170544,107967,63.31
20,132,ASLIND,SM,8000,8000,100.00
20,133,ASPINWALL,EQ,4002,2307,57.65
20,134,ASTEC,EQ,18238,6670,36.57
20,135,ASTERDM,EQ,12407605,1435293,11.57
20,136,ASTRAL,EQ,170390,107624,63.16
20,137,ASTRAMICRO,EQ,311171,156948,50.44
20,138,ASTRAZEN,EQ,19327,8651,44.76
20,139,ASTRON,EQ,839083,423112,50.43
20,140,ATALREAL,SM,52800,17600,33.33
20,141,ATFL,EQ,8015,3331,41.56
20,142,ATUL,EQ,15936,6915,43.39
20,143,ATULAUTO,EQ,110091,41642,37.83
20,144,AUBANK,EQ,983443,191484,19.47
20,145,AUROPHARMA,EQ,8306985,2372926,28.57
20,146,AUTOAXLES,EQ,19126,7217,37.73
20,147,AUTOIND,EQ,44731,29234,65.36
20,148,AVADHSUGAR,EQ,69326,23128,33.36
20,149,AVANTIFEED,EQ,362874,126499,34.86
20,150,AVROIND,SM,10000,4000,40.00
20,151,AVTNPL,EQ,168064,64236,38.22
20,152,AWHCL,EQ,386095,125524,32.51
20,153,AXISBANK,EQ,6092036,3137826,51.51
20,154,AXISBNKETF,EQ,496,251,50.60
20,155,AXISBPSETF,EQ,107726,106175,98.56
20,156,AXISCADES,EQ,156096,140621,90.09
20,157,AXISGOLD,EQ,88360,65564,74.20
20,158,AXISHCETF,EQ,8407,6375,75.83
20,159,AXISNIFTY,EQ,13191,9091,68.92
20,160,AXISTECETF,EQ,3206,2559,79.82
20,161,AYMSYNTEX,EQ,169087,84762,50.13
20,162,BAFNAPH,EQ,3488,2446,70.13
20,163,BAGFILMS,EQ,407454,269913,66.24
20,164,BAJAJ-AUTO,EQ,301943,125918,41.70
20,165,BAJAJCON,EQ,632501,267955,42.36
20,166,BAJAJELEC,EQ,123697,69728,56.37
20,167,BAJAJFINSV,EQ,275052,51307,18.65
20,168,BAJAJHLDNG,EQ,48299,33484,69.33
20,169,BAJFINANCE,EQ,2164732,655989,30.30
20,170,BALAJITELE,EQ,181987,104538,57.44
20,171,BALAMINES,EQ,42020,23109,55.00
20,172,BALAXI,EQ,2612,1503,57.54
20,173,BALKRISIND,EQ,368653,161787,43.89
20,174,BALMLAWRIE,EQ,270890,129358,47.75
20,175,BALPHARMA,EQ,34327,23615,68.79
20,176,BALRAMCHIN,EQ,1177227,330062,28.04
20,177,BANARBEADS,EQ,28935,10556,36.48
20,178,BANARISUG,EQ,4469,1556,34.82
20,179,BANCOINDIA,EQ,398060,153613,38.59
20,180,BANDHANBNK,EQ,6386231,2737212,42.86
