Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12052022,924409273,0002063
Trade Date <12-MAY-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,320962,81124,25.28
20,2,21STCENMGM,EQ,765,656,85.75
20,3,3IINFOLTD,EQ,526029,291150,55.35
20,4,3MINDIA,EQ,5251,3661,69.72
20,5,426GS2023,GS,21,21,100.00
20,6,5PAISA,EQ,11887,6592,55.46
20,7,610GS2031,GS,1,1,100.00
20,8,63MOONS,EQ,139419,66483,47.69
20,9,664GS2035,GS,30000,30000,100.00
20,10,667GS2035,GS,360,298,82.78
20,11,667GS2050,GS,8253,8253,100.00
20,12,68GS2060,GS,217,217,100.00
20,13,695GS2061,GS,501,501,100.00
20,14,699GS2051,GS,703,703,100.00
20,15,699PY29,SG,100,100,100.00
20,16,716GS2050,GS,100,100,100.00
20,17,757GS2033,GS,8,4,50.00
20,18,759GS2026,GS,500,500,100.00
20,19,883GS2023,GS,1,1,100.00
20,20,A2ZINFRA,EQ,326784,206354,63.15
20,21,AAKASH,EQ,482350,444277,92.11
20,22,AAREYDRUGS,EQ,58949,28181,47.81
20,23,AARON,EQ,3729,2705,72.54
20,24,AARTIDRUGS,EQ,149494,55158,36.90
20,25,AARTIIND,EQ,1351911,582988,43.12
20,26,AARTISURF,EQ,10275,5815,56.59
20,27,AARVEEDEN,EQ,10161,5285,52.01
20,28,AARVI,EQ,13396,9350,69.80
20,29,AAVAS,EQ,66756,29324,43.93
20,30,ABAN,EQ,225698,104941,46.50
20,31,ABB,EQ,185292,57885,31.24
20,32,ABBOTINDIA,EQ,10476,3518,33.58
20,33,ABCAPITAL,EQ,3815689,1279358,33.53
20,34,ABCOTS,SM,8000,4000,50.00
20,35,ABFRL,EQ,1669044,369821,22.16
20,36,ABINFRA,SM,4000,4000,100.00
20,37,ABMINTLLTD,EQ,241,217,90.04
20,38,ABSLAMC,EQ,193744,170762,88.14
20,39,ABSLBANETF,EQ,13232,8932,67.50
20,40,ABSLNN50ET,EQ,8153,7926,97.22
20,41,ACC,EQ,348099,119686,34.38
20,42,ACCELYA,EQ,11992,8020,66.88
20,43,ACCORD,SM,6000,6000,100.00
20,44,ACCURACY,EQ,25572,15867,62.05
20,45,ACE,EQ,520025,202813,39.00
20,46,ACRYSIL,EQ,132719,63720,48.01
20,47,ADANIENT,EQ,1553685,292091,18.80
20,48,ADANIGREEN,EQ,890166,309549,34.77
20,49,ADANIPORTS,EQ,10570456,2662815,25.19
20,50,ADANIPOWER,EQ,11068771,5086982,45.96
20,51,ADANITRANS,EQ,702311,212809,30.30
20,52,ADFFOODS,EQ,12219,9162,74.98
20,53,ADORWELD,EQ,16187,13447,83.07
20,54,ADSL,EQ,427319,211520,49.50
20,55,ADVANIHOTR,EQ,34817,20058,57.61
20,56,ADVENZYMES,EQ,118900,58380,49.10
20,57,AEGISCHEM,EQ,431886,199581,46.21
20,58,AFFLE,EQ,320603,164789,51.40
20,59,AGARIND,EQ,132415,44360,33.50
20,60,AGI,EQ,298583,133688,44.77
20,61,AGROPHOS,EQ,7087,7085,99.97
20,62,AGSTRA,EQ,440350,194871,44.25
20,63,AHLADA,EQ,25741,16310,63.36
20,64,AHLEAST,EQ,6160,4509,73.20
20,65,AHLUCONT,EQ,42682,17490,40.98
20,66,AIAENG,EQ,40403,30320,75.04
20,67,AILIMITED,SM,6000,6000,100.00
20,68,AIRAN,EQ,174553,135518,77.64
20,69,AIROLAM,EQ,9273,4778,51.53
20,70,AIRTELPP,E1,491461,423416,86.15
20,71,AISL,SM,1200,1200,100.00
20,72,AJANTPHARM,EQ,102607,57746,56.28
20,73,AJMERA,EQ,133888,50920,38.03
20,74,AJOONI,EQ,19523,14957,76.61
20,75,AKASH,EQ,35569,29386,82.62
20,76,AKG,EQ,82382,57449,69.73
20,77,AKSHARCHEM,EQ,5132,2404,46.84
20,78,AKSHOPTFBR,EQ,298546,193019,64.65
20,79,AKZOINDIA,EQ,5232,3276,62.61
20,80,ALANKIT,EQ,262203,178328,68.01
20,81,ALBERTDAVD,EQ,14528,9150,62.98
20,82,ALEMBICLTD,EQ,288485,170638,59.15
20,83,ALICON,EQ,10134,6225,61.43
20,84,ALKEM,EQ,222870,142292,63.85
20,85,ALKYLAMINE,EQ,82309,29462,35.79
20,86,ALLCARGO,EQ,241986,150412,62.16
20,87,ALLSEC,EQ,8643,4665,53.97
20,88,ALMONDZ,EQ,5969,2682,44.93
20,89,ALOKINDS,EQ,16645649,6038248,36.28
20,90,ALPA,EQ,49334,26058,52.82
20,91,ALPHAGEO,EQ,28312,15808,55.83
20,92,AMARAJABAT,EQ,507033,163640,32.27
20,93,AMBER,EQ,54395,14989,27.56
20,94,AMBICAAGAR,EQ,29606,18581,62.76
20,95,AMBIKCO,EQ,43463,17159,39.48
20,96,AMBUJACEM,EQ,7493279,2584061,34.49
20,97,AMDIND,EQ,31213,19958,63.94
20,98,AMIORG,EQ,90997,30779,33.82
20,99,AMJLAND,EQ,12111,7818,64.55
20,100,AMJUMBO,SM,32000,24000,75.00
20,101,AMRUTANJAN,EQ,31271,14004,44.78
20,102,ANANDRATHI,EQ,80801,56240,69.60
20,103,ANANTRAJ,EQ,789348,196787,24.93
20,104,ANDHRACEMT,EQ,157724,157723,100.00
20,105,ANDHRAPAP,EQ,31150,15666,50.29
20,106,ANDHRSUGAR,EQ,300159,93356,31.10
20,107,ANDREWYU,EQ,162790,92251,56.67
20,108,ANGELONE,EQ,560274,134035,23.92
20,109,ANIKINDS,EQ,53843,41950,77.91
20,110,ANKITMETAL,EQ,149678,116647,77.93
20,111,ANMOL,EQ,5935,4427,74.59
20,112,ANSALHSG,EQ,57514,34098,59.29
20,113,ANUP,EQ,17422,9764,56.04
20,114,ANURAS,EQ,119888,49998,41.70
20,115,APARINDS,EQ,28884,14329,49.61
20,116,APCL,EQ,37493,11678,31.15
20,117,APCOTEXIND,EQ,246991,81925,33.17
20,118,APEX,EQ,165636,43839,26.47
20,119,APLAPOLLO,EQ,491115,288121,58.67
20,120,APLLTD,EQ,350795,138490,39.48
20,121,APOLLO,EQ,54971,36910,67.14
20,122,APOLLOHOSP,EQ,717916,302442,42.13
20,123,APOLLOPIPE,EQ,108487,63912,58.91
20,124,APOLLOTYRE,EQ,4355672,1118976,25.69
20,125,APOLSINHOT,EQ,725,612,84.41
20,126,APTECHT,EQ,78569,25381,32.30
20,127,APTUS,EQ,529804,460422,86.90
20,128,ARCHIDPLY,EQ,37088,15515,41.83
20,129,ARENTERP,EQ,790,529,66.96
20,130,ARIES,EQ,58392,25671,43.96
20,131,ARIHANTCAP,EQ,63906,45158,70.66
20,132,ARIHANTSUP,EQ,69626,23667,33.99
20,133,ARMANFIN,EQ,6550,3598,54.93
20,134,AROGRANITE,EQ,114761,76490,66.65
20,135,ARROWGREEN,EQ,8320,5465,65.69
