Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23092025,1641282810,0002961
Trade Date <23-SEP-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,171,171,100.00
20,2,1003SCL30A,NV,5,5,100.00
20,3,1015ECL29,NR,716,716,100.00
20,4,1015UCL26,N1,9,9,100.00
20,5,1015UCL27,NF,1,1,100.00
20,6,1018GS2026,GS,2698,2698,100.00
20,7,1025NFL25,N5,1,1,100.00
20,8,1025SCL34,Z8,25,25,100.00
20,9,1030SFIL28,NM,20,10,50.00
20,10,1035UCL26,NA,20,20,100.00
20,11,1040NFL26,NA,213,213,100.00
20,12,1050NFL26,N7,177,177,100.00
20,13,105UCL2026,NB,160,160,100.00
20,14,1060ECL29,NS,50,50,100.00
20,15,1065NFL27,NC,703,703,100.00
20,16,1075NFL25,N6,10,10,100.00
20,17,1075SCL34T,N1,70,35,50.00
20,18,10IIFL28A,NE,195,195,100.00
20,19,10IIFL29,N6,268,268,100.00
20,20,10NIDO26,N6,831,773,93.02
20,21,10UCL26,ND,5,5,100.00
20,22,113ESFB31,N0,12,12,100.00
20,23,12VCCL27,N0,1,1,100.00
20,24,12VCCL29B,N0,1,1,100.00
20,25,182D041225,TB,2000,2000,100.00
20,26,182D050326,TB,200,200,100.00
20,27,182D101025,TB,10100,10100,100.00
20,28,182D120326,TB,800,700,87.50
20,29,182D270226,TB,2000,2000,100.00
20,30,20MICRONS,EQ,73388,41932,57.14
20,31,21STCENMGM,EQ,4423,3526,79.72
20,32,360ONE,EQ,1808589,1344267,74.33
20,33,364D030926,TB,200,100,50.00
20,34,364D040626,TB,500,500,100.00
20,35,364D050326,TB,1300,1300,100.00
20,36,364D100426,TB,200,200,100.00
20,37,364D100926,TB,100,100,100.00
20,38,364D111225,TB,200,100,50.00
20,39,364D120326,TB,100,100,100.00
20,40,364D230726,TB,100,100,100.00
20,41,364D260326,TB,3400,3400,100.00
20,42,364D280826,TB,300,300,100.00
20,43,364D300726,TB,700,700,100.00
20,44,364D301025,TB,1200,1200,100.00
20,45,3IINFOLTD,EQ,199736,145811,73.00
20,46,3MINDIA,EQ,3373,2359,69.94
20,47,3PLAND,EQ,3932,2537,64.52
20,48,591GS2028,GS,5,5,100.00
20,49,5PAISA,EQ,8000,4351,54.39
20,50,601GS2030,GS,220,220,100.00
20,51,633GS2035,GS,2110,2108,99.91
20,52,63MOONS,EQ,90286,39519,43.77
20,53,664GS2027,GS,50,50,100.00
20,54,667GS2035,GS,1001,1001,100.00
20,55,667GS2050,GS,3351,3351,100.00
20,56,668GS2040,GS,100,100,100.00
20,57,676GS2061,GS,165833,165833,100.00
20,58,679GS2034A,GS,500,500,100.00
20,59,68GS2060,GS,21,21,100.00
20,60,690GS2065,GS,21604,21604,100.00
20,61,692GS2039,GS,1522,1499,98.49
20,62,695GS2061,GS,2500,2500,100.00
20,63,698GR2054,GS,100,100,100.00
20,64,699GS2026,GS,5903,5903,100.00
20,65,699GS2051,GS,7000,7000,100.00
20,66,702GS2027,GS,563,563,100.00
20,67,702GS2031,GS,200,200,100.00
20,68,706GS2028,GS,600,600,100.00
20,69,709GS2054,GS,855063,855063,100.00
20,70,709GS2074,GS,534760,525993,98.36
20,71,710GS2029,GS,166997,166997,100.00
20,72,716GS2050,GS,22862,22862,100.00
20,73,717GS2030,GS,935,935,100.00
20,74,718GS2033,GS,956,956,100.00
20,75,718GS2037,GS,13501,13501,100.00
20,76,724GS2055,GS,500,500,100.00
20,77,725GS2063,GS,23180,19801,85.42
20,78,726GS2032,GS,100,100,100.00
20,79,726GS2033,GS,500,500,100.00
20,80,732GS2030,GS,200,200,100.00
20,81,732IRFC25,NI,100,100,100.00
20,82,733GS2026,GS,11350,11350,100.00
20,83,734GS2064,GS,10326,10320,99.94
20,84,735NHAI31,N9,150,150,100.00
20,85,736GS2052,GS,1900,1900,100.00
20,86,738GS2027,GS,108566,98466,90.70
20,87,738REC27TF,N2,5,5,100.00
20,88,73GS2053,GS,1500,1500,100.00
20,89,741GS2036,GS,900,900,100.00
20,90,744TS45,SG,400,400,100.00
20,91,746GS2073,GS,11600,11600,100.00
20,92,74GS2062,GS,10568,7045,66.66
20,93,751HUDCO28,N5,580,580,100.00
20,94,753IRFC30,NJ,1197,907,75.77
20,95,754GS2036,GS,193646,182518,94.25
20,96,762NTPC35F,ND,211,160,75.83
20,97,764HUDCO31,N8,1,1,100.00
20,98,764IRFC31,NO,10,10,100.00
20,99,764NABAR31,N2,29,10,34.48
20,100,769IGT28,NH,50,50,100.00
20,101,769NHAI31,NE,1442,1101,76.35
20,102,76NHAI31,NA,73,72,98.63
20,103,771JK48,SG,200,200,100.00
20,104,771WB43,SG,200,200,100.00
20,105,773BR38,SG,100,100,100.00
20,106,774IREDA31,N7,50,50,100.00
20,107,774KA34,SG,100,100,100.00
