Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03102025,1764217042,0002990
Trade Date <03-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,14296,13686,95.73
20,2,0SCL26,YR,4,4,100.00
20,3,1003IIFL29,NC,100,10,10.00
20,4,1015ECL29,NR,1847,1847,100.00
20,5,1015SCL29,ZL,10,10,100.00
20,6,1015UCL26,N1,29,29,100.00
20,7,1018GS2026,GS,6087,6087,100.00
20,8,1025SCL34,Z8,13,13,100.00
20,9,1025UCL26A,N1,31,21,67.74
20,10,1030SFIL28,NM,100,100,100.00
20,11,1035UCL26,NA,1,1,100.00
20,12,1039UCL26,NE,241,241,100.00
20,13,1050NFL26,N7,122,122,100.00
20,14,1050UCL28,NH,59,59,100.00
20,15,105UCL2026,NB,10,10,100.00
20,16,1065NFL27,NC,790,790,100.00
20,17,1075SCL33,YK,44,44,100.00
20,18,1075SCL33A,N2,18,18,100.00
20,19,1090NFL26,NB,100,100,100.00
20,20,10CAGL27,N5,906,906,100.00
20,21,10IIFL28,N4,659,259,39.30
20,22,10IIFL28A,NE,399,399,100.00
20,23,10NIDO26,N6,90,90,100.00
20,24,1119NFL27,ND,159,159,100.00
20,25,113ESFB31,N0,5,5,100.00
20,26,11UCL26,NC,100,100,100.00
20,27,12AFIL27,N0,2,2,100.00
20,28,12VCCL29B,N0,3,3,100.00
20,29,182D190326,TB,100,100,100.00
20,30,182D231025,TB,15000,15000,100.00
20,31,20MICRONS,EQ,96502,42947,44.50
20,32,21STCENMGM,EQ,5967,5154,86.38
20,33,360ONE,EQ,458130,236975,51.73
20,34,364D010126,TB,100,100,100.00
20,35,364D161025,TB,500,500,100.00
20,36,364D240926,TB,100,100,100.00
20,37,3IINFOLTD,EQ,438826,302362,68.90
20,38,3MINDIA,EQ,3059,1715,56.06
20,39,3PLAND,EQ,5587,2598,46.50
20,40,515GS2025,GS,1,1,100.00
20,41,574GS2026,GS,6,6,100.00
20,42,591GS2028,GS,101,101,100.00
20,43,5PAISA,EQ,12972,7639,58.89
20,44,601GS2030,GS,820,820,100.00
20,45,619GS2034,GS,10,10,100.00
20,46,622GS2035,GS,543,543,100.00
20,47,628GS2032,GS,100,100,100.00
20,48,633GS2035,GS,200,200,100.00
20,49,63MOONS,EQ,53019,26423,49.84
20,50,664GS2027,GS,950,950,100.00
20,51,664GS2035,GS,2,2,100.00
20,52,667GS2035,GS,2502,2501,99.96
20,53,667GS2050,GS,205,204,99.51
20,54,668GS2040,GS,100,100,100.00
20,55,675GS2029,GS,1210,1110,91.74
20,56,676GS2061,GS,2021082,1894359,93.73
20,57,679GS2031,GS,201,201,100.00
20,58,68GS2060,GS,13346,13346,100.00
20,59,690GS2065,GS,26401,21401,81.06
20,60,692GS2039,GS,264,263,99.62
20,61,695TN31A,SG,700,700,100.00
20,62,697GR2034,GS,100,100,100.00
20,63,697RJ31,SG,400,400,100.00
20,64,699GS2026,GS,3000,3000,100.00
20,65,699GS2051,GS,5470,5470,100.00
20,66,702GS2027,GS,2630,2630,100.00
20,67,702GS2031,GS,790,790,100.00
20,68,704GS2029,GS,200,200,100.00
20,69,704IRFC28,N6,25,25,100.00
20,70,706GS2028,GS,3000,3000,100.00
20,71,709GS2054,GS,299788,291750,97.32
20,72,709GS2074,GS,3570,3360,94.12
20,73,710GS2029,GS,2002,2002,100.00
20,74,712MZ34,SG,600,600,100.00
20,75,718GS2037,GS,8011,8011,100.00
20,76,71GS2034,GS,3800,3800,100.00
20,77,723GS2039,GS,3700,3700,100.00
20,78,724GS2055,GS,500,500,100.00
20,79,725GS2063,GS,70750,70749,100.00
20,80,726GS2032,GS,3990,3990,100.00
20,81,726GS2033,GS,50570,50570,100.00
20,82,727GS2026,GS,381,380,99.74
20,83,729NHAI26,NC,206,206,100.00
20,84,732GS2030,GS,110,110,100.00
20,85,733GS2026,GS,1370,1370,100.00
20,86,734GS2064,GS,7573,7483,98.81
20,87,734IRFC28,N4,119,89,74.79
20,88,736GS2052,GS,3233,1992,61.61
20,89,736PFCL28,N2,10,10,100.00
20,90,737GS2028,GS,1100,900,81.82
20,91,738GS2027,GS,251661,251661,100.00
20,92,738REC27TF,N2,5,5,100.00
20,93,739NHAI26,N8,101,101,100.00
20,94,73GS2053,GS,5842,5842,100.00
20,95,740IIFCL33,N1,20,20,100.00
20,96,741GS2036,GS,54409,54409,100.00
20,97,743REC35,NH,50,50,100.00
20,98,746GS2073,GS,38763,37973,97.96
20,99,747AP32,SG,100,100,100.00
20,100,74GS2062,GS,1226,1225,99.92
20,101,751HUDCO28,N5,50,50,100.00
20,102,753IRFC30,NJ,384,384,100.00
20,103,753NTPC30E,NC,93,93,100.00
20,104,754GS2036,GS,250273,215805,86.23
20,105,757GS2033,GS,200,200,100.00
20,106,762GS2039,GS,200,200,100.00
20,107,762NTPC35F,ND,257,157,61.09
20,108,764HUDCO31,N8,50,50,100.00
20,109,764IRFC31,NO,2725,2705,99.27
20,110,764NABAR31,N2,763,521,68.28
20,111,769HUDCO31,N9,53,53,100.00
20,112,769NHAI31,NE,35,35,100.00
20,113,76NHAI31,NA,3239,3008,92.87
