Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24112023,1174428160,0002265
Trade Date <24-NOV-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D090524,TB,600,600,100.00
20,2,182D140324,TB,100,100,100.00
20,3,182D160524,TB,200,200,100.00
20,4,182D180424,TB,900,900,100.00
20,5,182D230524,TB,500,500,100.00
20,6,21STCENMGM,EQ,14838,13599,91.65
20,7,360ONE,EQ,201774,112660,55.83
20,8,364D110124,TB,100,100,100.00
20,9,364D130624,TB,2000,2000,100.00
20,10,364D141124,TB,500,500,100.00
20,11,3IINFOLTD,EQ,15201040,3470542,22.83
20,12,3MINDIA,EQ,1311,582,44.39
20,13,3PLAND,EQ,28011,14732,52.59
20,14,574GS2026,GS,303,303,100.00
20,15,5PAISA,EQ,956754,244607,25.57
20,16,613GS2028,GS,90000,90000,100.00
20,17,618GS2024,GS,11,11,100.00
20,18,63MOONS,EQ,841791,431333,51.24
20,19,654GS2032,GS,685,685,100.00
20,20,669GS2024,GS,4503,4500,99.93
20,21,676GS2061,GS,3,3,100.00
20,22,68GS2060,GS,48,48,100.00
20,23,695GS2061,GS,8615,8615,100.00
20,24,699GS2026,GS,250,250,100.00
20,25,706GS2028,GS,56799,56799,100.00
20,26,710GS2029,GS,24298,24298,100.00
20,27,717GS2030,GS,5701,5701,100.00
20,28,718GS2033,GS,1100,1100,100.00
20,29,718GS2037,GS,1000,1000,100.00
20,30,725GS2063,GS,9780,9780,100.00
20,31,726GS2032,GS,4657,4653,99.91
20,32,732GS2030,GS,300,300,100.00
20,33,736GS2052,GS,37755,33584,88.95
20,34,737GS2028,GS,6000,6000,100.00
20,35,738GS2027,GS,29157,17840,61.19
20,36,73GS2053,GS,501,501,100.00
20,37,741GS2036,GS,13075,12975,99.24
20,38,746GS2073,GS,200,200,100.00
20,39,74GS2062,GS,9,9,100.00
20,40,754GS2036,GS,1177545,1172350,99.56
20,41,768GS2023,GS,10854,9849,90.74
20,42,772GS2025,GS,1,1,100.00
20,43,91D010224,TB,400,400,100.00
20,44,91D040124,TB,900,900,100.00
20,45,91D071223,TB,300,300,100.00
20,46,91D080224,TB,1700,1700,100.00
20,47,91D110124,TB,100,100,100.00
20,48,91D141223,TB,5200,5200,100.00
20,49,91D150224,TB,700,700,100.00
20,50,91D211223,TB,100,100,100.00
20,51,91D220224,TB,1700,1700,100.00
20,52,91D291223,TB,4100,4000,97.56
20,53,91D301123,TB,1000,1000,100.00
20,54,92GS2030,GS,57401,57101,99.48
20,55,AAATECH,EQ,47370,32879,69.41
20,56,AAKASH,EQ,291936,195171,66.85
20,57,AARON,EQ,6199,4601,74.22
20,58,AARTIDRUGS,EQ,130330,44809,34.38
20,59,AARTIIND,EQ,956738,409526,42.80
20,60,AARTIPHARM,EQ,130219,60704,46.62
20,61,AARTIPP,E1,10,10,100.00
20,62,AARTISURF,EQ,7901,4309,54.54
20,63,AARVEEDEN,EQ,34794,11068,31.81
20,64,AARVI,EQ,9893,7161,72.38
