Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02112021,804917843,0001967
Trade Date <02-NOV-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,30134,18903,62.73
20,2,21STCENMGM,EQ,9114,9114,100.00
20,3,3MINDIA,EQ,4476,2385,53.28
20,4,3PLAND,EQ,4001,3504,87.58
20,5,5PAISA,EQ,14389,8188,56.90
20,6,63MOONS,EQ,78448,58662,74.78
20,7,667GS2035,GS,3,3,100.00
20,8,667GS2050,GS,37428,26025,69.53
20,9,676GS2061,GS,13553,13553,100.00
20,10,716GS2050,GS,1247,1247,100.00
20,11,719GS2060,GS,11,11,100.00
20,12,A2ZINFRA,EQ,656249,384432,58.58
20,13,AAKASH,EQ,30837,17416,56.48
20,14,AAREYDRUGS,EQ,38979,22776,58.43
20,15,AARON,EQ,11462,5556,48.47
20,16,AARTIDRUGS,EQ,181548,110641,60.94
20,17,AARTIIND,EQ,870706,393896,45.24
20,18,AARTISURF,EQ,98080,24418,24.90
20,19,AARVEEDEN,EQ,43008,30676,71.33
20,20,AARVI,EQ,31320,20780,66.35
20,21,AAVAS,EQ,35753,22616,63.26
20,22,ABB,EQ,118552,45821,38.65
20,23,ABBOTINDIA,EQ,9394,2763,29.41
20,24,ABCAPITAL,EQ,9031544,2585037,28.62
20,25,ABFRL,EQ,10176023,2790139,27.42
20,26,ABINFRA,SM,4000,4000,100.00
20,27,ABMINTLLTD,EQ,1121,609,54.33
20,28,ABSLAMC,EQ,206419,109098,52.85
20,29,ABSLBANETF,EQ,896,332,37.05
20,30,ABSLNN50ET,EQ,140,131,93.57
20,31,ACC,EQ,461093,141872,30.77
20,32,ACCELYA,EQ,18513,9888,53.41
20,33,ACCURACY,EQ,78229,42301,54.07
20,34,ACE,EQ,378543,123119,32.52
20,35,ACRYSIL,EQ,27987,16453,58.79
20,36,ADANIENT,EQ,1667692,393889,23.62
20,37,ADANIGREEN,EQ,1638199,937296,57.22
20,38,ADANIPORTS,EQ,3028354,605060,19.98
20,39,ADANIPOWER,EQ,3240056,1841211,56.83
20,40,ADFFOODS,EQ,6051,3437,56.80
20,41,ADORWELD,EQ,9209,7031,76.35
20,42,ADROITINFO,EQ,17333,11313,65.27
20,43,ADSL,EQ,556262,276801,49.76
20,44,ADVANIHOTR,EQ,11679,5450,46.66
20,45,ADVENZYMES,EQ,421491,130262,30.91
20,46,AEGISCHEM,EQ,742180,339150,45.70
20,47,AFFLE,EQ,113396,63576,56.07
20,48,AGARIND,EQ,50084,20459,40.85
20,49,AGROPHOS,EQ,402229,169113,42.04
20,50,AHLADA,EQ,19675,14643,74.42
20,51,AHLEAST,EQ,5454,3326,60.98
20,52,AHLUCONT,EQ,16636,9894,59.47
20,53,AIAENG,EQ,289098,271174,93.80
20,54,AIRAN,EQ,31697,22735,71.73
20,55,AIROLAM,EQ,7889,6295,79.79
20,56,AIRTELPP,E1,262112,255884,97.62
20,57,AJANTPHARM,EQ,51314,33085,64.48
20,58,AJOONI,EQ,54508,40345,74.02
20,59,AJRINFRA,EQ,794096,649920,81.84
20,60,AKASH,EQ,37562,32083,85.41
20,61,AKG,EQ,15977,8782,54.97
