Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29102021,904506186,0001939
Trade Date <29-OCT-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,52549,34852,66.32
20,2,21STCENMGM,EQ,99458,95233,95.75
20,3,3MINDIA,EQ,1879,926,49.28
20,4,3PLAND,EQ,6395,5134,80.28
20,5,509GS2022,GS,100,100,100.00
20,6,5PAISA,EQ,48704,31806,65.30
20,7,63MOONS,EQ,58224,31332,53.81
20,8,667GS2035,GS,20,20,100.00
20,9,667GS2050,GS,2099,2099,100.00
20,10,676GS2061,GS,150,150,100.00
20,11,719GS2060,GS,300,300,100.00
20,12,763GS2059,GS,20,20,100.00
20,13,772GS2055,GS,1450,1400,96.55
20,14,A2ZINFRA,EQ,859766,458127,53.29
20,15,AAATECH,SM,3000,3000,100.00
20,16,AAKASH,EQ,12301,6649,54.05
20,17,AAREYDRUGS,EQ,30492,20778,68.14
20,18,AARON,EQ,4548,2635,57.94
20,19,AARTIDRUGS,EQ,359162,148010,41.21
20,20,AARTIIND,EQ,534480,230687,43.16
20,21,AARTISURF,EQ,57567,25121,43.64
20,22,AARVEEDEN,EQ,66142,51270,77.52
20,23,AARVI,EQ,4847,3150,64.99
20,24,AAVAS,EQ,95595,59267,62.00
20,25,ABB,EQ,960349,345242,35.95
20,26,ABBOTINDIA,EQ,11312,4690,41.46
20,27,ABCAPITAL,EQ,2578101,1086191,42.13
20,28,ABFRL,EQ,5282540,1958116,37.07
20,29,ABMINTLLTD,EQ,1293,438,33.87
20,30,ABSLAMC,EQ,424720,227458,53.55
20,31,ABSLBANETF,EQ,1335,196,14.68
20,32,ABSLNN50ET,EQ,988,535,54.15
20,33,ACC,EQ,732835,230212,31.41
20,34,ACCELYA,EQ,29626,12820,43.27
20,35,ACCURACY,EQ,68172,43217,63.39
20,36,ACE,EQ,377068,137276,36.41
20,37,ACRYSIL,EQ,102661,35823,34.89
20,38,ADANIENT,EQ,3165141,491494,15.53
20,39,ADANIGREEN,EQ,364243,175232,48.11
20,40,ADANIPORTS,EQ,7612968,1492567,19.61
20,41,ADFFOODS,EQ,11135,6737,60.50
20,42,ADORWELD,EQ,4445,2889,64.99
20,43,ADROITINFO,EQ,7255,5738,79.09
20,44,ADSL,EQ,699727,322084,46.03
20,45,ADVANIHOTR,EQ,23309,14625,62.74
20,46,ADVENZYMES,EQ,131604,61075,46.41
20,47,AEGISCHEM,EQ,533913,250765,46.97
20,48,AFFLE,EQ,223652,114277,51.10
20,49,AGARIND,EQ,25843,16535,63.98
20,50,AGROPHOS,EQ,76717,44755,58.34
20,51,AHLADA,EQ,7375,4366,59.20
20,52,AHLEAST,EQ,4714,1062,22.53
20,53,AHLUCONT,EQ,29526,19729,66.82
20,54,AIAENG,EQ,56770,38129,67.16
20,55,AIRAN,EQ,151376,106524,70.37
20,56,AIROLAM,EQ,7198,5589,77.65
20,57,AJANTPHARM,EQ,148272,26544,17.90
20,58,AJMERA,EQ,171430,162880,95.01
20,59,AJOONI,EQ,40095,25016,62.39
20,60,AJRINFRA,EQ,1369607,1050152,76.68
20,61,AKASH,EQ,20267,15341,75.69
20,62,AKG,EQ,61854,49752,80.43
20,63,AKSHARCHEM,EQ,40240,12508,31.08
20,64,AKSHOPTFBR,EQ,305266,235400,77.11
20,65,AKZOINDIA,EQ,11935,7646,64.06
20,66,ALANKIT,EQ,1497343,594116,39.68
20,67,ALBERTDAVD,EQ,6086,3488,57.31
20,68,ALEMBICLTD,EQ,146247,69961,47.84
20,69,ALICON,EQ,7194,2628,36.53
20,70,ALKALI,EQ,24971,11357,45.48
20,71,ALKEM,EQ,128430,68162,53.07
20,72,ALKYLAMINE,EQ,39570,21882,55.30
20,73,ALLCARGO,EQ,868985,248464,28.59
20,74,ALLSEC,EQ,378608,122236,32.29
20,75,ALMONDZ,EQ,59236,44422,74.99
20,76,ALOKINDS,EQ,6311649,2654541,42.06
20,77,ALPA,EQ,24021,11451,47.67
20,78,ALPHAGEO,EQ,169075,78617,46.50
20,79,AMARAJABAT,EQ,962724,304280,31.61
20,80,AMBANIORG,SM,6000,4000,66.67
20,81,AMBER,EQ,55824,21949,39.32
20,82,AMBICAAGAR,EQ,13215,7022,53.14
20,83,AMBIKCO,EQ,37231,16018,43.02
20,84,AMBUJACEM,EQ,10104769,4994583,49.43
20,85,AMDIND,EQ,36549,27774,75.99
20,86,AMIORG,EQ,187283,78423,41.87
20,87,AMJLAND,EQ,19527,9121,46.71
20,88,AMRUTANJAN,EQ,57615,19487,33.82
20,89,ANDHRACEMT,EQ,3610173,1954943,54.15
20,90,ANDHRAPAP,EQ,14468,7482,51.71
20,91,ANDHRSUGAR,EQ,42018,20822,49.55
20,92,ANDREWYU,EQ,216588,101591,46.91
20,93,ANGELBRKG,EQ,347914,157379,45.24
20,94,ANIKINDS,EQ,26425,21932,83.00
20,95,ANKITMETAL,EQ,45585,45585,100.00
20,96,ANMOL,EQ,54380,30765,56.57
20,97,ANSALAPI,EQ,381317,194397,50.98
20,98,ANSALHSG,EQ,139818,111945,80.06
20,99,ANUP,EQ,50856,18672,36.72
20,100,ANURAS,EQ,40888,18792,45.96
20,101,APARINDS,EQ,54453,17552,32.23
20,102,APCL,EQ,16177,8313,51.39
20,103,APCOTEXIND,EQ,147658,27883,18.88
20,104,APEX,EQ,128080,37146,29.00
20,105,APLAPOLLO,EQ,790452,626365,79.24
20,106,APLLTD,EQ,277147,73103,26.38
20,107,APOLLO,EQ,48833,26864,55.01
20,108,APOLLOHOSP,EQ,705546,271236,38.44
20,109,APOLLOPIPE,EQ,29824,17504,58.69
20,110,APOLLOTYRE,EQ,3642654,704721,19.35
20,111,APOLSINHOT,EQ,1339,728,54.37
20,112,APTECHT,EQ,519720,108406,20.86
20,113,APTUS,EQ,260522,169695,65.14
20,114,ARCHIDPLY,EQ,29051,16425,56.54
20,115,ARCHIES,EQ,23740,19871,83.70
20,116,ARENTERP,EQ,3600,1933,53.69
20,117,ARIES,EQ,37775,20877,55.27
20,118,ARIHANT,EQ,86299,53726,62.26
20,119,ARIHANTCAP,EQ,62834,28856,45.92
20,120,ARIHANTSUP,EQ,193940,72994,37.64
20,121,ARMANFIN,EQ,37099,12821,34.56
20,122,AROGRANITE,EQ,132810,64622,48.66
20,123,ARROWGREEN,EQ,16962,10972,64.69
20,124,ARSHIYA,EQ,96747,69148,71.47
20,125,ARSSINFRA,EQ,16519,10858,65.73
20,126,ARTEMISMED,EQ,67464,45320,67.18
20,127,ARTNIRMAN,EQ,26750,16730,62.54
20,128,ARVEE,EQ,581,444,76.42
20,129,ARVIND,EQ,2848084,874423,30.70
20,130,ARVINDFASN,EQ,124199,60686,48.86
20,131,ASAHIINDIA,EQ,859272,136911,15.93
20,132,ASAHISONG,EQ,24527,11167,45.53
20,133,ASAL,EQ,55624,35239,63.35
20,134,ASALCBR,EQ,129376,29731,22.98
20,135,ASHAPURMIN,EQ,60365,43915,72.75
20,136,ASHIANA,EQ,33797,18010,53.29
20,137,ASHIMASYN,EQ,43396,27418,63.18
20,138,ASHOKA,EQ,926421,222032,23.97
20,139,ASHOKLEY,EQ,16005774,4025391,25.15
20,140,ASIANHOTNR,EQ,4446,2347,52.79
20,141,ASIANPAINT,EQ,1118903,479818,42.88
20,142,ASIANTILES,EQ,282964,140268,49.57
20,143,ASLIND,SM,256000,256000,100.00
20,144,ASPINWALL,EQ,13839,9201,66.49
20,145,ASTEC,EQ,31212,13076,41.89
20,146,ASTERDM,EQ,915052,266237,29.10
20,147,ASTRAL,EQ,159018,65071,40.92
20,148,ASTRAMICRO,EQ,1183404,406773,34.37
20,149,ASTRAZEN,EQ,12912,5762,44.63
20,150,ASTRON,EQ,53268,31382,58.91
20,151,ATALREAL,SM,28800,9600,33.33
20,152,ATFL,EQ,6375,4381,68.72
20,153,ATLANTA,EQ,65796,62401,94.84
20,154,ATUL,EQ,115013,40307,35.05
20,155,ATULAUTO,EQ,351919,134507,38.22
20,156,AUBANK,EQ,2160370,455986,21.11
20,157,AURIONPRO,EQ,284311,201783,70.97
20,158,AUROPHARMA,EQ,2550003,1296721,50.85
20,159,AURUM,EQ,109074,68527,62.83
20,160,AUSOMENT,EQ,6024,4299,71.36
20,161,AUTOAXLES,EQ,21688,7863,36.26
20,162,AUTOIND,EQ,16365,10512,64.23
20,163,AVADHSUGAR,EQ,90983,33332,36.64
20,164,AVANTIFEED,EQ,122402,38768,31.67
20,165,AVG,SM,1200,1200,100.00
20,166,AVTNPL,EQ,189792,61399,32.35
20,167,AWHCL,EQ,320102,204436,63.87
20,168,AXISBANK,EQ,21343427,10191580,47.75
20,169,AXISBNKETF,EQ,662,655,98.94
20,170,AXISBPSETF,EQ,25298,24801,98.04
20,171,AXISCADES,EQ,34011,25993,76.43
20,172,AXISCETF,EQ,2825,2417,85.56
20,173,AXISGOLD,EQ,114335,94981,83.07
20,174,AXISHCETF,EQ,1877,1407,74.96
20,175,AXISNIFTY,EQ,4178,3348,80.13
20,176,AXISTECETF,EQ,2535,1435,56.61
20,177,AYMSYNTEX,EQ,70182,38732,55.19
20,178,BAFNAPH,EQ,4733,3436,72.60
20,179,BAJAJ-AUTO,EQ,316325,110076,34.80
