Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06102025,1665492152,0003027
Trade Date <06-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,334,334,100.00
20,2,0SCL26,YR,40,40,100.00
20,3,1003ISFL28,N4,718,718,100.00
20,4,1015ECL29,NR,1663,1541,92.66
20,5,1015SCL29,ZL,28,28,100.00
20,6,1015UCL26,N1,13,12,92.31
20,7,1015UCL27,NF,10,10,100.00
20,8,1018GS2026,GS,270,135,50.00
20,9,1025IIFL30,Y3,20,20,100.00
20,10,1025SCL34,Z8,5,5,100.00
20,11,1035UCL26,NA,50,50,100.00
20,12,1039UCL26,NE,1,1,100.00
20,13,1040NFL26,NA,50,50,100.00
20,14,1050ISFL28,N5,20,20,100.00
20,15,1060ECL29,NS,370,300,81.08
20,16,1065NFL27,NC,430,430,100.00
20,17,10CAGL27,N5,1384,1384,100.00
20,18,10IIFL28,N4,199,199,100.00
20,19,10IIFL28A,NE,349,230,65.90
20,20,10IIFL29,N6,574,413,71.95
20,21,10IIFLSF27,NB,50,50,100.00
20,22,10NIDO26,N6,644,644,100.00
20,23,10UCL26,ND,11,6,54.55
20,24,111ESFB31,N0,1,1,100.00
20,25,113ESFB31,N0,2,2,100.00
20,26,11UCL26,NC,120,110,91.67
20,27,12AFIL27,N0,1,1,100.00
20,28,12VCCL27B,N0,1,1,100.00
20,29,12VCCL27D,N0,1,1,100.00
20,30,12VCCL29B,N0,4,4,100.00
20,31,182D101025,TB,50300,50300,100.00
20,32,182D231025,TB,4000,4000,100.00
20,33,182D251225,TB,2000,1000,50.00
20,34,20MICRONS,EQ,108525,51269,47.24
20,35,21STCENMGM,EQ,4414,3215,72.84
20,36,360ONE,EQ,266966,167536,62.76
20,37,364D010126,TB,300,300,100.00
20,38,364D010526,TB,100,100,100.00
20,39,364D041225,TB,100,100,100.00
20,40,364D091025,TB,290100,290100,100.00
20,41,364D170926,TB,100,100,100.00
20,42,364D240926,TB,200,200,100.00
20,43,3IINFOLTD,EQ,282196,163956,58.10
20,44,3MINDIA,EQ,1555,830,53.38
20,45,3PLAND,EQ,3027,2314,76.45
20,46,574GS2026,GS,5,5,100.00
20,47,585GS2030,GS,559,559,100.00
20,48,591GS2028,GS,101,100,99.01
20,49,5PAISA,EQ,14245,8192,57.51
20,50,601GS2030,GS,1020,1020,100.00
20,51,619GS2034,GS,1024,1024,100.00
20,52,622GS2035,GS,1000,1000,100.00
20,53,633GS2035,GS,500,500,100.00
20,54,63MOONS,EQ,161638,73734,45.62
20,55,664GS2027,GS,500,500,100.00
