Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03072025,1469042896,0002719
Trade Date <03-JUL-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,10,10,100.00
20,2,1003ISFL28,N4,480,480,100.00
20,3,1003SFIL28,NX,230,230,100.00
20,4,1015ECL29,NR,1402,1098,78.32
20,5,1025SCL34A,ZT,50,50,100.00
20,6,1025SCL35A,N1,300,300,100.00
20,7,1030SFIL28,NM,25,25,100.00
20,8,1035UCL26,NA,140,140,100.00
20,9,1039UCL26,NE,23,22,95.65
20,10,1040NFL26,NA,1,1,100.00
20,11,1050IIFL29,ND,129,129,100.00
20,12,1050ISFL28,N5,442,206,46.61
20,13,1050UCL28,NH,550,550,100.00
20,14,1060ECL29,NS,1,1,100.00
20,15,1075UCL25,N9,118,101,85.59
20,16,10CAGL27,N5,80,80,100.00
20,17,10IIFL28,N4,22,22,100.00
20,18,10IIFL28A,NE,206,206,100.00
20,19,10IIFL29,N6,4,4,100.00
20,20,10NFL25,N9,11,11,100.00
20,21,10NIDO26,N6,264,264,100.00
20,22,1102NFL26,N8,1,1,100.00
20,23,1119NFL27,ND,550,550,100.00
20,24,12VCCL29A,N0,1,1,100.00
20,25,12VCCL29B,N0,16,16,100.00
20,26,182D070825,TB,200,100,50.00
20,27,182D250925,TB,100,100,100.00
20,28,20MICRONS,EQ,116453,64720,55.58
20,29,21STCENMGM,EQ,6905,6552,94.89
20,30,360ONE,EQ,931488,410978,44.12
20,31,364D050326,TB,1500,1500,100.00
20,32,364D140526,TB,175600,175600,100.00
20,33,364D160426,TB,4900,4900,100.00
20,34,364D181225,TB,400,200,50.00
20,35,364D190326,TB,200,200,100.00
20,36,364D261225,TB,100,100,100.00
20,37,364D280526,TB,100,100,100.00
20,38,3IINFOLTD,EQ,410309,231768,56.49
20,39,3MINDIA,EQ,4459,2535,56.85
20,40,3PLAND,EQ,6079,2212,36.39
20,41,563GS2026,GS,76,38,50.00
20,42,574GS2026,GS,34,34,100.00
20,43,579GS2030,GS,173,173,100.00
20,44,591GS2028,GS,100,100,100.00
20,45,5PAISA,EQ,26560,10859,40.88
20,46,610GS2031,GS,769,769,100.00
20,47,619GS2034,GS,99,99,100.00
20,48,63MOONS,EQ,1207444,352138,29.16
20,49,654GS2032,GS,26,26,100.00
20,50,662GS2051,GS,130,130,100.00
20,51,664GS2027,GS,400,400,100.00
20,52,667GS2050,GS,202,102,50.50
20,53,676GS2061,GS,4515,4515,100.00
20,54,679GS2031,GS,25,25,100.00
20,55,690GS2065,GS,300,300,100.00
20,56,692GS2039,GS,100,100,100.00
20,57,699GS2051,GS,2011,2011,100.00
20,58,702GS2027,GS,100,100,100.00
20,59,702GS2031,GS,355,353,99.44
20,60,709GS2054,GS,19595,19426,99.14
20,61,709GS2074,GS,18819,18719,99.47
20,62,710GS2029,GS,18152,17701,97.52
20,63,714NHAI26,N7,1784,1784,100.00
20,64,717GS2030,GS,2625,2600,99.05
