Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,26062025,1593667109,0002688
Trade Date <26-JUN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0RL34,N0,2,2,100.00
20,2,1003IIFL29,NC,209,209,100.00
20,3,1003ISFL28,N4,37,37,100.00
20,4,1003SCL30A,NV,20,20,100.00
20,5,1015ECL29,NR,260,260,100.00
20,6,1015UCL27,NF,1,1,100.00
20,7,1018GS2026,GS,34,34,100.00
20,8,1025UCL25,N8,55,55,100.00
20,9,1025UCL26A,N1,1,1,100.00
20,10,1039UCL26,NE,7,4,57.14
20,11,1040NFL26,NA,31,31,100.00
20,12,1040UCL27B,N1,50,50,100.00
20,13,1050ISFL28,N5,135,135,100.00
20,14,1050NFL26,N7,10,10,100.00
20,15,1050UCL25,N7,200,200,100.00
20,16,1050UCL28,NH,100,100,100.00
20,17,105IIFL29,N7,120,120,100.00
20,18,105UCL2026,NB,50,50,100.00
20,19,1065NFL27,NC,1426,1426,100.00
20,20,1075NFL25,N6,1,1,100.00
20,21,10CAGL27,N5,200,200,100.00
20,22,10IIFL28,N4,290,290,100.00
20,23,10IIFL28A,NE,110,110,100.00
20,24,10IIFL29,N6,43,43,100.00
20,25,10NFL25,N9,90,90,100.00
20,26,10NIDO26,N6,59,59,100.00
20,27,182D170725,TB,100,100,100.00
20,28,182D231025,TB,2100,2100,100.00
20,29,182D271125,TB,400,400,100.00
20,30,182D310725,TB,500,500,100.00
20,31,20MICRONS,EQ,59192,29756,50.27
20,32,21STCENMGM,EQ,8076,8071,99.94
20,33,360ONE,EQ,1806780,1024937,56.73
20,34,364D260326,TB,100,100,100.00
20,35,364D310725,TB,1500,1500,100.00
20,36,3IINFOLTD,EQ,407675,183083,44.91
20,37,3MINDIA,EQ,1983,1106,55.77
20,38,3PLAND,EQ,8814,5631,63.89
20,39,515GS2025,GS,10,10,100.00
20,40,574GS2026,GS,64,2,3.13
20,41,577GS2030,GS,4,4,100.00
20,42,5PAISA,EQ,33315,15232,45.72
20,43,610GS2031,GS,900,900,100.00
20,44,63MOONS,EQ,430003,211362,49.15
20,45,654GS2032,GS,40000,20000,50.00
20,46,675GS2029,GS,265,265,100.00
20,47,676GS2061,GS,1,1,100.00
20,48,679GS2034,GS,500,500,100.00
20,49,679GS2034A,GS,1504,1504,100.00
20,50,690GS2065,GS,2250,2250,100.00
20,51,692GS2039,GS,200,100,50.00
20,52,695GS2061,GS,500,500,100.00
20,53,698GR2054,GS,71,71,100.00
20,54,699GS2026,GS,1,1,100.00
20,55,699GS2051,GS,1140,1070,93.86
20,56,704GS2029,GS,200,100,50.00
20,57,709GS2054,GS,100,100,100.00
20,58,709GS2074,GS,7922,7922,100.00
20,59,710GS2029,GS,2044,2044,100.00
20,60,717GS2030,GS,10633,9430,88.69
20,61,718GS2037,GS,18910,18909,99.99
20,62,719GS2060,GS,1339,1339,100.00
20,63,71GS2034,GS,2000,2000,100.00
20,64,725GS2063,GS,106347,106347,100.00
20,65,726GS2032,GS,1470,1470,100.00
20,66,729NHAI26,NC,101,101,100.00
20,67,732GS2030,GS,3200,2700,84.38
20,68,732IRFC25,NI,72,72,100.00
20,69,734GS2064,GS,4140,4140,100.00
20,70,736GS2052,GS,1000,1000,100.00
20,71,736PFCL28,N2,36,36,100.00
20,72,737GS2028,GS,5160,5160,100.00
20,73,738GS2027,GS,45440,45429,99.98
20,74,739CG33,SG,100,100,100.00
20,75,739NHAI26,N8,3010,3010,100.00
20,76,73GS2053,GS,3,3,100.00
20,77,741AP30,SG,100,100,100.00
20,78,741GS2036,GS,68236,68236,100.00
20,79,743AP31,SG,100,100,100.00
20,80,743TS33,SG,200,200,100.00
20,81,746GS2073,GS,17749,16597,93.51
20,82,74GS2035,GS,400,400,100.00
20,83,74GS2062,GS,43076,41175,95.59
20,84,750IRFC35,NK,456,456,100.00
20,85,753IRFC30,NJ,202,202,100.00
20,86,754GS2036,GS,316690,312035,98.53
20,87,762NTPC35F,ND,173,173,100.00
20,88,764HUDCO31,N8,1,1,100.00
20,89,764IRFC31,NO,570,561,98.42
20,90,764NABAR31,N2,1235,1000,80.97
20,91,768KA37,SG,100,100,100.00
20,92,769NHAI31,NE,1,1,100.00
20,93,76IGT26,ND,1,1,100.00
20,94,76NHAI31,NA,1145,660,57.64
20,95,772GS2055,GS,1020,1000,98.04
20,96,774IREDA31,N7,3,2,66.67
20,97,77TS38,SG,100,100,100.00
20,98,78ABCL33,N1,23,19,82.61
20,99,797IGT31,NL,178,178,100.00
20,100,79NHIT35,N1,416,416,100.00
20,101,79NHIT40,N2,415,415,100.00
20,102,79NHIT47,N3,601,576,95.84
20,103,810IRFC27,N2,19,19,100.00
20,104,81TCHF28,N8,1067,1010,94.66
20,105,82HUDCO27,N2,27744,27744,100.00
20,106,830NHAI27,N2,107,105,98.13
20,107,830PFCL27,N5,95,94,98.95
20,108,842IIFL26,NL,246,246,100.00
20,109,847SCL25,Z2,50,50,100.00
20,110,84TCHF28,NA,1,1,100.00
20,111,863IRFC29,NC,1,1,100.00
20,112,865IIFL28,NS,630,630,100.00
20,113,865IRFC29,NA,3,3,100.00
20,114,865SCL26,N8,150,150,100.00
20,115,875IHFL29,ND,55,55,100.00
20,116,875NHAI29,N6,740,729,98.51
20,117,876HUDCO28,ND,6,6,100.00
20,118,883GS2041,GS,1500,1500,100.00
20,119,885SCL26,N9,646,646,100.00
20,120,888ERFL28,N5,47,47,100.00
20,121,888REC29,NF,830,830,100.00
20,122,890NHB34,N7,26,26,100.00
20,123,891NTPC33,N6,125,84,67.20
20,124,892NHPC33,N6,99,99,100.00
20,125,892PFCL33,N8,409,374,91.44
20,126,898LTF29,N7,819,470,57.39
20,127,901HUDCO34,NE,423,335,79.20
20,128,901NHB34,N6,12,11,91.67
20,129,905LTF27,NF,100,100,100.00
20,130,905SC24B,Z9,203,203,100.00
20,131,910TCAP28,NA,20,20,100.00
20,132,915SCL26,NE,1012,1012,100.00
20,133,91D010825,TB,1200,1200,100.00
20,134,91D070825,TB,200,200,100.00
20,135,91D110925,TB,300,300,100.00
20,136,91D140825,TB,3100,2700,87.10
20,137,91D170725,TB,100,100,100.00
20,138,91MOFSL27,N2,60,60,100.00
20,139,920SCL23A,AO,1,1,100.00
20,140,925SCL28C,BS,6,6,100.00
20,141,92GS2030,GS,2877,2751,95.62
20,142,930APMD35,N0,2,2,100.00
20,143,932AEL27,N3,300,200,66.67
20,144,935TSIIC33,N0,15,15,100.00
20,145,93MOFSL34,N6,10,10,100.00
20,146,943ECL28,NJ,232,232,100.00
20,147,94SFL28,YL,425,425,100.00
20,148,955SCL27,Z5,10,10,100.00
20,149,957ISFL26,N2,50,50,100.00
20,150,957NIDO26,N5,75,75,100.00
20,151,965AEL27,N4,561,561,100.00
20,152,965SCL25F,NZ,25,25,100.00
20,153,96IIFL28,N5,1474,1411,95.73
20,154,96IIFL28A,NF,832,697,83.77
20,155,970CAGL28,ND,194,147,75.77
20,156,971SCL29,Z0,6,6,100.00
20,157,97SFL26,Z9,200,200,100.00
20,158,985ECL28,NK,60,60,100.00
20,159,985SFIL28,NO,36,36,100.00
20,160,990SCL26D,AH,2,2,100.00
20,161,99AEL29,N7,7,6,85.71
20,162,9IIFL26,NV,238,238,100.00
20,163,9IIFL28A,NT,143,143,100.00
20,164,9PCHFL31A,NA,60,60,100.00
20,165,9SCL26BA,NA,37,37,100.00
20,166,AAATECH,EQ,16887,12403,73.45
20,167,AADHARHFC,EQ,346045,214243,61.91
20,168,AARON,EQ,14845,9524,64.16
20,169,AARTECH,EQ,222596,115621,51.94
20,170,AARTIDRUGS,EQ,370764,145418,39.22
20,171,AARTIIND,EQ,1516181,571114,37.67
20,172,AARTIPHARM,EQ,337101,157607,46.75
20,173,AARVI,EQ,4321,1874,43.37
20,174,AATMAJ,SM,4000,4000,100.00
20,175,AAVAS,EQ,301739,99137,32.86
20,176,ABAN,EQ,119308,72956,61.15
20,177,ABB,EQ,110098,48858,44.38
20,178,ABBOTINDIA,EQ,30735,12626,41.08
20,179,ABCAPITAL,EQ,7848468,4196547,53.47
20,180,ABCOTS,SM,4750,2750,57.89
20,181,ABDL,EQ,501072,201702,40.25
