Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,09112023,1493946231,0002267
Trade Date <09-NOV-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D020524,TB,400,400,100.00
20,2,182D040424,TB,200,200,100.00
20,3,182D071223,TB,1200,1200,100.00
20,4,182D080224,TB,300,300,100.00
20,5,182D110424,TB,600,600,100.00
20,6,182D140324,TB,100,100,100.00
20,7,182D180424,TB,500,500,100.00
20,8,182D210324,TB,100,100,100.00
20,9,182D250424,TB,2300,2300,100.00
20,10,21STCENMGM,EQ,13735,9722,70.78
20,11,360ONE,EQ,197801,128881,65.16
20,12,364D031024,TB,500,500,100.00
20,13,364D040424,TB,100,100,100.00
20,14,364D050924,TB,200,200,100.00
20,15,364D060624,TB,900,900,100.00
20,16,364D080824,TB,600,600,100.00
20,17,364D090524,TB,600,500,83.33
20,18,364D101024,TB,200,200,100.00
20,19,364D110424,TB,300,300,100.00
20,20,364D110724,TB,100,100,100.00
20,21,364D120924,TB,200,200,100.00
20,22,364D161123,TB,10100,10100,100.00
20,23,364D171024,TB,2000,2000,100.00
20,24,364D200624,TB,200,200,100.00
20,25,364D220324,TB,1000,1000,100.00
20,26,364D250724,TB,200,200,100.00
20,27,364D270924,TB,500,500,100.00
20,28,364D280624,TB,600,600,100.00
20,29,364D300524,TB,100,100,100.00
20,30,364D311024,TB,3100,2100,67.74
20,31,3IINFOLTD,EQ,400245,246445,61.57
20,32,3MINDIA,EQ,1981,803,40.54
20,33,3PLAND,EQ,31979,21530,67.33
20,34,515GS2025,GS,126,126,100.00
20,35,522GS2025,GS,100,100,100.00
20,36,563GS2026,GS,100,0,0.00
20,37,574GS2026,GS,109,5,4.59
20,38,5PAISA,EQ,48734,21720,44.57
20,39,610GS2031,GS,3,3,100.00
20,40,63MOONS,EQ,102326,102326,100.00
20,41,654GS2032,GS,7,6,85.71
20,42,664GS2035,GS,1,1,100.00
20,43,667GS2035,GS,212,207,97.64
20,44,669GS2024,GS,733,733,100.00
20,45,689GS2025,GS,65706,65706,100.00
20,46,695GS2061,GS,3619,3602,99.53
20,47,699GS2026,GS,2150,2150,100.00
20,48,699GS2051,GS,62,62,100.00
20,49,706GS2028,GS,10750,10750,100.00
20,50,706GS2046,GS,391,391,100.00
20,51,710GS2029,GS,15161,15161,100.00
20,52,716GS2050,GS,510,510,100.00
20,53,717GS2030,GS,5075,5075,100.00
20,54,718GS2033,GS,2000,1000,50.00
20,55,718GS2037,GS,24078,22989,95.48
20,56,725GS2063,GS,1312,1312,100.00
20,57,726GS2032,GS,1385,1385,100.00
20,58,726GS2033,GS,490,490,100.00
20,59,736GS2052,GS,14342,14334,99.94
20,60,737GS2028,GS,500,500,100.00
20,61,738GS2027,GS,6290,6288,99.97
20,62,73GS2053,GS,8500,4600,54.12
20,63,741GS2036,GS,117053,116991,99.95
20,64,746GS2073,GS,1002,1002,100.00
20,65,74GS2062,GS,2,2,100.00
20,66,754GS2036,GS,802352,698368,87.04
20,67,757GS2033,GS,10,10,100.00
20,68,759GS2026,GS,100,100,100.00
20,69,769GS2043,GS,100,100,100.00
20,70,794TN32,SG,400,400,100.00
20,71,832GS2032,GS,38,38,100.00
20,72,833GS2026,GS,722,722,100.00
20,73,91D071223,TB,500,500,100.00
20,74,91D141223,TB,100,100,100.00
20,75,91D211223,TB,2200,2200,100.00
20,76,91D291223,TB,1400,1400,100.00
20,77,AAATECH,EQ,39738,21624,54.42
20,78,AAKASH,EQ,272915,178255,65.32
20,79,AARON,EQ,6867,3971,57.83
20,80,AARTIDRUGS,EQ,491240,102876,20.94
20,81,AARTIIND,EQ,965927,371696,38.48
20,82,AARTIPHARM,EQ,146497,70603,48.19
20,83,AARTIPP,E1,3,3,100.00
20,84,AARTISURF,EQ,15857,5794,36.54
20,85,AARVEEDEN,EQ,26244,17754,67.65
20,86,AARVI,EQ,41651,28156,67.60
20,87,AATMAJ,SM,264000,200000,75.76
20,88,AAVAS,EQ,92070,59959,65.12
20,89,ABB,EQ,522498,164077,31.40
20,90,ABBOTINDIA,EQ,24641,9551,38.76
20,91,ABCAPITAL,EQ,1628485,615909,37.82
20,92,ABCOTS,SM,4000,4000,100.00
20,93,ABFL,N0,83,83,100.00
20,94,ABFL,N4,1670,1670,100.00
20,95,ABFRL,EQ,1808514,581607,32.16
20,96,ABINFRA,SM,20000,16000,80.00
20,97,ABSLAMC,EQ,139171,86754,62.34
20,98,ABSLBANETF,EQ,362606,359748,99.21
20,99,ABSLLIQUID,EQ,403,372,92.31
20,100,ABSLNN50ET,EQ,1325,735,55.47
20,101,ACC,EQ,223676,95956,42.90
20,102,ACCELYA,EQ,10120,5443,53.78
20,103,ACCURACY,EQ,422089,347215,82.26
20,104,ACE,EQ,285393,167894,58.83
20,105,ACEINTEG,EQ,4488,1421,31.66
