Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31102023,957173718,0002232
Trade Date <31-OCT-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D040424,TB,500,500,100.00
20,2,182D070324,TB,200,200,100.00
20,3,182D071223,TB,1000,1000,100.00
20,4,182D220224,TB,11000,11000,100.00
20,5,182D290324,TB,5100,5100,100.00
20,6,21STCENMGM,EQ,6366,6107,95.93
20,7,360ONE,EQ,369884,286115,77.35
20,8,364D010824,TB,10000,10000,100.00
20,9,364D020524,TB,400,400,100.00
20,10,364D031024,TB,600,600,100.00
20,11,364D040724,TB,14900,14900,100.00
20,12,364D101024,TB,100,100,100.00
20,13,364D120924,TB,1000,1000,100.00
20,14,364D160524,TB,100,100,100.00
20,15,364D171024,TB,100,100,100.00
20,16,364D180424,TB,1000,1000,100.00
20,17,364D180724,TB,2000,2000,100.00
20,18,364D200624,TB,9000,9000,100.00
20,19,3IINFOLTD,EQ,353270,168034,47.57
20,20,3MINDIA,EQ,1045,386,36.94
20,21,3PLAND,EQ,54651,16406,30.02
20,22,456GS2023,GS,1,1,100.00
20,23,563GS2026,GS,1,1,100.00
20,24,574GS2026,GS,5,5,100.00
20,25,5PAISA,EQ,94823,23779,25.08
20,26,610GS2031,GS,50,50,100.00
20,27,618GS2024,GS,19,19,100.00
20,28,63MOONS,EQ,35562,19902,55.96
20,29,654GS2032,GS,1,1,100.00
20,30,667GS2035,GS,602,602,100.00
20,31,669GS2024,GS,1507,1483,98.41
20,32,689GS2025,GS,502,400,79.68
20,33,695GS2061,GS,2,2,100.00
20,34,699GS2026,GS,10,10,100.00
20,35,699GS2051,GS,2,1,50.00
20,36,706GS2028,GS,362,362,100.00
20,37,710GS2029,GS,6680,6680,100.00
20,38,717GS2030,GS,75733,75733,100.00
20,39,718GS2037,GS,6709,6709,100.00
20,40,725GS2063,GS,45146,45146,100.00
20,41,726GS2032,GS,88535,88535,100.00
20,42,726GS2033,GS,62000,62000,100.00
20,43,736GS2052,GS,7946,7946,100.00
20,44,737GS2028,GS,8600,8000,93.02
20,45,738GS2027,GS,53007,41317,77.95
20,46,73GS2053,GS,2500,2500,100.00
20,47,741GS2036,GS,1646878,1646878,100.00
20,48,74GS2035,GS,3,3,100.00
20,49,74GS2062,GS,672,672,100.00
20,50,754GS2036,GS,188316,183316,97.34
20,51,824GS2027,GS,3100,3100,100.00
20,52,826GS2027,GS,485,485,100.00
20,53,833GS2026,GS,879,879,100.00
20,54,897GS2030,GS,5,5,100.00
20,55,91D040124,TB,6500,6500,100.00
20,56,91D071223,TB,100,100,100.00
20,57,91D110124,TB,200,200,100.00
20,58,91D231123,TB,100,100,100.00
20,59,91D291223,TB,1800,1800,100.00
20,60,91D301123,TB,700,700,100.00
20,61,92GS2030,GS,12,12,100.00
20,62,AAATECH,EQ,108268,23375,21.59
20,63,AAKASH,EQ,239942,180213,75.11
20,64,AARON,EQ,5568,3101,55.69
20,65,AARTIDRUGS,EQ,125225,48802,38.97
20,66,AARTIIND,EQ,564116,229316,40.65
20,67,AARTIPHARM,EQ,63629,31748,49.90
20,68,AARTIPP,E1,27,25,92.59
20,69,AARTISURF,EQ,9089,6681,73.51
