Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,09102024,1571867119,0002529
Trade Date <09-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,10,10,100.00
20,2,1003ICCL28,NX,20,20,100.00
20,3,1015ECL29,NR,104,100,96.15
20,4,1018GS2026,GS,2935,2935,100.00
20,5,1025UCL25,N8,191,97,50.79
20,6,1030ICCL28,NM,36,36,100.00
20,7,1035UCL26,NA,72,72,100.00
20,8,1049DLS25A,Y5,16,16,100.00
20,9,1049DLSL25,NX,186,186,100.00
20,10,1050ISFL28,N5,50,50,100.00
20,11,1050NFL26,N7,276,276,100.00
20,12,1050UCL25,N7,75,75,100.00
20,13,105UCL2026,NB,30,30,100.00
20,14,1065NFL27,NC,663,663,100.00
20,15,1075NFL25,N6,1,1,100.00
20,16,1075SCL33A,N2,43,43,100.00
20,17,1075UCL25,N9,8,5,62.50
20,18,10IIFL28,N4,21,21,100.00
20,19,10IIFL29,N6,1,1,100.00
20,20,10IIFLSF27,NB,51,51,100.00
20,21,10ISFL26,N3,30,30,100.00
20,22,10NFL25,N9,21,21,100.00
20,23,10NIDO26,N6,1658,1658,100.00
20,24,10SCL30A,BV,21,13,61.90
20,25,11DLSL25,NV,592,592,100.00
20,26,11DLSL25A,Y3,38,38,100.00
20,27,182D011124,TB,1000,1000,100.00
20,28,182D051224,TB,100,100,100.00
20,29,182D060225,TB,2000,2000,100.00
20,30,182D060325,TB,200,200,100.00
20,31,182D130325,TB,100,100,100.00
20,32,182D270225,TB,100,100,100.00
20,33,182D281124,TB,8800,8800,100.00
20,34,182D300125,TB,200,200,100.00
20,35,360ONE,EQ,1013927,635943,62.72
20,36,364D030425,TB,700,700,100.00
20,37,364D070825,TB,400,400,100.00
20,38,364D110925,TB,100,100,100.00
20,39,3IINFOLTD,EQ,645369,323386,50.11
20,40,3MINDIA,EQ,4483,2076,46.31
20,41,515GS2025,GS,20,10,50.00
20,42,5PAISA,EQ,35097,14532,41.41
20,43,63MOONS,EQ,493834,210412,42.61
20,44,654GS2032,GS,1,1,100.00
20,45,667GS2035,GS,2,1,50.00
20,46,667GS2050,GS,5003,5001,99.96
20,47,676GS2061,GS,114704,114704,100.00
20,48,679GS2034,GS,2,1,50.00
20,49,68GS2060,GS,11298,11298,100.00
20,50,697GR2034,GS,400,400,100.00
20,51,699GS2026,GS,1000,1000,100.00
20,52,699GS2051,GS,1210,1210,100.00
20,53,702GS2031,GS,106,101,95.28
20,54,704GS2029,GS,100,100,100.00
20,55,706GS2028,GS,31312,14476,46.23
20,56,710GS2029,GS,1501,1301,86.68
20,57,717GS2030,GS,51635,51299,99.35
20,58,718GS2033,GS,2600,2600,100.00
20,59,718GS2037,GS,127450,124490,97.68
20,60,71GS2034,GS,675,675,100.00
20,61,723GS2039,GS,2800,2800,100.00
20,62,725GS2063,GS,27513,21913,79.65
20,63,726GS2032,GS,38150,37550,98.43
20,64,726GS2033,GS,49100,49100,100.00
20,65,727GS2026,GS,958,948,98.96
20,66,729NHAI26,NC,72,72,100.00
20,67,732GS2030,GS,3200,3200,100.00
20,68,732IRFC25,NI,1,1,100.00
20,69,733GS2026,GS,12420,12420,100.00
20,70,734GS2064,GS,12285,12240,99.63
20,71,736GS2052,GS,6,6,100.00
20,72,736PFCL28,N2,1000,1000,100.00
20,73,737GS2028,GS,7202,7202,100.00
20,74,738GS2027,GS,5529,5529,100.00
20,75,738REC27TF,N2,200,200,100.00
20,76,739NHAI26,N8,1,1,100.00
20,77,73GS2053,GS,17541,17541,100.00
20,78,741GS2036,GS,88681,88681,100.00
20,79,746GS2073,GS,19348,19348,100.00
20,80,74GS2035,GS,99,99,100.00
20,81,753IRFC30,NJ,143,143,100.00
20,82,753NTPC30E,NC,63,63,100.00
20,83,754GS2036,GS,349387,336386,96.28
20,84,760PFCL35,N3,140,140,100.00
20,85,762NTPC35F,ND,83,63,75.90
20,86,764HUDCO31,N8,21,21,100.00
20,87,764IRFC31,NO,43,43,100.00
20,88,764NABAR31,N2,600,600,100.00
20,89,767KA36,SG,100,100,100.00
20,90,769HUDCO31,N9,275,265,96.36
20,91,769NHAI31,NE,2284,1810,79.25
20,92,76NHAI31,NA,7558,6775,89.64
20,93,777PN33,SG,200,200,100.00
20,94,7865LICH26,N0,1000,1000,100.00
20,95,795GS2032,GS,11,11,100.00
20,96,797IGT31,NL,9,9,100.00
20,97,79NHIT35,N1,2500,2500,100.00
20,98,79NHIT40,N2,1157,752,65.00
20,99,79NHIT47,N3,992,992,100.00
20,100,801TCH25,N4,919,919,100.00
20,101,810IRFC27,N2,1575,1575,100.00
20,102,812REC27,NI,100,100,100.00
20,103,813GS2045,GS,1,1,100.00
20,104,81ABFL33,N5,14,14,100.00
20,105,81TCHF28,N8,600,600,100.00
20,106,824GS2027,GS,1158,1058,91.36
20,107,825IIFL25,N7,302,302,100.00
20,108,829LTF24,NL,6,6,100.00
20,109,82HUDCO27,N2,21,21,100.00
20,110,82IGT31,NJ,55,55,100.00
20,111,830NHAI27,N2,1993,1887,94.68
20,112,830PFCL27,N5,260,260,100.00
20,113,835IFL25,NV,50,50,100.00
20,114,83TCHF25,N6,57,54,94.74
20,115,840CIFCL28,N4,20,20,100.00
20,116,842IIFL26,NL,1150,993,86.35
20,117,843IHFL29,NC,742,583,78.57
20,118,849NTPC25,N7,13706,11936,87.09
20,119,84TCHF28,NA,355,345,97.18
20,120,85IIFL25,NO,10,10,100.00
20,121,865IFL28,NZ,65,65,100.00
20,122,865IIFL28,NS,782,702,89.77
20,123,865IRFC29,NA,32,32,100.00
20,124,865LTF26,NN,100,100,100.00
20,125,871REC28,N9,1205,1205,100.00
20,126,875IIFL26,NM,70,70,100.00
20,127,875NHAI29,N6,559,559,100.00
20,128,875SFL27,ZF,25,25,100.00
20,129,876HUDCO28,ND,220,220,100.00
20,130,87LTF27,NH,200,200,100.00
20,131,880IREDA34,N6,93,93,100.00
20,132,886REC34,NG,2,1,50.00
20,133,888ERFL28,N5,132,132,100.00
20,134,888IRFC29,NE,365,340,93.15
20,135,888REC29,NF,1111,850,76.51
20,136,889SCL27,YT,4,4,100.00
20,137,891IIFCL34,N4,5,5,100.00
20,138,891NTPC33,N6,2130,1509,70.85
20,139,892PFCL33,N8,1052,1001,95.15
20,140,893NHB29,N6,1,1,100.00
20,141,894SCL24,ZR,5,5,100.00
20,142,898LTF29,N7,1680,1500,89.29
20,143,8ABFL26,N0,5,5,100.00
20,144,901HUDCO34,NE,107,98,91.59
20,145,901NHB34,N6,45,28,62.22
20,146,903SFL28,YI,31,31,100.00
20,147,905LTF27,NF,223,223,100.00
20,148,910TCAP28,NA,11,11,100.00
20,149,91D051224,TB,400,300,75.00
20,150,91D151124,TB,200,200,100.00
