Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092024,1864050844,0002478
Trade Date <30-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,3,1,33.33
20,2,1015ECL29,NR,570,569,99.82
20,3,1018GS2026,GS,9272,9072,97.84
20,4,1025SCL34,Z8,144,144,100.00
20,5,1025SCL34A,ZT,2,2,100.00
20,6,1030ICC26,NJ,200,200,100.00
20,7,1030ICCL28,NM,14,7,50.00
20,8,1035UCL26,NA,117,107,91.45
20,9,1049DLS25A,Y5,1,1,100.00
20,10,1049DLSL25,NX,40,40,100.00
20,11,1050NFL26,N7,101,101,100.00
20,12,1050UCL25,N7,4,4,100.00
20,13,1060ECL29,NS,250,250,100.00
20,14,1065NFL27,NC,356,356,100.00
20,15,1075SCL33A,N2,14,14,100.00
20,16,1090NFL26,NB,12,11,91.67
20,17,10CAGL27,N5,158,158,100.00
20,18,10IIFL28,N4,686,686,100.00
20,19,10IIFL28A,NE,637,637,100.00
20,20,10ISFL26,N3,6,6,100.00
20,21,10NIDO26,N6,510,510,100.00
20,22,10SCL30A,BV,18,18,100.00
20,23,1190VCCL26,N0,1,1,100.00
20,24,11DLSL25,NV,95,95,100.00
20,25,182D020125,TB,100,100,100.00
20,26,182D130325,TB,100,100,100.00
20,27,182D191224,TB,800,800,100.00
20,28,182D200225,TB,4900,4900,100.00
20,29,20MICRONS,EQ,117170,51816,44.22
20,30,360ONE,EQ,396214,218743,55.21
20,31,364D030725,TB,1100,1100,100.00
20,32,364D040925,TB,100,100,100.00
20,33,364D110925,TB,100,100,100.00
20,34,364D121224,TB,2800,2800,100.00
20,35,364D260625,TB,100,100,100.00
20,36,3IINFOLTD,EQ,994218,479860,48.27
20,37,3MINDIA,EQ,20064,11648,58.05
20,38,574GS2026,GS,1032,1032,100.00
20,39,585GS2030,GS,100,100,100.00
20,40,5PAISA,EQ,82717,27681,33.46
20,41,613RJ26,SG,500,500,100.00
20,42,618GS2024,GS,4,4,100.00
20,43,63MOONS,EQ,413951,182867,44.18
20,44,654GS2032,GS,700,700,100.00
20,45,667GS2035,GS,9,9,100.00
20,46,667GS2050,GS,289,289,100.00
20,47,676GS2061,GS,10000,10000,100.00
20,48,689GS2025,GS,1002,1002,100.00
20,49,68GS2060,GS,2,1,50.00
20,50,697GR2034,GS,2,2,100.00
20,51,699GS2026,GS,5700,4700,82.46
20,52,699GS2051,GS,22617,21464,94.90
20,53,702GS2027,GS,5172,5172,100.00
20,54,702GS2031,GS,6114,6114,100.00
20,55,704GS2029,GS,300,300,100.00
20,56,706GS2028,GS,13625,13625,100.00
20,57,709GS2054,GS,4800,4800,100.00
20,58,710GS2029,GS,19861,17361,87.41
20,59,717GS2030,GS,38301,38301,100.00
20,60,718GS2033,GS,25500,25500,100.00
20,61,718GS2037,GS,10305,9305,90.30
20,62,723GS2039,GS,500,500,100.00
20,63,726GS2032,GS,8800,8800,100.00
20,64,726GS2033,GS,1,1,100.00
20,65,727GS2026,GS,1,1,100.00
20,66,728IRFC30,NG,5512,4707,85.40
20,67,728NTPC30B,N9,40,40,100.00
20,68,729NHAI26,NC,46,27,58.70
20,69,732GS2030,GS,3602,1901,52.78
20,70,732IRFC25,NI,60,60,100.00
20,71,733GS2026,GS,832510,818490,98.32
20,72,734GS2064,GS,19650,19650,100.00
20,73,734IRFC28,N4,30,10,33.33
20,74,735NHAI31,N9,500,500,100.00
20,75,736GS2052,GS,4500,4500,100.00
20,76,736NTPC25D,NB,185,185,100.00
20,77,737GS2028,GS,6326,6326,100.00
20,78,738GS2027,GS,88302,84602,95.81
20,79,739NHAI26,N8,50,50,100.00
20,80,739NHAI31A,ND,85,51,60.00
20,81,73GS2053,GS,11020,11020,100.00
20,82,741GS2036,GS,134614,134614,100.00
20,83,743REC35,NH,144,99,68.75
20,84,746GS2073,GS,400,400,100.00
20,85,750IRFC35,NK,18,18,100.00
20,86,753IRFC30,NJ,1067,1065,99.81
20,87,754GS2036,GS,505714,505713,100.00
20,88,757GS2033,GS,100,100,100.00
20,89,760PFCL35,N3,1,1,100.00
20,90,764HUDCO31,N8,1,1,100.00
20,91,764IRFC31,NO,117,110,94.02
20,92,764NABAR31,N2,162,136,83.95
20,93,769NHAI31,NE,2625,2625,100.00
20,94,76IGT26,ND,1000,1000,100.00
20,95,76NHAI31,NA,2347,1481,63.10
20,96,774IREDA31,N7,120,120,100.00
20,97,78ABFL33,N4,9,9,100.00
20,98,797IGT31,NL,190,180,94.74
20,99,79NHIT35,N1,2501,2501,100.00
20,100,79NHIT40,N2,1412,1412,100.00
20,101,79NHIT47,N3,446,444,99.55
20,102,810IRFC27,N2,5200,4408,84.77
20,103,81TCHF28,N8,225,225,100.00
20,104,820IIFL27,N9,1404,1404,100.00
20,105,828GS2027,GS,382,191,50.00
20,106,829LTF24,NL,270,230,85.19
20,107,82HUDCO27,N2,190,95,50.00
20,108,82IGT31,NJ,2201,2201,100.00
20,109,830NHAI27,N2,13194,10000,75.79
20,110,830PFCL27,N5,5289,3689,69.75
20,111,835SCL23B,YM,1,1,100.00
20,112,842IIFL26,NL,242,241,99.59
20,113,843IHFL29,NC,898,750,83.52
20,114,849NTPC25,N7,194800,189040,97.04
20,115,850IIFL27,NA,293,293,100.00
20,116,85IFL26,NX,35,35,100.00
20,117,863NHB29,N2,48,48,100.00
20,118,865IFL28,NZ,370,370,100.00
20,119,865IIFL28,NS,758,408,53.83
20,120,865IRFC29,NA,100,100,100.00
20,121,865LTF26,NN,101,101,100.00
20,122,865TCAPS27,N8,730,610,83.56
20,123,86LTF24,NJ,455,240,52.75
20,124,871REC28,N9,2290,2000,87.34
20,125,872MMFSL26,N1,50,50,100.00
20,126,873NTPC28,N5,100,100,100.00
20,127,875IIFL26A,NQ,50,50,100.00
20,128,875NHAI29,N6,975,975,100.00
20,129,876HUDCO28,ND,319,319,100.00
20,130,883GS2041,GS,760,760,100.00
20,131,888ERFL28,N5,82,82,100.00
20,132,888IHFL25F,NC,26,26,100.00
20,133,888IRFC29,NE,27,27,100.00
20,134,888REC29,NF,362,356,98.34
20,135,889SCFL27,YC,3,3,100.00
20,136,889SCL26,NS,9,9,100.00
20,137,889SCL27,YT,3,3,100.00
20,138,891IIFCL34,N4,7,7,100.00
20,139,891NTPC33,N6,1031,1031,100.00
20,140,892PFCL33,N8,1052,1051,99.90
20,141,893NHB29,N6,194,194,100.00
20,142,897MOFSL29,N4,702,671,95.58
20,143,898LTF29,N7,15088,12661,83.91
20,144,8ABFL26,N0,300,300,100.00
20,145,901HUDCO34,NE,322,316,98.14
20,146,901NHB34,N6,135,100,74.07
20,147,903SFL28,YI,115,115,100.00
20,148,905LTF27,NF,489,489,100.00
20,149,905PEL26,N1,3,1,33.33
20,150,910CAGL25,N7,68,68,100.00
20,151,910TCAP28,NA,251,251,100.00
20,152,91D071124,TB,100,100,100.00
20,153,91D101024,TB,7000,7000,100.00
20,154,91D151124,TB,4900,4900,100.00
20,155,91D211124,TB,9000,9000,100.00
20,156,91MOFSL27,N2,1500,1500,100.00
20,157,925AEL26,N1,7,7,100.00
20,158,925CAGL26,N9,476,476,100.00
20,159,925ERFL28,N6,90,90,100.00
20,160,925IHFL25D,N6,20,20,100.00
20,161,925SCL25C,AR,82,82,100.00
20,162,925SCL26D,ZD,10,10,100.00
20,163,925SCL26F,N1,6,6,100.00
20,164,92GS2030,GS,38231,32578,85.21
20,165,932AEL27,N3,4,4,100.00
20,166,935MOFSL29,N5,10,10,100.00
20,167,93MOFSL34,N6,80,80,100.00
20,168,943ECL28,NJ,50,50,100.00
20,169,948SCL26,N9,154,100,64.94
20,170,94IFCI25,NL,100,100,100.00
20,171,94SFL28,YL,106,106,100.00
20,172,956AEL29,N6,100,100,100.00
20,173,957ISFL26,N2,38,38,100.00
20,174,957NIDO26,N5,33,33,100.00
20,175,965AEL27,N4,7,7,100.00
20,176,965SCL25C,N0,11,11,100.00
20,177,96IIFL28,N5,4650,4600,98.92
20,178,96IIFL28A,NF,451,451,100.00
20,179,970CAGL28,ND,554,550,99.28
20,180,971SCL28,AN,805,805,100.00
20,181,971SCL28I,BC,10,10,100.00
20,182,985ECL28,NK,307,307,100.00
20,183,98ICCL26,NU,328,328,100.00
20,184,990SCL26,N7,13,10,76.92
20,185,99AEL29,N7,1455,1455,100.00
20,186,99IFCI24,NH,400,400,100.00
20,187,9IIFL28A,NT,19,19,100.00
20,188,9MMFSML,N2,45,45,100.00
20,189,9PCHFL31A,NA,80,80,100.00
20,190,9PEL25,N0,100,100,100.00
20,191,9SCL26BA,NA,48,48,100.00
20,192,AAATECH,EQ,45784,29156,63.68
20,193,AADHARHFC,EQ,1185222,485761,40.98
20,194,AARON,EQ,17427,3766,21.61
20,195,AARTECH,EQ,383694,155525,40.53
20,196,AARTIDRUGS,EQ,169488,69685,41.12
