Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10112025,1509516368,0003038
Trade Date <10-NOV-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,1,1,100.00
20,2,0MOFSL27,N3,191,190,99.48
20,3,1003ISFL28,N4,10,10,100.00
20,4,1015ECL29,NR,25,25,100.00
20,5,1018GS2026,GS,2497,2459,98.48
20,6,1030SFIL26,NJ,3,3,100.00
20,7,1035UCL26,NA,210,210,100.00
20,8,1040NFL26,NA,40,20,50.00
20,9,1050UCL28,NH,25,25,100.00
20,10,105IIFL29,N7,140,140,100.00
20,11,105UCL2026,NB,6,6,100.00
20,12,1060ECL29,NS,40,35,87.50
20,13,1065NFL27,NC,334,249,74.55
20,14,1075SCL33A,N2,20,20,100.00
20,15,1090NFL26,NB,10,10,100.00
20,16,10CAGL27,N5,79,79,100.00
20,17,10IIFL28,N4,310,310,100.00
20,18,10IIFL28A,NE,2137,1697,79.41
20,19,10IIFL29,N6,238,238,100.00
20,20,10IIFLSF27,NB,258,236,91.47
20,21,10ISFL26,N3,110,110,100.00
20,22,10NIDO26,N6,237,236,99.58
20,23,1102NFL26,N8,31,31,100.00
20,24,111ESFB31,N0,1,1,100.00
20,25,118VCCL27B,N0,8,8,100.00
20,26,12AFIL27,N0,4,4,100.00
20,27,12AFIL28,N0,2,2,100.00
20,28,12VCCL29B,N0,3,3,100.00
20,29,182D111225,TB,100,100,100.00
20,30,182D260326,TB,1500,1500,100.00
20,31,182D300426,TB,200,200,100.00
20,32,20MICRONS,EQ,148535,85157,57.33
20,33,21STCENMGM,EQ,3511,3511,100.00
20,34,360ONE,EQ,308692,185060,59.95
20,35,364D061126,TB,200,200,100.00
20,36,364D081026,TB,300,200,66.67
20,37,364D100426,TB,29800,29800,100.00
20,38,364D131125,TB,310000,235000,75.81
20,39,364D160726,TB,1200,1200,100.00
20,40,364D170926,TB,1500,1500,100.00
20,41,364D200826,TB,1200,1200,100.00
20,42,3IINFOLTD,EQ,612392,331414,54.12
20,43,3MINDIA,EQ,30571,19806,64.79
20,44,3PLAND,EQ,10653,9173,86.11
20,45,5PAISA,EQ,75290,39319,52.22
20,46,601GS2030,GS,2090,1900,90.91
20,47,619GS2034,GS,8049,8049,100.00
20,48,628GS2032,GS,101,100,99.01
20,49,633GS2035,GS,1497,1496,99.93
20,50,63MOONS,EQ,69780,39281,56.29
20,51,664GS2027,GS,200,200,100.00
20,52,667GS2050,GS,1856,1678,90.41
20,53,669GJ34,SG,10200,10200,100.00
20,54,676GS2061,GS,2014,2014,100.00
20,55,679GS2031,GS,49,49,100.00
20,56,68GS2060,GS,17,17,100.00
20,57,690GS2065,GS,57839,57839,100.00
20,58,695GS2061,GS,975,963,98.77
20,59,698GR2054,GS,1110,1110,100.00
20,60,699GS2026,GS,215,215,100.00
20,61,702GS2027,GS,100,100,100.00
20,62,704GS2029,GS,100,100,100.00
20,63,706GS2028,GS,175,175,100.00
20,64,709GS2054,GS,34802,33802,97.13
20,65,709GS2074,GS,60645,57558,94.91
20,66,710GS2029,GS,1004,1004,100.00
20,67,716GS2050,GS,100,100,100.00
20,68,718GS2033,GS,1,1,100.00
20,69,718GS2037,GS,4747,4747,100.00
20,70,719HUDCO28,N7,1,1,100.00
20,71,71GS2034,GS,1001000,1001000,100.00
20,72,723GS2039,GS,4110,4100,99.76
20,73,724GS2055,GS,500,500,100.00
20,74,725GS2063,GS,36737,36236,98.64
20,75,726GS2029,GS,1,1,100.00
20,76,726GS2032,GS,80955,80955,100.00
20,77,726GS2033,GS,7000,7000,100.00
20,78,728IRFC30,NG,25,25,100.00
20,79,729IRFC26,NN,32,27,84.38
20,80,729NHAI26,NC,85,85,100.00
20,81,732GS2030,GS,1000,1000,100.00
20,82,732IRFC25,NI,51,51,100.00
20,83,733GS2026,GS,4300,4300,100.00
20,84,734GS2064,GS,7690,5710,74.25
20,85,736GS2052,GS,4030,2065,51.24
20,86,737GS2028,GS,1807,1807,100.00
20,87,738GS2027,GS,97307,96807,99.49
20,88,739NHAI26,N8,200,200,100.00
20,89,73GS2053,GS,26150,26150,100.00
20,90,741GS2036,GS,500,500,100.00
20,91,744AP33,SG,100,100,100.00
20,92,746GS2073,GS,12913,12913,100.00
20,93,74GS2035,GS,200,200,100.00
20,94,74GS2062,GS,1010,1010,100.00
20,95,750IRFC35,NK,633,633,100.00
20,96,753IRFC30,NJ,31,31,100.00
20,97,754GS2036,GS,176667,156047,88.33
20,98,759GS2026,GS,410,410,100.00
20,99,760PFCL35,N3,347,208,59.94
20,100,762GS2039,GS,100,100,100.00
20,101,762NTPC35F,ND,1,1,100.00
20,102,763GJ33,SG,100,100,100.00
20,103,764GJ31,SG,100,100,100.00
20,104,764HUDCO31,N8,1,1,100.00
20,105,764IRFC31,NO,968,938,96.90
20,106,764NABAR31,N2,250,250,100.00
20,107,767HR35,SG,5000,5000,100.00
20,108,769HUDCO31,N9,150,150,100.00
20,109,769IGT28,NH,16,16,100.00
20,110,769NHAI31,NE,128,127,99.22
20,111,76IGT26,ND,2,2,100.00
20,112,76NHAI31,NA,266,266,100.00
20,113,772GS2055,GS,90,90,100.00
20,114,774IREDA31,N7,316,301,95.25
20,115,78ABCL33,N1,74,74,100.00
20,116,794TN32,SG,2000,2000,100.00
20,117,795GS2032,GS,12205,12200,99.96
20,118,797IGT31,NL,745,480,64.43
20,119,79NHIT35,N1,667,666,99.85
20,120,79NHIT40,N2,441,425,96.37
20,121,79NHIT47,N3,630,415,65.87
20,122,810IRFC27,N2,20,20,100.00
20,123,812REC27,NI,1724,1724,100.00
20,124,813GS2045,GS,1105,1105,100.00
20,125,828GS2027,GS,6550,5650,86.26
20,126,828GS2032,GS,2,2,100.00
20,127,82IGT31,NJ,3377,2936,86.94
20,128,830NHAI27,N2,6210,5000,80.52
20,129,830PFCL27,N5,926,641,69.22
20,130,842IIFL26,NL,2509,1996,79.55
20,131,843IHFL29,NC,111,111,100.00
20,132,846REC28,N6,2,1,50.00
20,133,850CIFCL26,NE,10,10,100.00
20,134,860CIFCL28,NG,10,10,100.00
20,135,865IFL28,NZ,131,131,100.00
20,136,865IIFL28,NS,1024,724,70.70
20,137,865IRFC29,NA,428,427,99.77
20,138,865LTF26,NN,1,1,100.00
20,139,865TCAPS27,N8,110,55,50.00
20,140,871REC28,N9,950,690,72.63
20,141,875IHFL29,ND,1,1,100.00
20,142,875NHAI29,N6,6834,6595,96.50
20,143,875SFL27,ZF,190,190,100.00
20,144,876HUDCO28,ND,1450,1450,100.00
20,145,87LTF27,NH,60,60,100.00
20,146,880IREDA29,N5,45,40,88.89
20,147,883GS2041,GS,500,500,100.00
20,148,885AEL28,NB,3,3,100.00
20,149,885IHL26,N1,10,10,100.00
20,150,885MOFSL26,N0,192,192,100.00
20,151,886REC34,NG,10,10,100.00
20,152,888IHFL25F,NC,61,61,100.00
20,153,888IRFC29,NE,302,102,33.77
20,154,888SCL28,NA,70,70,100.00
20,155,889SCL27,YT,218,218,100.00
20,156,891IIFCL34,N4,10,10,100.00
20,157,891NTPC33,N6,240,240,100.00
20,158,892NHPC33,N6,500,500,100.00
20,159,892PFCL33,N8,714,499,69.89
20,160,893NHB29,N6,57,57,100.00
20,161,897MOFSL29,N4,25,25,100.00
20,162,898LTF29,N7,47,40,85.11
20,163,8SMC29,N1,10,10,100.00
20,164,8SMC30,N2,149,149,100.00
20,165,901NHB34,N6,127,87,68.50
