Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31102025,1627677402,0003012
Trade Date <31-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL27,YW,2,1,50.00
20,2,1003ISFL28,N4,732,732,100.00
20,3,1003SCL30A,NV,164,0,0.00
20,4,1015ECL29,NR,2248,2056,91.46
20,5,1015SCL28A,AL,2,2,100.00
20,6,1015UCL26,N1,35,35,100.00
20,7,1018GS2026,GS,6760,5750,85.06
20,8,1025SCL34A,ZT,100,100,100.00
20,9,1025SCL34B,N1,1405,1405,100.00
20,10,1025UCL26A,N1,52,52,100.00
20,11,1030SFIL26,NJ,57,57,100.00
20,12,1040NFL26,NA,13,13,100.00
20,13,1050NFL26,N7,64,64,100.00
20,14,105IIFL29,N7,90,90,100.00
20,15,1060ECL29,NS,175,175,100.00
20,16,1065NFL27,NC,1000,1000,100.00
20,17,10IIFL28A,NE,638,638,100.00
20,18,10IIFL29,N6,351,351,100.00
20,19,10NIDO26,N6,18,18,100.00
20,20,10UCL26,ND,20,20,100.00
20,21,1119NFL27,ND,22,22,100.00
20,22,118VCCL27B,N0,10,10,100.00
20,23,11UCL26,NC,173,173,100.00
20,24,12AFIL27,N0,3,3,100.00
20,25,12AFIL28,N0,9,9,100.00
20,26,12VCCL29B,N0,1,1,100.00
20,27,182D090426,TB,100,100,100.00
20,28,20MICRONS,EQ,60289,38113,63.22
20,29,21STCENMGM,EQ,2330,1468,63.00
20,30,360ONE,EQ,587485,312983,53.28
20,31,364D061125,TB,74400,74400,100.00
20,32,364D120326,TB,200,100,50.00
20,33,364D150126,TB,100,100,100.00
20,34,3IINFOLTD,EQ,1603459,747665,46.63
20,35,3MINDIA,EQ,5604,4221,75.32
20,36,3PLAND,EQ,5787,4592,79.35
20,37,563GS2026,GS,95,95,100.00
20,38,574GS2026,GS,100,100,100.00
20,39,577GS2030,GS,2000,2000,100.00
20,40,579GS2030,GS,2000,2000,100.00
20,41,585GS2030,GS,2000,2000,100.00
20,42,5PAISA,EQ,40486,21443,52.96
20,43,619GS2034,GS,1685,1685,100.00
20,44,63MOONS,EQ,57617,33298,57.79
20,45,654GS2032,GS,10095,10095,100.00
20,46,664GS2027,GS,200,200,100.00
20,47,667GS2050,GS,25,25,100.00
20,48,668GS2040,GS,200,200,100.00
20,49,676GS2061,GS,15,14,93.33
20,50,679GS2031,GS,3024,2878,95.17
20,51,68GS2060,GS,5,4,80.00
20,52,690GS2065,GS,75539,73100,96.77
20,53,695GS2061,GS,10006,10006,100.00
20,54,698GR2054,GS,4,4,100.00
20,55,699GS2026,GS,195,195,100.00
20,56,699GS2051,GS,501,501,100.00
20,57,706GS2028,GS,2499,2499,100.00
20,58,706GS2046,GS,550,550,100.00
20,59,709GS2054,GS,25450,25450,100.00
20,60,709GS2074,GS,348962,348882,99.98
20,61,710GS2029,GS,4226,4197,99.31
20,62,717GS2030,GS,400,400,100.00
