Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08102025,1572460821,0003029
Trade Date <08-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,10,10,100.00
20,2,1003ISFL28,N4,4,4,100.00
20,3,1003SCL30A,NV,23,17,73.91
20,4,1003SFIL28,NX,54,54,100.00
20,5,1015ECL29,NR,100,100,100.00
20,6,1015UCL26,N1,136,136,100.00
20,7,1015UCL27,NF,1,1,100.00
20,8,1018GS2026,GS,5351,5351,100.00
20,9,1025SCL34,Z8,300,300,100.00
20,10,1030SFIL28,NM,10,10,100.00
20,11,1035UCL26,NA,25,25,100.00
20,12,1039UCL26,NE,118,57,48.31
20,13,1040NFL26,NA,1,1,100.00
20,14,1040UCL27B,N1,1,1,100.00
20,15,1050ISFL28,N5,50,50,100.00
20,16,105IIFL29,N7,20,20,100.00
20,17,1060ECL29,NS,100,100,100.00
20,18,1065NFL27,NC,44,44,100.00
20,19,10IIFL28,N4,50,50,100.00
20,20,10IIFL28A,NE,50,25,50.00
20,21,10IIFL29,N6,16,8,50.00
20,22,10NIDO26,N6,120,120,100.00
20,23,1102NFL26,N8,40,40,100.00
20,24,12AFIL27,N0,3,3,100.00
20,25,12VCCL27D,N0,1,1,100.00
20,26,12VCCL29B,N0,3,3,100.00
20,27,182D120326,TB,200,200,100.00
20,28,182D131125,TB,500,500,100.00
20,29,182D190326,TB,500,500,100.00
20,30,182D201125,TB,200,100,50.00
20,31,182D251225,TB,300,300,100.00
20,32,20MICRONS,EQ,85908,36659,42.67
20,33,21STCENMGM,EQ,6018,3969,65.95
20,34,360ONE,EQ,1594145,1016713,63.78
20,35,364D041225,TB,1600,1600,100.00
20,36,364D050226,TB,900,900,100.00
20,37,364D080126,TB,1000,1000,100.00
20,38,364D090726,TB,1000,1000,100.00
20,39,364D100426,TB,2000,2000,100.00
20,40,364D111225,TB,14100,14000,99.29
20,41,364D161025,TB,2500,2500,100.00
20,42,3IINFOLTD,EQ,782105,473286,60.51
20,43,3MINDIA,EQ,1592,830,52.14
20,44,3PLAND,EQ,4246,3044,71.69
20,45,515GS2025,GS,202,102,50.50
20,46,563GS2026,GS,3,3,100.00
20,47,574GS2026,GS,441,441,100.00
20,48,5PAISA,EQ,15722,9263,58.92
20,49,601GS2030,GS,200,200,100.00
20,50,610GS2031,GS,255,254,99.61
20,51,633GS2035,GS,25294,25294,100.00
20,52,63MOONS,EQ,71378,32089,44.96
