Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15012024,2227541959,0002332
Trade Date <15-JAN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D060624,TB,200,200,100.00
20,2,182D070324,TB,200,200,100.00
20,3,182D090524,TB,100,100,100.00
20,4,182D110724,TB,100,100,100.00
20,5,182D130624,TB,3600,3600,100.00
20,6,182D180424,TB,500,500,100.00
20,7,182D200624,TB,1700,1700,100.00
20,8,182D230524,TB,500,500,100.00
20,9,182D270624,TB,200,200,100.00
20,10,182D300524,TB,200,200,100.00
20,11,20MICRONS,EQ,136183,50490,37.08
20,12,360ONE,EQ,140091,88937,63.49
20,13,364D080224,TB,400,400,100.00
20,14,364D110424,TB,1000,1000,100.00
20,15,364D140324,TB,100,100,100.00
20,16,364D180124,TB,12000,12000,100.00
20,17,364D180424,TB,400,400,100.00
20,18,364D180724,TB,1100,1100,100.00
20,19,364D220224,TB,300,300,100.00
20,20,364D250724,TB,100,100,100.00
20,21,364D261224,TB,100,100,100.00
20,22,3IINFOLTD,EQ,2678608,1240836,46.32
20,23,3MINDIA,EQ,3579,1730,48.34
20,24,3PLAND,EQ,371593,109032,29.34
20,25,563GS2026,GS,1,1,100.00
20,26,574GS2026,GS,39,39,100.00
20,27,579GS2030,GS,300,300,100.00
20,28,5PAISA,EQ,109661,66390,60.54
20,29,610GS2031,GS,10321,10000,96.89
20,30,667GS2035,GS,100,100,100.00
20,31,667GS2050,GS,215,150,69.77
20,32,669GS2024,GS,639,507,79.34
20,33,689GS2025,GS,10505,10500,99.95
20,34,695GS2061,GS,3045,3044,99.97
20,35,699GS2026,GS,700,700,100.00
20,36,699GS2051,GS,23,23,100.00
20,37,706GS2028,GS,700,700,100.00
20,38,710GS2029,GS,46901,40651,86.67
20,39,716GS2050,GS,29,29,100.00
20,40,717GS2030,GS,391,390,99.74
20,41,718GS2033,GS,600,600,100.00
20,42,718GS2037,GS,2704,2502,92.53
20,43,725GS2063,GS,25259,24658,97.62
20,44,726GS2032,GS,19031,19030,99.99
20,45,726GS2033,GS,250225,250225,100.00
20,46,732GS2024,GS,6101,6101,100.00
20,47,732GS2030,GS,2600,2600,100.00
20,48,733GS2026,GS,32563,32105,98.59
20,49,736GS2052,GS,5581,4489,80.43
20,50,737GS2028,GS,711,711,100.00
20,51,738GS2027,GS,80498,80488,99.99
20,52,73GS2053,GS,3451,3451,100.00
20,53,741GS2036,GS,1000,1000,100.00
20,54,746GS2073,GS,500,500,100.00
20,55,74GS2062,GS,17,13,76.47
20,56,754GS2036,GS,879473,857477,97.50
20,57,758GA37A,SG,100,100,100.00
20,58,758GJ26,SG,100,100,100.00
20,59,762GS2039,GS,991,991,100.00
20,60,762KL44,SG,100,100,100.00
20,61,764JK50,SG,100,100,100.00
20,62,765UP34,SG,200,200,100.00
20,63,766GJ30A,SG,100,100,100.00
20,64,785AP37,SG,200,200,100.00
20,65,824GS2027,GS,10255,10255,100.00
20,66,828GS2027,GS,1100,1100,100.00
20,67,83GS2042,GS,144,144,100.00
20,68,897GS2030,GS,6500,6500,100.00
20,69,91D040424,TB,11800,11400,96.61
20,70,91D070324,TB,600,600,100.00
20,71,91D080224,TB,600,600,100.00
20,72,91D110424,TB,2500,2500,100.00
