Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12112024,1174419689,0002556
Trade Date <12-NOV-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,5,5,100.00
20,2,1003ICCL28,NX,131,131,100.00
20,3,1003ISFL28,N4,124,100,80.65
20,4,1003SCL30A,NV,30,30,100.00
20,5,1015ECL29,NR,110,110,100.00
20,6,1015SCL28,NR,21,21,100.00
20,7,1015UCL26,N1,3,3,100.00
20,8,1018GS2026,GS,121,121,100.00
20,9,1025SCL34B,N1,400,400,100.00
20,10,1025UCL25,N8,10,10,100.00
20,11,1040UCL27B,N1,21,20,95.24
20,12,1050ISFL28,N5,13,13,100.00
20,13,1050NFL26,N7,20,20,100.00
20,14,1050UCL25,N7,68,68,100.00
20,15,105IIFL29,N7,80,80,100.00
20,16,105UCL2026,NB,20,20,100.00
20,17,1060ECL29,NS,64,64,100.00
20,18,1065NFL27,NC,16,16,100.00
20,19,10CAGL27,N5,1000,1000,100.00
20,20,10IIFL28,N4,10,10,100.00
20,21,10IIFL28A,NE,10,10,100.00
20,22,10NIDO26,N6,100,100,100.00
20,23,10SCL30A,BV,3,3,100.00
20,24,1119NFL27,ND,19,19,100.00
20,25,182D060325,TB,200,200,100.00
20,26,182D100425,TB,100,100,100.00
20,27,182D121224,TB,600,600,100.00
20,28,182D240425,TB,100,100,100.00
20,29,182D270225,TB,500,500,100.00
20,30,360ONE,EQ,191794,101188,52.76
20,31,364D020525,TB,200,100,50.00
20,32,364D030425,TB,300,300,100.00
20,33,364D100725,TB,100,100,100.00
20,34,364D120625,TB,1500,1500,100.00
20,35,364D160125,TB,500,500,100.00
20,36,364D231025,TB,400,400,100.00
20,37,364D270225,TB,100,100,100.00
20,38,364D270325,TB,500,500,100.00
20,39,3IINFOLTD,EQ,285270,178535,62.58
20,40,3MINDIA,EQ,4665,1159,24.84
20,41,515GS2025,GS,85,85,100.00
20,42,563GS2026,GS,2,2,100.00
20,43,574GS2026,GS,901,901,100.00
20,44,5PAISA,EQ,27703,13489,48.69
20,45,63MOONS,EQ,830127,536791,64.66
20,46,654GS2032,GS,4500,4500,100.00
20,47,667GS2050,GS,2418,2416,99.92
20,48,676GS2061,GS,150,150,100.00
20,49,679GS2034,GS,100,100,100.00
20,50,689GS2025,GS,1,1,100.00
20,51,68GS2060,GS,6,6,100.00
20,52,695GS2061,GS,826,826,100.00
20,53,697GR2034,GS,200,200,100.00
20,54,699GS2026,GS,500,500,100.00
20,55,702GS2027,GS,3000,2999,99.97
20,56,704GS2029,GS,500,500,100.00
20,57,706GS2028,GS,1350,1350,100.00
20,58,709GS2054,GS,300,300,100.00
20,59,710GS2029,GS,8100,8000,98.77
20,60,716GS2050,GS,759,659,86.82
20,61,717GS2030,GS,5349,4662,87.16
20,62,718GS2033,GS,600,600,100.00
20,63,718GS2037,GS,650,450,69.23
20,64,719GS2060,GS,400,400,100.00
20,65,71GS2034,GS,850,850,100.00
20,66,725GS2063,GS,600,600,100.00
20,67,726GS2032,GS,20752,19252,92.77
20,68,726GS2033,GS,1500,1500,100.00
20,69,727GS2026,GS,1152,1152,100.00
20,70,732GS2030,GS,9060,5000,55.19
20,71,732IRFC25,NI,602,602,100.00
20,72,733GS2026,GS,5400,5400,100.00
20,73,734GS2064,GS,31801,31801,100.00
20,74,736GS2052,GS,12762,12762,100.00
20,75,737GS2028,GS,100,100,100.00
20,76,738GS2027,GS,1163027,1161526,99.87
20,77,739NHAI26,N8,3735,3685,98.66
20,78,73GS2053,GS,46766,46766,100.00
20,79,741GS2036,GS,32861,32861,100.00
20,80,746GS2073,GS,40122,40122,100.00
20,81,74GS2062,GS,500,500,100.00
20,82,750IRFC35,NK,40,40,100.00
20,83,751HUDCO28,N5,1,1,100.00
20,84,753IRFC30,NJ,1,1,100.00
20,85,754GS2036,GS,172052,164096,95.38
20,86,757GS2033,GS,12176,12176,100.00
20,87,760PFCL35,N3,3,3,100.00
20,88,764HUDCO31,N8,550,500,90.91
20,89,764IRFC31,NO,80,80,100.00
20,90,764NABAR31,N2,1000,1000,100.00
20,91,765UP34,SG,100,100,100.00
20,92,769HUDCO31,N9,626,526,84.03
20,93,769NHAI31,NE,360,351,97.50
20,94,76NHAI31,NA,2304,1804,78.30
20,95,772GS2055,GS,10,10,100.00
20,96,794TN32,SG,900,900,100.00
20,97,797IGT31,NL,50,50,100.00
20,98,79NHIT35,N1,1738,1046,60.18
20,99,79NHIT40,N2,2616,973,37.19
20,100,79NHIT47,N3,2776,841,30.30
20,101,801TCH25,N4,101,96,95.05
20,102,810IRFC27,N2,102,101,99.02
20,103,812REC27,NI,100,100,100.00
20,104,81ABFL33,N5,50,50,100.00
20,105,81TCHF28,N8,60,51,85.00
20,106,820IIFL27,N9,200,200,100.00
20,107,825IIFL25,N7,100,50,50.00
20,108,829LTF24,NL,18,18,100.00
20,109,82HUDCO27,N2,14,7,50.00
20,110,82IGT31,NJ,2956,2918,98.71
20,111,830NHAI27,N2,2100,1926,91.71
20,112,830PFCL27,N5,402,201,50.00
20,113,835IFL25,NV,339,339,100.00
20,114,842IIFL26,NL,100,100,100.00
20,115,843IHFL29,NC,100,100,100.00
20,116,849NTPC25,N7,61490,48376,78.67
20,117,850IIFL27,NA,25,25,100.00
20,118,85IFL26,NX,150,100,66.67
20,119,85IIFL25,NO,35,35,100.00
20,120,863IRFC29,NC,20,20,100.00
20,121,863NHB34,N3,400,400,100.00
20,122,865IFL28,NZ,1250,1154,92.32
20,123,865IIFL28,NS,23,23,100.00
20,124,865IRFC29,NA,1303,1154,88.56
20,125,865LTF26,NN,80,50,62.50
20,126,866IIFC34B,N3,305,305,100.00
20,127,866SCFL25,Y8,60,60,100.00
20,128,86LTF24,NJ,103,102,99.03
20,129,871REC28,N9,1148,1148,100.00
20,130,875IHFL29,ND,100,100,100.00
20,131,875NHAI29,N6,550,550,100.00
20,132,876HUDCO28,ND,1438,1338,93.05
20,133,879NHPC28,N5,75,70,93.33
20,134,87LTF27,NH,275,275,100.00
20,135,880IREDA29,N5,50,50,100.00
20,136,885TCAPS29,NC,1,1,100.00
20,137,888ERFL28,N5,50,50,100.00
20,138,891IIFCL34,N4,1,1,100.00
20,139,891NTPC33,N6,1030,506,49.13
20,140,892NHPC33,N6,115,75,65.22
20,141,892PFCL33,N8,70,70,100.00
20,142,893NHB29,N6,200,200,100.00
20,143,894SCL27,ZY,100,100,100.00
20,144,897MOFSL29,N4,800,800,100.00
20,145,898LTF29,N7,152,101,66.45
20,146,901HUDCO34,NE,457,300,65.65
20,147,901NHB34,N6,403,300,74.44
20,148,91D090125,TB,200,200,100.00
20,149,91D300125,TB,58000,58000,100.00
20,150,91MOFSL27,N2,1000,1000,100.00
20,151,925AEL26,N1,432,362,83.80
20,152,925SCFL27,YA,5,5,100.00
20,153,92GS2030,GS,505,505,100.00
20,154,930SFL28,YP,301,301,100.00
20,155,932AEL27,N3,770,760,98.70
20,156,935LTF29,N5,300,300,100.00
20,157,93MOFSL34,N6,1,1,100.00
20,158,943ECL28,NJ,51,51,100.00
20,159,94IFCI25,NL,100,100,100.00
20,160,955ICCL25A,NH,100,100,100.00
20,161,956AEL29,N6,17,17,100.00
20,162,957ICCL25,YW,540,500,92.59
20,163,957ISFL26,N2,124,124,100.00
20,164,957NIDO26,N5,511,511,100.00
20,165,960ISFL25,N1,38,30,78.95
20,166,965AEL27,N4,121,121,100.00
20,167,965ICCL25I,NQ,8,8,100.00
20,168,965SCL25,AG,10,10,100.00
20,169,965SCL25B,Y1,38,38,100.00
20,170,965SCL26A,ZB,30,1,3.33
20,171,965SCL26F,N1,50,50,100.00
20,172,96IIFL28,N5,463,401,86.61
20,173,96IIFL28A,NF,1271,1160,91.27
20,174,96SFL24A,NB,111,111,100.00
20,175,970CAGL28,ND,1008,1008,100.00
20,176,97SFL28,YS,460,460,100.00
20,177,985ECL28,NK,372,372,100.00
20,178,985IIFL22,NC,95,95,100.00
20,179,990SCL26,N7,107,107,100.00
20,180,99AEL29,N7,600,600,100.00
20,181,99IFCI24,NH,1536,1535,99.93
20,182,9MMFSML,N2,518,209,40.35
20,183,9PEL25,N0,1,1,100.00
20,184,9SCFL25,Y5,20,20,100.00
20,185,9SCL26BA,NA,180,180,100.00
20,186,A2ZINFRA,EQ,337727,205796,60.94
20,187,AAATECH,EQ,98085,47434,48.36
20,188,AADHARHFC,EQ,535823,238886,44.58
20,189,AAKASH,EQ,290797,157909,54.30
20,190,AARON,EQ,47433,28069,59.18
20,191,AARTECH,EQ,27909,15919,57.04
20,192,AARTIDRUGS,EQ,47534,19461,40.94
20,193,AARTIIND,EQ,3393998,1272621,37.50
20,194,AARTIPHARM,EQ,164669,77868,47.29
20,195,AARVI,EQ,8185,4835,59.07
20,196,AATMAJ,SM,6000,6000,100.00
20,197,AAVAS,EQ,59869,41991,70.14
20,198,ABAN,EQ,101054,73338,72.57
20,199,ABB,EQ,547081,237309,43.38
20,200,ABBOTINDIA,EQ,5663,1548,27.34
20,201,ABCAPITAL,EQ,3700550,1353790,36.58
20,202,ABDL,EQ,600225,424370,70.70
20,203,ABFRL,EQ,1667511,831237,49.85
20,204,ABGSEC,EQ,88,80,90.91
20,205,ABREL,EQ,167595,76176,45.45
20,206,ABSLAMC,EQ,460713,185997,40.37
20,207,ABSLBANETF,EQ,82662,55458,67.09
20,208,ABSLLIQUID,EQ,44818,41243,92.02
20,209,ABSLNN50ET,EQ,23363,20687,88.55
20,210,ABSLPSE,EQ,304358,279098,91.70
20,211,ABSMARINE,SM,68000,50000,73.53
20,212,ACC,EQ,128192,46752,36.47
20,213,ACCELYA,EQ,10412,6372,61.20
20,214,ACCENTMIC,SM,20500,19000,92.68
20,215,ACCURACY,EQ,129334,95162,73.58
20,216,ACE,EQ,154969,57901,37.36
20,217,ACEINTEG,EQ,48737,21089,43.27
20,218,ACI,EQ,370820,225931,60.93
20,219,ACL,EQ,39452,27980,70.92
20,220,ACLGATI,EQ,384470,133823,34.81
20,221,ACSAL,ST,19500,19500,100.00
20,222,ADANIENSOL,EQ,3720874,1710036,45.96
20,223,ADANIENT,EQ,597231,184129,30.83
20,224,ADANIGREEN,EQ,523181,188604,36.05
20,225,ADANIPORTS,EQ,1038042,364690,35.13
20,226,ADANIPOWER,EQ,2438708,1088130,44.62
20,227,ADFFOODS,EQ,145724,61950,42.51
20,228,ADORWELD,EQ,18423,12953,70.31
20,229,ADROITINFO,EQ,713121,319867,44.85
20,230,ADROITPP1,E1,218367,166399,76.20
20,231,ADSL,EQ,248242,128393,51.72
20,232,ADVANIHOTR,EQ,28387,12991,45.76
20,233,ADVENZYMES,EQ,474308,162553,34.27
20,234,AEGISLOG,EQ,208575,142252,68.20
20,235,AEL120924A,N5,65,65,100.00
20,236,AEL120924B,N8,7,7,100.00
20,237,AEROFLEX,EQ,549908,249036,45.29
20,238,AERON,SM,50000,33000,66.00
20,239,AESTHETIK,SM,8000,6000,75.00
20,240,AETHER,EQ,22376,9889,44.19
20,241,AFCONS,EQ,3640687,1492508,41.00
20,242,AFFLE,EQ,263688,136910,51.92
20,243,AFFORDABLE,EQ,23624,13207,55.91
20,244,AFIL,EQ,35187,24650,70.05
20,245,AGARIND,EQ,12389,8396,67.77
20,246,AGARWALFT,SM,7500,7500,100.00
20,247,AGI,EQ,254807,123187,48.35
20,248,AGIIL,EQ,9786,6766,69.14
20,249,AGNI,SM,15000,10000,66.67
20,250,AGRITECH,EQ,5576,3368,60.40
20,251,AGROPHOS,EQ,25784,12909,50.07
20,252,AGSTRA,EQ,392586,191323,48.73
20,253,AGUL,SM,4000,4000,100.00
20,254,AHL,EQ,76786,28381,36.96
20,255,AHLADA,EQ,15849,8898,56.14
20,256,AHLEAST,EQ,17540,9310,53.08
20,257,AHLUCONT,EQ,22911,10909,47.61
20,258,AIAENG,EQ,140414,115591,82.32
20,259,AIIL,EQ,47022,24679,52.48
20,260,AILIMITED,ST,6000,6000,100.00
20,261,AIMTRON,ST,101200,96800,95.65
20,262,AIROLAM,EQ,17180,3987,23.21
20,263,AIRTELPP,E1,141914,82573,58.19
20,264,AISL,ST,1200,1200,100.00
20,265,AJANTPHARM,EQ,111466,71840,64.45
20,266,AJMERA,EQ,98244,44568,45.36
20,267,AKANKSHA,SM,51000,33000,64.71
20,268,AKASH,EQ,23130,9773,42.25
20,269,AKG,EQ,20118,13705,68.12
20,270,AKI,EQ,44007,29219,66.40
20,271,AKIKO,SM,19200,11200,58.33
20,272,AKSHARCHEM,EQ,9613,4262,44.34
20,273,AKSHOPTFBR,EQ,1029330,637872,61.97
20,274,AKUMS,EQ,980628,532573,54.31
20,275,AKZOINDIA,EQ,16328,8602,52.68
20,276,ALANKIT,EQ,749216,248055,33.11
20,277,ALEMBICLTD,EQ,958620,270451,28.21
20,278,ALICON,EQ,8276,4448,53.75
20,279,ALKALI,EQ,20090,15082,75.07
20,280,ALKEM,EQ,306620,178174,58.11
20,281,ALKYLAMINE,EQ,38456,16801,43.69
20,282,ALLCARGO,EQ,1288965,541280,41.99
20,283,ALLDIGI,EQ,30932,18517,59.86
20,284,ALLETEC,SM,114400,58800,51.40
20,285,ALOKINDS,EQ,3866472,1293611,33.46
20,286,ALPEXSOLAR,SM,125000,88400,70.72
20,287,ALPHA,EQ,953138,769556,80.74
20,288,ALPHAETF,EQ,926226,839788,90.67
20,289,ALPHAGEO,EQ,15165,9462,62.39
20,290,ALPL30IETF,EQ,1542294,1239897,80.39
20,291,ALUWIND,ST,12000,12000,100.00
20,292,AMBANIORGO,SM,6000,6000,100.00
20,293,AMBER,EQ,358393,96626,26.96
20,294,AMBEY,SM,24000,20000,83.33
20,295,AMBICAAGAR,EQ,5274,5274,100.00
20,296,AMBIKCO,EQ,8455,5522,65.31
20,297,AMBUJACEM,EQ,761982,307531,40.36
20,298,AMDIND,EQ,17301,11963,69.15
20,299,AMEYA,ST,15000,14000,93.33
20,300,AMIABLE,SM,1600,1600,100.00
20,301,AMIORG,EQ,224645,89885,40.01
20,302,AMJLAND,EQ,20150,17095,84.84
20,303,AMNPLST,EQ,2564,1761,68.68
20,304,AMRUTANJAN,EQ,29428,19708,66.97
20,305,ANANDRATHI,EQ,25420,12890,50.71
20,306,ANANTRAJ,EQ,391162,204068,52.17
20,307,ANDHRAPAP,EQ,182199,130227,71.48
20,308,ANDHRSUGAR,EQ,229310,134668,58.73
20,309,ANGELONE,EQ,831226,184763,22.23
20,310,ANLON,SM,6400,6000,93.75
20,311,ANMOL,EQ,73621,45726,62.11
20,312,ANNAPURNA,SM,196250,158250,80.64
20,313,ANUP,EQ,144693,33235,22.97
20,314,ANURAS,EQ,93667,20962,22.38
20,315,APARINDS,EQ,214438,101384,47.28
20,316,APCL,EQ,10343,7916,76.53
20,317,APCOTEXIND,EQ,11849,8623,72.77
20,318,APEX,EQ,60393,30200,50.01
20,319,APLAPOLLO,EQ,235466,108601,46.12
20,320,APLLTD,EQ,485730,405349,83.45
20,321,APOLLO,EQ,671360,296692,44.19
20,322,APOLLOHOSP,EQ,194183,77898,40.12
20,323,APOLLOPIPE,EQ,24312,15513,63.81
20,324,APOLLOTYRE,EQ,1268350,425574,33.55
20,325,APOLSINHOT,EQ,824,506,61.41
20,326,APRAMEYA,SM,140000,104000,74.29
20,327,APS,ST,31500,28500,90.48
20,328,APTECHT,EQ,246936,122849,49.75
20,329,APTUS,EQ,326192,154307,47.31
20,330,ARCHIDPLY,EQ,93306,67328,72.16
20,331,ARE&M,EQ,387984,186921,48.18
20,332,ARHAM,SM,27000,21000,77.78
20,333,ARIES,EQ,438411,124678,28.44
20,334,ARIHANTACA,ST,4000,4000,100.00
20,335,ARIHANTCAP,EQ,361514,168975,46.74
20,336,ARIHANTSUP,EQ,34106,15812,46.36
20,337,ARISTO,ST,6400,6400,100.00
20,338,ARKADE,EQ,628907,247232,39.31
20,339,ARMANFIN,EQ,35096,15974,45.52
20,340,AROGRANITE,EQ,10066,7375,73.27
20,341,ARROWGREEN,EQ,84490,41113,48.66
20,342,ARTEMISMED,EQ,85140,41275,48.48
20,343,ARVEE,EQ,1445,822,56.89
20,344,ARVIND,EQ,252433,120259,47.64
20,345,ARVINDFASN,EQ,127647,56358,44.15
20,346,ARVSMART,EQ,41026,22999,56.06
20,347,ASAHIINDIA,EQ,91510,28679,31.34
20,348,ASAL,EQ,9414,3224,34.25
20,349,ASALCBR,EQ,17385,10154,58.41
20,350,ASHALOG,ST,65000,65000,100.00
20,351,ASHAPURMIN,EQ,158827,85487,53.82
20,352,ASHIANA,EQ,81854,40637,49.65
20,353,ASHOKA,EQ,871962,372308,42.70
20,354,ASHOKLEY,EQ,8442058,3290176,38.97
20,355,ASIANENE,EQ,90861,49812,54.82
20,356,ASIANHOTNR,EQ,2465,1482,60.12
20,357,ASIANPAINT,EQ,3445983,1624722,47.15
20,358,ASIANTILES,EQ,719535,260614,36.22
20,359,ASKAUTOLTD,EQ,227464,139943,61.52
