Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02122024,1180650674,0002612
Trade Date <02-DEC-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,50,50,100.00
20,2,1003IIFL29,NC,500,500,100.00
20,3,1003ISFL28,N4,367,367,100.00
20,4,1003SCL30A,NV,3,3,100.00
20,5,1015ECL29,NR,197,197,100.00
20,6,1015UCL26,N1,22,20,90.91
20,7,1018GS2026,GS,8986,8982,99.96
20,8,1025NFL25,N5,892,892,100.00
20,9,1025SCL34,Z8,100,100,100.00
20,10,1025SCL34A,ZT,100,100,100.00
20,11,1025SCL34B,N1,200,200,100.00
20,12,1030ICC26,NJ,24,24,100.00
20,13,1035UCL26,NA,17,16,94.12
20,14,1040UCL25,N4,50,50,100.00
20,15,1040UCL27B,N1,30,30,100.00
20,16,1050ISFL28,N5,1719,1645,95.70
20,17,1050NFL26,N7,20,20,100.00
20,18,1050UCL25,N7,17,17,100.00
20,19,105IIFL29,N7,81,81,100.00
20,20,1060ECL29,NS,94,94,100.00
20,21,1065NFL27,NC,317,317,100.00
20,22,1075UCL25,N9,3,3,100.00
20,23,10CAGL27,N5,107,54,50.47
20,24,10IIFL28,N4,554,531,95.85
20,25,10IIFL28A,NE,170,170,100.00
20,26,10IIFL29,N6,169,169,100.00
20,27,10ISFL26,N3,95,95,100.00
20,28,10NFL25,N9,1,1,100.00
20,29,10NIDO26,N6,223,223,100.00
20,30,10SCL30A,BV,3,3,100.00
20,31,11DLSL25,NV,7,7,100.00
20,32,182D100425,TB,100,100,100.00
20,33,182D261224,TB,100,100,100.00
20,34,182D270225,TB,200,200,100.00
20,35,182D300125,TB,1100,1100,100.00
20,36,360ONE,EQ,410493,222480,54.20
20,37,364D030425,TB,100,100,100.00
20,38,364D030725,TB,500,500,100.00
20,39,364D031025,TB,1000,1000,100.00
20,40,364D051224,TB,14200,14200,100.00
20,41,364D120625,TB,100,100,100.00
20,42,364D191224,TB,500,500,100.00
20,43,3IINFOLTD,EQ,260716,147802,56.69
20,44,3MINDIA,EQ,4815,1666,34.60
20,45,3PLAND,EQ,439651,144218,32.80
20,46,522GS2025,GS,2000,2000,100.00
20,47,563GS2026,GS,1,1,100.00
20,48,574GS2026,GS,5,5,100.00
20,49,5PAISA,EQ,27953,14994,53.64
20,50,63MOONS,EQ,835622,326860,39.12
20,51,654GS2032,GS,10198,10099,99.03
20,52,667GS2050,GS,10303,6303,61.18
20,53,676GS2061,GS,1042,1042,100.00
20,54,689GS2025,GS,85,85,100.00
20,55,68GS2060,GS,50,50,100.00
20,56,695GS2061,GS,465,465,100.00
20,57,697GR2034,GS,99,99,100.00
20,58,699GS2026,GS,1,1,100.00
20,59,702GS2027,GS,701,701,100.00
20,60,702GS2031,GS,111,111,100.00
20,61,704GS2029,GS,17377,16752,96.40
20,62,706GS2028,GS,10710,8710,81.33
20,63,709GS2054,GS,402,402,100.00
20,64,709GS2074,GS,200,200,100.00
20,65,710GS2029,GS,13241,10302,77.80
20,66,716GS2050,GS,21405,21404,100.00
20,67,717GS2030,GS,16001,16001,100.00
20,68,718GS2037,GS,2100,2100,100.00
20,69,71GS2034,GS,100,100,100.00
20,70,723GS2039,GS,6700,6700,100.00
20,71,725GS2063,GS,17741,17741,100.00
20,72,726GS2032,GS,280670,280670,100.00
20,73,726GS2033,GS,1500,1500,100.00
20,74,729NHAI26,NC,51,50,98.04
20,75,732GS2030,GS,12030,11987,99.64
20,76,732IRFC25,NI,4180,4180,100.00
20,77,733GS2026,GS,26100,26100,100.00
20,78,734GS2064,GS,46429,45329,97.63
20,79,734IRFC28,N4,300,300,100.00
20,80,736GS2052,GS,104,102,98.08
20,81,737GS2028,GS,4646,4646,100.00
20,82,737NTPC35C,NA,55,55,100.00
20,83,738GS2027,GS,223941,193061,86.21
20,84,738REC27TF,N2,1262,1262,100.00
