Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28112024,1482626251,0002580
Trade Date <28-NOV-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,900,900,100.00
20,2,1003ISFL28,N4,1991,1890,94.93
20,3,1015ECL29,NR,120,110,91.67
20,4,1018GS2026,GS,501,500,99.80
20,5,1025NFL25,N5,450,450,100.00
20,6,1025SCL34,Z8,36,36,100.00
20,7,1025SCL34A,ZT,1,1,100.00
20,8,1035UCL26,NA,376,354,94.15
20,9,1049DLS25A,Y5,15,15,100.00
20,10,1049DLSL25,NX,528,393,74.43
20,11,1050ISFL28,N5,2782,2260,81.24
20,12,1050NFL26,N7,514,514,100.00
20,13,1050UCL25,N7,10,10,100.00
20,14,1065NFL27,NC,10,10,100.00
20,15,1075SCL33A,N2,2,2,100.00
20,16,1075SCL34C,N1,10,10,100.00
20,17,10CAGL27,N5,50,50,100.00
20,18,10IFSL26,N7,10,10,100.00
20,19,10IIFL28,N4,12515,11200,89.49
20,20,10IIFL28A,NE,5,5,100.00
20,21,10IIFL29,N6,4,4,100.00
20,22,10NFL25,N9,5,5,100.00
20,23,10NIDO26,N6,10,10,100.00
20,24,10SCL30A,BV,20,20,100.00
20,25,182D080525,TB,100,100,100.00
20,26,182D130325,TB,4000,4000,100.00
20,27,182D230125,TB,300,300,100.00
20,28,182D270225,TB,2500,2500,100.00
20,29,182D300125,TB,1100,1100,100.00
20,30,360ONE,EQ,983588,543333,55.24
20,31,364D020125,TB,2500,2500,100.00
20,32,364D150525,TB,100,100,100.00
20,33,364D210825,TB,25000,25000,100.00
20,34,364D230525,TB,2000,2000,100.00
20,35,364D261224,TB,700,700,100.00
20,36,3IINFOLTD,EQ,1320629,698025,52.86
20,37,3MINDIA,EQ,5640,1144,20.28
20,38,3PLAND,EQ,428922,129161,30.11
20,39,5PAISA,EQ,30939,15616,50.47
20,40,619GS2034,GS,20000,20000,100.00
20,41,63MOONS,EQ,1053910,442631,42.00
20,42,667GS2035,GS,253,153,60.47
20,43,667GS2050,GS,436,436,100.00
20,44,676GS2061,GS,1,1,100.00
20,45,679GS2034,GS,399,399,100.00
20,46,68GS2060,GS,490,487,99.39
20,47,695GS2061,GS,2022,2022,100.00
20,48,697GR2034,GS,100,100,100.00
