Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092025,1508215314,0002937
Trade Date <30-SEP-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,2114,1909,90.30
20,2,0MOFSL27,N3,1,1,100.00
20,3,0SCL26,YR,100,100,100.00
20,4,1003SFIL28,NX,12,12,100.00
20,5,1015ECL29,NR,378,339,89.68
20,6,1015UCL26,N1,29,29,100.00
20,7,1015UCL27,NF,185,185,100.00
20,8,1018GS2026,GS,6,6,100.00
20,9,1025NFL25,N5,5,5,100.00
20,10,1025SCL34A,ZT,10,10,100.00
20,11,1039UCL26,NE,103,103,100.00
20,12,1050ISFL28,N5,60,60,100.00
20,13,1050UCL28,NH,54,50,92.59
20,14,105IIFL29,N7,303,303,100.00
20,15,1060ECL29,NS,185,170,91.89
20,16,1065NFL27,NC,578,578,100.00
20,17,1075NFL25,N6,16,15,93.75
20,18,1075SCL33,YK,400,200,50.00
20,19,1075SCL34,ZR,13,13,100.00
20,20,1090NFL26,NB,9,9,100.00
20,21,10CAGL27,N5,365,365,100.00
20,22,10IIFL28A,NE,590,581,98.47
20,23,10IIFL29,N6,12,12,100.00
20,24,10NIDO26,N6,111,110,99.10
20,25,10UCL26,ND,20,10,50.00
20,26,111ESFB31,N0,1,1,100.00
20,27,11UCL26,NC,2,1,50.00
20,28,12AFIL27,N0,1,1,100.00
20,29,20MICRONS,EQ,171507,103840,60.55
20,30,21STCENMGM,EQ,7705,6052,78.55
20,31,360ONE,EQ,507273,282642,55.72
20,32,364D050326,TB,100,100,100.00
20,33,364D110626,TB,100,100,100.00
20,34,3IINFOLTD,EQ,423526,253996,59.97
20,35,3MINDIA,EQ,6987,3885,55.60
20,36,3PLAND,EQ,6552,4250,64.87
20,37,515GS2025,GS,3,3,100.00
20,38,5PAISA,EQ,16167,10863,67.19
20,39,610GS2031,GS,1,1,100.00
20,40,633GS2035,GS,199,199,100.00
20,41,63MOONS,EQ,79171,40137,50.70
20,42,664GS2027,GS,300,300,100.00
20,43,667GS2050,GS,7696,6582,85.52
20,44,668GS2040,GS,610,610,100.00
20,45,676GS2061,GS,12425,12425,100.00
20,46,679GS2031,GS,321,320,99.69
20,47,679GS2034,GS,112,110,98.21
20,48,679GS2034A,GS,300,300,100.00
20,49,68GS2060,GS,11413,11413,100.00
20,50,690GS2065,GS,493,493,100.00
20,51,692GS2039,GS,100,100,100.00
20,52,695GS2061,GS,10,10,100.00
20,53,699GS2026,GS,3600,3600,100.00
20,54,699GS2051,GS,915,915,100.00
20,55,702GS2027,GS,10994,10994,100.00
20,56,702GS2031,GS,100,100,100.00
20,57,704GS2029,GS,200,200,100.00
20,58,706GS2028,GS,850,850,100.00
20,59,709GS2054,GS,20200,20098,99.50
20,60,709GS2074,GS,3670,3670,100.00
20,61,710GS2029,GS,2950,2950,100.00
20,62,716GS2050,GS,2,2,100.00
20,63,717GS2030,GS,1500,1500,100.00
20,64,718GS2037,GS,13756,13756,100.00
20,65,723GS2039,GS,100,100,100.00
20,66,724GS2055,GS,5277,5077,96.21
20,67,725GS2063,GS,27350,27350,100.00
20,68,726GS2032,GS,2156,2156,100.00
20,69,729IRFC26,NN,10,10,100.00
20,70,732GS2030,GS,1150,1150,100.00
20,71,733GS2026,GS,102,102,100.00
20,72,734GS2064,GS,7046,4000,56.77
20,73,736GS2052,GS,23,23,100.00
20,74,737GS2028,GS,50200,50200,100.00
20,75,738GS2027,GS,23864,22864,95.81
20,76,738HR34,SG,100,100,100.00
20,77,73GS2053,GS,1101,1101,100.00
20,78,741GS2036,GS,6837,6837,100.00
20,79,746GS2073,GS,340,340,100.00
20,80,74GS2062,GS,601,600,99.83
20,81,753IRFC30,NJ,2153,2153,100.00
20,82,754GS2036,GS,468946,452623,96.52
20,83,757GS2033,GS,9,9,100.00
20,84,75GS2034,GS,100,100,100.00
20,85,761TS44,SG,200,200,100.00
20,86,762NTPC35F,ND,9,9,100.00
20,87,764HUDCO31,N8,18,9,50.00
20,88,764IRFC31,NO,3909,3412,87.29
20,89,764NABAR31,N2,3182,2865,90.04
20,90,765RJ33,SG,100,100,100.00
20,91,769HUDCO31,N9,350,350,100.00
20,92,769NHAI31,NE,1561,1541,98.72
20,93,76NHAI31,NA,3185,3153,99.00
20,94,76TN31,SG,100,100,100.00
20,95,77TS38,SG,100,100,100.00
20,96,79IGT28,NF,135,135,100.00
20,97,79NHIT35,N1,790,785,99.37
20,98,810IRFC27,N2,1319,794,60.20
20,99,812REC27,NI,988,988,100.00
20,100,81TCHF28,N8,10,10,100.00
20,101,826GS2027,GS,990,990,100.00
20,102,82HUDCO27,N2,16750,8375,50.00
20,103,82IGT31,NJ,500,500,100.00
20,104,830NHAI27,N2,1171,1168,99.74
20,105,830PFCL27,N5,2526,2374,93.98
20,106,832GS2032,GS,1,1,100.00
20,107,842IIFL26,NL,15,15,100.00
20,108,843IHFL29,NC,1,1,100.00
20,109,84TCHF28,NA,10,10,100.00
20,110,85LTF26,NM,1,1,100.00
20,111,85PFL26A,N7,100,100,100.00
20,112,865IFL28,NZ,207,207,100.00
20,113,865IIFL28,NS,2601,2352,90.43
20,114,865IRFC29,NA,1444,1444,100.00
20,115,865LTF26,NN,103,103,100.00
20,116,865SCL26,N8,107,106,99.07
20,117,865TCAPS27,N8,20,10,50.00
20,118,866IIFC34B,N3,2000,2000,100.00
20,119,871REC28,N9,524,374,71.37
20,120,872MMFSL26,N1,9,7,77.78
20,121,875IIFL26,NM,21,21,100.00
20,122,875IIFL26A,NQ,970,970,100.00
20,123,875NHAI29,N6,4235,3739,88.29
20,124,875PCHFL26,N8,800,400,50.00
20,125,876HUDCO28,ND,521,516,99.04
20,126,885SCL26,N9,230,230,100.00
20,127,885TCAPS29,NC,2,2,100.00
20,128,888ERFL28,N5,400,400,100.00
20,129,888IRFC29,NE,1109,830,74.84
20,130,891NTPC33,N6,282,282,100.00
20,131,892PFCL33,N8,345,345,100.00
20,132,898LTF29,N7,382,282,73.82
20,133,8ABCL26,N2,48,24,50.00
20,134,901HUDCO34,NE,803,780,97.14
20,135,901NHB34,N6,48,27,56.25
20,136,905SC24B,Z9,4,2,50.00
20,137,910TCAP28,NA,416,311,74.76
20,138,915AEL28,NC,24,24,100.00
20,139,915SCL26,NE,670,670,100.00
20,140,915SCL27,Z7,7,7,100.00
20,141,91D041225,TB,5500,5500,100.00
20,142,91D061125,TB,400,400,100.00
20,143,91D091025,TB,100,100,100.00
20,144,91D111225,TB,500,400,80.00
20,145,91D131125,TB,100,100,100.00
20,146,91D281125,TB,100,100,100.00
20,147,91D301025,TB,100,100,100.00
20,148,91SFL27,ZI,37,37,100.00
20,149,925SCL30,NF,30,30,100.00
20,150,92GS2030,GS,1500,1500,100.00
20,151,92SFIL28,ND,5,5,100.00
20,152,930AEL30,NF,405,405,100.00
20,153,930APMD28,N0,1,1,100.00
20,154,930APMD33,N0,3,3,100.00
20,155,930APMD35,N0,2,2,100.00
20,156,930SFL28,YP,8,8,100.00
20,157,931SFL26,Z5,12,12,100.00
20,158,935LTF29,N5,102,68,66.67
20,159,935MOFSL29,N5,103,103,100.00
20,160,935TSI27,N0,3,3,100.00
20,161,935TSI31,N0,11,11,100.00
20,162,935TSI34,N0,5,5,100.00
20,163,943ECL28,NJ,76,76,100.00
20,164,948SCL26,N9,25,25,100.00
20,165,955SCL25,ZU,3,3,100.00
20,166,957NIDO26,N5,178,78,43.82
20,167,960ISFL25,N1,6,6,100.00
20,168,965AEL27,N4,12,12,100.00
20,169,965SCL25C,N0,50,50,100.00
20,170,965SCL26A,ZB,10,10,100.00
20,171,965SCL28,AK,19,19,100.00
20,172,965SCL30,ND,50,50,100.00
20,173,96IIFL28,N5,304,262,86.18
20,174,96IIFL28A,NF,1885,1815,96.29
20,175,96SFIL24A,NB,100,100,100.00
20,176,97SFL28,YS,176,176,100.00
20,177,980SCL33,NX,1,1,100.00
20,178,985ECL28,NK,15,15,100.00
20,179,98SFIL26,NU,15,15,100.00
20,180,995SCL2035,NM,10,10,100.00
20,181,99AEL29,N7,94,94,100.00
20,182,9AEL30,NE,8,8,100.00
20,183,9MMFSML,N2,185,185,100.00
20,184,9PCHFL31A,NA,27,27,100.00
20,185,9SCL26BA,NA,418,418,100.00
20,186,9SCL27,N2,104,82,78.85
20,187,AAATECH,EQ,401360,343584,85.60
20,188,AADHARHFC,EQ,278810,165496,59.36
20,189,AAKAAR,SM,3200,3200,100.00
20,190,AAKASH,EQ,73295,60862,83.04
20,191,AARADHYA,ST,26400,26400,100.00
20,192,AARON,EQ,8706,4161,47.79
20,193,AARTECH,EQ,38264,20838,54.46
20,194,AARTIDRUGS,EQ,104637,29624,28.31
20,195,AARTIIND,EQ,199058,91164,45.80
20,196,AARTIPHARM,EQ,345943,176521,51.03
20,197,AARTISURF,EQ,2847,1790,62.87
20,198,AARVI,EQ,15903,8855,55.68
20,199,AAVAS,EQ,107760,50941,47.27
20,200,ABB,EQ,215173,131253,61.00
20,201,ABBOTINDIA,EQ,9712,5675,58.43
20,202,ABCAPITAL,EQ,4665517,2069156,44.35
20,203,ABCOTS,EQ,37276,12512,33.57
20,204,ABDL,EQ,150222,76587,50.98
20,205,ABFRL,EQ,2243883,882944,39.35
20,206,ABGSEC,EQ,1262,1259,99.76
20,207,ABHAPOWER,ST,3200,3200,100.00
20,208,ABINFRA,EQ,196326,68834,35.06
20,209,ABLBL,EQ,632392,298632,47.22
20,210,ABREL,EQ,152008,85690,56.37
20,211,ABSLAMC,EQ,314516,177820,56.54
20,212,ABSLBANETF,EQ,48923,46261,94.56
20,213,ABSLLIQUID,EQ,122,76,62.30
20,214,ABSLNN50ET,EQ,7682,5548,72.22
20,215,ABSLPSE,EQ,116589,79154,67.89
20,216,ABSMARINE,SM,30000,23000,76.67
20,217,ACC,EQ,188730,131900,69.89
20,218,ACCELYA,EQ,7164,4360,60.86
20,219,ACCENTMIC,ST,4000,3500,87.50
20,220,ACCPL,SM,33600,31200,92.86
20,221,ACCURACY,EQ,103674,64935,62.63
20,222,ACE,EQ,105766,45031,42.58
20,223,ACEINTEG,EQ,12892,11585,89.86
20,224,ACI,EQ,279276,138259,49.51
20,225,ACLGATI,EQ,615171,198176,32.21
20,226,ACMESOLAR,EQ,1415643,530524,37.48
20,227,ACTIVEINFR,SM,754800,754800,100.00
20,228,ACUTAAS,EQ,224517,131822,58.71
20,229,ADANIENSOL,EQ,795182,300184,37.75
20,230,ADANIENT,EQ,712592,169830,23.83
20,231,ADANIGREEN,EQ,3520751,807261,22.93
20,232,ADANIPORTS,EQ,1999250,1126183,56.33
20,233,ADANIPOWER,EQ,22474749,6238055,27.76
20,234,ADFFOODS,EQ,55760,19858,35.61
20,235,ADL,EQ,645,218,33.80
20,236,ADOR,EQ,4113,2299,55.90
20,237,ADROITINFO,EQ,16076,11220,69.79
20,238,ADSL,EQ,387811,123294,31.79
20,239,ADVANIHOTR,EQ,34600,20521,59.31
20,240,ADVENZYMES,EQ,117654,63685,54.13
20,241,AEGISLOG,EQ,1117257,333446,29.85
20,242,AEGISVOPAK,EQ,846492,508781,60.10
20,243,AEROENTER,EQ,449620,152289,33.87
20,244,AEROFLEX,EQ,288676,126639,43.87
20,245,AERON,SM,12000,11000,91.67
20,246,AERONEU,EQ,51119,24092,47.13
20,247,AESTHETIK,SM,6000,6000,100.00
20,248,AETHER,EQ,84301,43348,51.42
20,249,AFCONS,EQ,407751,200696,49.22
20,250,AFFLE,EQ,121895,49275,40.42
20,251,AFFORDABLE,EQ,247077,192248,77.81
20,252,AFIL,EQ,3229114,1076030,33.32
20,253,AFSL,EQ,12059,6853,56.83
20,254,AGARIND,EQ,19358,10728,55.42
20,255,AGARWALEYE,EQ,380976,167443,43.95
20,256,AGARWALTUF,SM,25200,16800,66.67
20,257,AGI,EQ,92836,43348,46.69
20,258,AGIIL,EQ,413797,196562,47.50
20,259,AGRITECH,EQ,5810,3811,65.59
20,260,AHLADA,EQ,19502,12214,62.63
20,261,AHLEAST,EQ,200,86,43.00
20,262,AHLUCONT,EQ,94777,67343,71.05
20,263,AIAENG,EQ,573799,517154,90.13
20,264,AIIL,EQ,86857,44652,51.41
20,265,AILIMITED,SM,1500,1500,100.00
20,266,AIMTRON,SM,24400,15200,62.30
20,267,AIRAN,EQ,31794,24724,77.76
20,268,AIROLAM,EQ,4005,2697,67.34
20,269,AIRTELPP,E1,91903,64251,69.91
20,270,AISL,SM,5400,4800,88.89
20,271,AJANTPHARM,EQ,352085,219774,62.42
20,272,AJAXENGG,EQ,63848,29811,46.69
20,273,AJMERA,EQ,26524,15886,59.89
20,274,AJOONI,EQ,221845,140780,63.46
20,275,AKASH,EQ,15505,8400,54.18
20,276,AKG,EQ,34114,29215,85.64
20,277,AKIKO,ST,14400,14400,100.00
20,278,AKSHAR,EQ,1514511,1180652,77.96
20,279,AKSHARCHEM,EQ,3439,2707,78.71
20,280,AKSHOPTFBR,EQ,244299,182489,74.70
20,281,AKUMS,EQ,79079,35232,44.55
20,282,AKZOINDIA,EQ,35655,20486,57.46
20,283,ALANKIT,EQ,394552,327280,82.95
20,284,ALBERTDAVD,EQ,1940,1214,62.58
20,285,ALEMBICLTD,EQ,181199,91501,50.50
20,286,ALICON,EQ,7640,3600,47.12
20,287,ALIVUS,EQ,97779,44756,45.77
20,288,ALKALI,EQ,40562,29788,73.44
20,289,ALKEM,EQ,72780,40222,55.27
20,290,ALKYLAMINE,EQ,34211,16289,47.61
20,291,ALLCARGO,EQ,2398378,830008,34.61
20,292,ALLDIGI,EQ,2961,1602,54.10
20,293,ALLETEC,SM,54400,41600,76.47
20,294,ALLTIME,EQ,159065,71516,44.96
20,295,ALMONDZ,EQ,83369,57838,69.38
20,296,ALOKINDS,EQ,2594405,1199038,46.22
20,297,ALPA,EQ,25426,16723,65.77
20,298,ALPEXSOLAR,SM,43000,25600,59.53
20,299,ALPHA,EQ,2034058,1532439,75.34
20,300,ALPHAETF,EQ,292511,231038,78.98
20,301,ALPHAGEO,EQ,3565,1716,48.13
20,302,ALPL30IETF,EQ,193014,107832,55.87
20,303,ALUWIND,SM,9000,6000,66.67
20,304,AMANTA,EQ,171178,73064,42.68
20,305,AMBER,EQ,321056,148846,46.36
20,306,AMBEY,SM,2000,2000,100.00
20,307,AMBICAAGAR,EQ,11212,8651,77.16
20,308,AMBIKCO,EQ,3257,1823,55.97
20,309,AMBUJACEM,EQ,1873402,1126999,60.16
20,310,AMCL,SM,41600,28800,69.23
20,311,AMDIND,EQ,18633,6726,36.10
20,312,AMJLAND,EQ,23861,15894,66.61
20,313,AMNPLST,EQ,5263,2917,55.42
20,314,AMRUTANJAN,EQ,24717,13794,55.81
20,315,ANANDRATHI,EQ,258690,80121,30.97
20,316,ANANTRAJ,EQ,6086696,1332887,21.90
20,317,ANDHRAPAP,EQ,897851,112043,12.48
20,318,ANDHRSUGAR,EQ,56137,29312,52.22
20,319,ANGELONE,EQ,662023,252905,38.20
20,320,ANIKINDS,EQ,25476,17888,70.22
20,321,ANLON,ST,3600,3600,100.00
20,322,ANMOL,EQ,36249,32602,89.94
20,323,ANNAPURNA,SM,143000,102500,71.68
20,324,ANONDITA,SM,241000,187000,77.59
20,325,ANTELOPUS,EQ,22403,16603,74.11
20,326,ANTGRAPHIC,EQ,104587,84268,80.57
20,327,ANTHEM,EQ,389301,234065,60.12
20,328,ANUHPHR,EQ,95328,23717,24.88
20,329,ANUP,EQ,22622,10079,44.55
20,330,ANURAS,EQ,345390,183756,53.20
20,331,ANYA,SM,55000,40000,72.73
20,332,ANZEN,IV,1750000,1750000,100.00
20,333,AONEGOLD,EQ,774705,708766,91.49
20,334,AONELIQUID,EQ,22474,18756,83.46
20,335,AONENIFTY,EQ,215516,181027,84.00
20,336,AONETOTAL,EQ,397450,180561,45.43
20,337,APARINDS,EQ,105547,66863,63.35
20,338,APCOTEXIND,EQ,49292,23457,47.59
20,339,APEX,EQ,27525,12493,45.39
20,340,APEXECO,SM,11200,9600,85.71
20,341,APLAPOLLO,EQ,325816,162398,49.84
20,342,APLLTD,EQ,296749,257205,86.67
20,343,APOLLO,EQ,3340506,869133,26.02
20,344,APOLLOHOSP,EQ,369272,272089,73.68
20,345,APOLLOPIPE,EQ,215929,155396,71.97
20,346,APOLLOTYRE,EQ,1138550,776009,68.16
