Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12112021,872069869,0001949
Trade Date <12-NOV-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,209722,99226,47.31
20,2,21STCENMGM,EQ,20333,20332,100.00
20,3,3IINFOLTD,EQ,9845,9845,100.00
20,4,3MINDIA,EQ,4272,1007,23.57
20,5,3PLAND,EQ,10184,6925,68.00
20,6,5PAISA,EQ,12798,6608,51.63
20,7,63MOONS,EQ,189787,132026,69.57
20,8,667GS2050,GS,3002,3002,100.00
20,9,676GS2061,GS,192,192,100.00
20,10,716GS2050,GS,149,149,100.00
20,11,A2ZINFRA,EQ,1009483,760775,75.36
20,12,AAATECH,SM,3000,3000,100.00
20,13,AAKASH,EQ,86112,47821,55.53
20,14,AAREYDRUGS,EQ,56045,33873,60.44
20,15,AARON,EQ,22398,17410,77.73
20,16,AARTIDRUGS,EQ,121292,53037,43.73
20,17,AARTIIND,EQ,1186211,659750,55.62
20,18,AARTISURF,EQ,10713,4508,42.08
20,19,AARVEEDEN,EQ,15023,11438,76.14
20,20,AARVI,EQ,40610,15984,39.36
20,21,AAVAS,EQ,249123,193226,77.56
20,22,ABB,EQ,258341,96725,37.44
20,23,ABBOTINDIA,EQ,11666,4078,34.96
20,24,ABCAPITAL,EQ,1766815,614062,34.76
20,25,ABFRL,EQ,3079654,932302,30.27
20,26,ABMINTLLTD,EQ,3103,1031,33.23
20,27,ABSLAMC,EQ,352841,292460,82.89
20,28,ABSLBANETF,EQ,1460954,1460934,100.00
20,29,ABSLNN50ET,EQ,493,192,38.95
20,30,ACC,EQ,303364,125606,41.40
20,31,ACCELYA,EQ,46495,32974,70.92
20,32,ACCURACY,EQ,232439,96077,41.33
20,33,ACE,EQ,393377,133288,33.88
20,34,ACRYSIL,EQ,146760,72975,49.72
20,35,ADANIENT,EQ,5349189,1296011,24.23
20,36,ADANIGREEN,EQ,1685194,1153340,68.44
20,37,ADANIPORTS,EQ,4585484,908920,19.82
20,38,ADANIPOWER,EQ,5006556,2124901,42.44
20,39,ADFFOODS,EQ,9422,2982,31.65
20,40,ADORWELD,EQ,31596,15076,47.71
20,41,ADROITINFO,EQ,17059,11227,65.81
20,42,ADSL,EQ,889917,486172,54.63
20,43,ADVANIHOTR,EQ,16314,9435,57.83
20,44,ADVENZYMES,EQ,151058,47775,31.63
20,45,AEGISCHEM,EQ,328044,177425,54.09
20,46,AFFLE,EQ,376538,219697,58.35
20,47,AGARIND,EQ,63779,37942,59.49
20,48,AGROPHOS,EQ,592684,261266,44.08
20,49,AHLADA,EQ,14366,9533,66.36
20,50,AHLEAST,EQ,3782,2685,70.99
20,51,AHLUCONT,EQ,317197,91464,28.84
20,52,AIAENG,EQ,11158,7487,67.10
20,53,AILIMITED,SM,6000,6000,100.00
20,54,AIRAN,EQ,40444,28602,70.72
20,55,AIROLAM,EQ,29880,24690,82.63
20,56,AIRTELPP,E1,779479,601820,77.21
20,57,AISL,SM,1200,1200,100.00
20,58,AJANTPHARM,EQ,35545,21484,60.44
20,59,AJOONI,EQ,13004,10155,78.09
20,60,AJRINFRA,EQ,291353,291353,100.00
20,61,AKASH,EQ,37463,24912,66.50
20,62,AKG,EQ,9374,7549,80.53
20,63,AKSHARCHEM,EQ,32635,16342,50.08
20,64,AKSHOPTFBR,EQ,799618,438228,54.80
20,65,AKZOINDIA,EQ,20020,6096,30.45
20,66,ALANKIT,EQ,677118,161746,23.89
20,67,ALBERTDAVD,EQ,27281,17347,63.59
20,68,ALEMBICLTD,EQ,190611,82953,43.52
20,69,ALICON,EQ,67758,34820,51.39
20,70,ALKALI,EQ,41859,21701,51.84
20,71,ALKEM,EQ,561320,205044,36.53
20,72,ALKYLAMINE,EQ,26748,15269,57.08
20,73,ALLCARGO,EQ,605911,284880,47.02
20,74,ALLSEC,EQ,26771,13994,52.27
20,75,ALMONDZ,EQ,15709,10190,64.87
20,76,ALOKINDS,EQ,5032081,2344724,46.60
20,77,ALPA,EQ,25873,20725,80.10
20,78,ALPHAGEO,EQ,15670,8055,51.40
20,79,AMARAJABAT,EQ,611957,253592,41.44
20,80,AMBANIORG,SM,10000,10000,100.00
20,81,AMBER,EQ,24216,8606,35.54
20,82,AMBICAAGAR,EQ,7067,5232,74.03
20,83,AMBIKCO,EQ,25097,14418,57.45
20,84,AMBUJACEM,EQ,1246774,437842,35.12
20,85,AMDIND,EQ,57569,35408,61.51
20,86,AMIORG,EQ,195472,131204,67.12
20,87,AMJLAND,EQ,23585,16745,71.00
20,88,AMRUTANJAN,EQ,48405,20659,42.68
20,89,ANDHRACEMT,EQ,390087,263930,67.66
20,90,ANDHRAPAP,EQ,10062,5345,53.12
20,91,ANDHRSUGAR,EQ,56376,32362,57.40
20,92,ANDREWYU,EQ,131895,70766,53.65
20,93,ANGELONE,EQ,308246,210710,68.36
20,94,ANIKINDS,EQ,16399,9250,56.41
20,95,ANMOL,EQ,38102,21587,56.66
20,96,ANSALHSG,EQ,184234,109385,59.37
20,97,ANUP,EQ,12583,5895,46.85
20,98,ANURAS,EQ,89284,61616,69.01
20,99,APARINDS,EQ,189009,73813,39.05
20,100,APCL,EQ,207263,119065,57.45
20,101,APCOTEXIND,EQ,238348,35165,14.75
20,102,APEX,EQ,87516,35119,40.13
20,103,APLAPOLLO,EQ,574173,298782,52.04
20,104,APLLTD,EQ,326310,123455,37.83
20,105,APOLLO,EQ,145415,76521,52.62
20,106,APOLLOHOSP,EQ,423439,163456,38.60
20,107,APOLLOPIPE,EQ,11777,7017,59.58
20,108,APOLLOTYRE,EQ,1696917,506684,29.86
20,109,APOLSINHOT,EQ,1289,494,38.32
20,110,APTECHT,EQ,348833,134023,38.42
20,111,APTUS,EQ,747044,558946,74.82
20,112,ARCHIDPLY,EQ,61610,61608,100.00
20,113,ARCHIES,EQ,25328,21187,83.65
20,114,ARENTERP,EQ,11645,5430,46.63
20,115,ARIES,EQ,49320,26920,54.58
20,116,ARIHANTCAP,EQ,72057,47546,65.98
20,117,ARIHANTSUP,EQ,197632,96842,49.00
20,118,ARMANFIN,EQ,23415,14100,60.22
20,119,AROGRANITE,EQ,27799,19241,69.21
20,120,ARROWGREEN,EQ,13102,4097,31.27
20,121,ARSHIYA,EQ,221713,149942,67.63
20,122,ARSSINFRA,EQ,5147,4115,79.95
20,123,ARTEMISMED,EQ,57702,42825,74.22
20,124,ARTNIRMAN,EQ,22596,16355,72.38
20,125,ARVEE,EQ,1089,168,15.43
20,126,ARVIND,EQ,1365916,599292,43.87
20,127,ARVINDFASN,EQ,227003,113769,50.12
20,128,ASAHIINDIA,EQ,2364450,507993,21.48
20,129,ASAHISONG,EQ,25953,19494,75.11
20,130,ASAL,EQ,11313,11313,100.00
20,131,ASALCBR,EQ,113480,61240,53.97
20,132,ASCOM,SM,4000,4000,100.00
20,133,ASHAPURMIN,EQ,51144,36134,70.65
20,134,ASHIANA,EQ,37176,21393,57.55
20,135,ASHIMASYN,EQ,23974,14657,61.14
20,136,ASHOKA,EQ,600690,256703,42.73
20,137,ASHOKLEY,EQ,8584972,2583878,30.10
20,138,ASIANHOTNR,EQ,12288,3841,31.26
20,139,ASIANPAINT,EQ,682344,305485,44.77
20,140,ASIANTILES,EQ,296161,152672,51.55
20,141,ASLIND,SM,204000,204000,100.00
20,142,ASPINWALL,EQ,18781,16034,85.37
20,143,ASTEC,EQ,9822,6183,62.95
20,144,ASTERDM,EQ,1242672,436327,35.11
20,145,ASTRAL,EQ,1224778,294326,24.03
20,146,ASTRAMICRO,EQ,1709957,820759,48.00
20,147,ASTRAZEN,EQ,13347,5909,44.27
20,148,ASTRON,EQ,34059,19932,58.52
20,149,ATALREAL,SM,65600,1600,2.44
20,150,ATFL,EQ,5348,2353,44.00
20,151,ATLANTA,EQ,448868,303789,67.68
20,152,ATUL,EQ,25408,13999,55.10
20,153,ATULAUTO,EQ,101407,50001,49.31
20,154,AUBANK,EQ,445769,189994,42.62
20,155,AURIONPRO,EQ,22662,13525,59.68
20,156,AUROPHARMA,EQ,1243951,455840,36.64
20,157,AURUM,EQ,3107320,1300602,41.86
20,158,AUSOMENT,EQ,2128,1384,65.04
20,159,AUTOAXLES,EQ,47733,28377,59.45
20,160,AUTOIND,EQ,42597,24014,56.37
20,161,AVADHSUGAR,EQ,96100,39973,41.60
20,162,AVANTIFEED,EQ,467839,142383,30.43
20,163,AVG,SM,6000,6000,100.00
20,164,AVTNPL,EQ,190936,70659,37.01
20,165,AWHCL,EQ,83515,46033,55.12
20,166,AXISBANK,EQ,9372897,6424891,68.55
20,167,AXISBNKETF,EQ,2001,1668,83.36
20,168,AXISBPSETF,EQ,5975,5194,86.93
20,169,AXISCADES,EQ,47057,26802,56.96
20,170,AXISCETF,EQ,2273,1979,87.07
20,171,AXISGOLD,EQ,86615,54603,63.04
20,172,AXISHCETF,EQ,1501,1240,82.61
20,173,AXISNIFTY,EQ,2953,1798,60.89
20,174,AXISTECETF,EQ,3467,2967,85.58
20,175,AYMSYNTEX,EQ,32426,18970,58.50
20,176,BAFNAPH,EQ,6152,3890,63.23
20,177,BAJAJ-AUTO,EQ,745428,312848,41.97
20,178,BAJAJCON,EQ,805318,560722,69.63
20,179,BAJAJELEC,EQ,718389,394484,54.91
20,180,BAJAJFINSV,EQ,207802,50000,24.06
20,181,BAJAJHIND,EQ,7396583,4502260,60.87
20,182,BAJAJHLDNG,EQ,27712,7500,27.06
20,183,BAJFINANCE,EQ,497128,161838,32.55
20,184,BALAJITELE,EQ,101189,61038,60.32
20,185,BALAMINES,EQ,236427,144999,61.33
20,186,BALAXI,EQ,1275,750,58.82
20,187,BALKRISHNA,EQ,6135,4579,74.64
20,188,BALKRISIND,EQ,954647,485682,50.88
20,189,BALMLAWRIE,EQ,134321,55637,41.42
20,190,BALPHARMA,EQ,45013,33035,73.39
20,191,BALRAMCHIN,EQ,723611,312406,43.17
20,192,BANARBEADS,EQ,32844,17608,53.61
20,193,BANARISUG,EQ,6425,4626,72.00
20,194,BANCOINDIA,EQ,88104,51093,57.99
20,195,BANDHANBNK,EQ,4369452,1235145,28.27
20,196,BANG,EQ,52125,41603,79.81
20,197,BANKA,EQ,4636,2100,45.30
20,198,BANKBARODA,EQ,25655521,6198372,24.16
20,199,BANKBEES,EQ,315140,123119,39.07
20,200,BANKINDIA,EQ,5821598,2345314,40.29
20,201,BANSWRAS,EQ,22106,13523,61.17
20,202,BARBEQUE,EQ,143923,54595,37.93
20,203,BASF,EQ,25010,13693,54.75
20,204,BASML,EQ,166291,124554,74.90
20,205,BATAINDIA,EQ,549920,115760,21.05
20,206,BAYERCROP,EQ,11497,7560,65.76
20,207,BBL,EQ,29038,12960,44.63
20,208,BBTC,EQ,34508,12000,34.77
20,209,BBTCL,SM,9000,9000,100.00
20,210,BCG,EQ,28493604,8063387,28.30
20,211,BCLIND,EQ,30186,15852,52.51
20,212,BCONCEPTS,SM,24000,0,0.00
20,213,BCP,EQ,73934,54790,74.11
20,214,BDL,EQ,313670,130443,41.59
20,215,BEARDSELL,EQ,10816,6717,62.10
20,216,BECTORFOOD,EQ,312369,136579,43.72
20,217,BEDMUTHA,EQ,86433,41933,48.52
20,218,BEL,EQ,7710674,1975148,25.62
20,219,BEML,EQ,59239,19368,32.69
20,220,BEPL,EQ,371280,173610,46.76
20,221,BERGEPAINT,EQ,984960,471780,47.90
