Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16102025,1778681564,0003015
Trade Date <16-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,25,25,100.00
20,2,1003ISFL28,N4,532,471,88.53
20,3,1003SCL30A,NV,217,217,100.00
20,4,1015ECL29,NR,760,409,53.82
20,5,1015UCL27,NF,41,41,100.00
20,6,1018GS2026,GS,6212,6212,100.00
20,7,1035UCL26,NA,91,91,100.00
20,8,1039UCL26,NE,8,8,100.00
20,9,1040NFL26,NA,30,30,100.00
20,10,1050IIFL29,ND,10,10,100.00
20,11,1050ISFL28,N5,239,239,100.00
20,12,105UCL2026,NB,1,1,100.00
20,13,1060ECL29,NS,465,455,97.85
20,14,1065NFL27,NC,14,14,100.00
20,15,10CAGL27,N5,20,20,100.00
20,16,10IIFL29,N6,248,248,100.00
20,17,10NIDO26,N6,685,685,100.00
20,18,10UCL26,ND,53,53,100.00
20,19,1102NFL26,N8,13,13,100.00
20,20,1119NFL27,ND,5,5,100.00
20,21,11UCL26,NC,612,607,99.18
20,22,12AFIL27,N0,10,10,100.00
20,23,12VCCL27B,N0,2,2,100.00
20,24,12VCCL29B,N0,2,2,100.00
20,25,182D030426,TB,1500,1500,100.00
20,26,182D080126,TB,100,100,100.00
20,27,182D150126,TB,200,200,100.00
20,28,20MICRONS,EQ,41947,28093,66.97
20,29,21STCENMGM,EQ,3883,2847,73.32
20,30,360ONE,EQ,915145,315282,34.45
20,31,364D061125,TB,1300,1300,100.00
20,32,364D090726,TB,100,100,100.00
20,33,364D111225,TB,500,500,100.00
20,34,364D180626,TB,100,100,100.00
20,35,3IINFOLTD,EQ,229388,154819,67.49
20,36,3MINDIA,EQ,1748,916,52.40
20,37,3PLAND,EQ,6307,5838,92.56
20,38,515GS2025,GS,5,5,100.00
20,39,563GS2026,GS,512,256,50.00
20,40,574GS2026,GS,18,9,50.00
20,41,577GS2030,GS,3039,3039,100.00
20,42,5PAISA,EQ,89427,46259,51.73
20,43,601GS2030,GS,100,100,100.00
20,44,610GS2031,GS,1,1,100.00
20,45,633GS2035,GS,1400,1400,100.00
20,46,63MOONS,EQ,130286,77004,59.10
20,47,648GS2035,GS,3000,3000,100.00
20,48,654GS2032,GS,300,300,100.00
20,49,667GS2050,GS,5957,5957,100.00
20,50,668GS2040,GS,605,605,100.00
20,51,675GS2029,GS,1,1,100.00
20,52,676GS2061,GS,1007,1007,100.00
20,53,679GS2031,GS,1,1,100.00
20,54,679GS2034,GS,2154,1200,55.71
20,55,68GS2060,GS,5000,5000,100.00
20,56,690GS2065,GS,177019,144689,81.74
20,57,692GS2039,GS,101,100,99.01
20,58,698GR2054,GS,175,175,100.00
20,59,699GS2026,GS,3891,3891,100.00
20,60,699GS2051,GS,97,97,100.00
20,61,702GS2027,GS,3954,3815,96.48
20,62,702GS2031,GS,3151,3151,100.00
20,63,704GS2029,GS,1400,1400,100.00
20,64,706GS2028,GS,896,896,100.00
20,65,709GS2054,GS,65068,54228,83.34
20,66,709GS2074,GS,48068,29266,60.88
20,67,710GS2029,GS,300,300,100.00
20,68,716GS2050,GS,1000,1000,100.00
20,69,717GS2030,GS,26775,21775,81.33
20,70,718GS2037,GS,1004,1004,100.00
20,71,71GS2034,GS,5500,5500,100.00
20,72,724GS2055,GS,310,300,96.77
20,73,725GA35,SG,100,100,100.00
20,74,725GS2063,GS,649,649,100.00
20,75,726GS2032,GS,5000,5000,100.00
20,76,726GS2033,GS,12216,10200,83.50
20,77,729NHAI26,NC,20,20,100.00
20,78,732GS2030,GS,5000,5000,100.00
20,79,732IRFC25,NI,155,155,100.00
20,80,733GS2026,GS,600,600,100.00
20,81,734GS2064,GS,4217,4217,100.00
20,82,734IRFC28,N4,70,70,100.00
20,83,736GS2052,GS,4674,4674,100.00
20,84,736PFCL28,N2,2,2,100.00
20,85,737GS2028,GS,11260,11100,98.58
20,86,738GS2027,GS,11374,11374,100.00
20,87,739NHAI26,N8,504,504,100.00
20,88,73GS2053,GS,194823,193598,99.37
20,89,746GS2073,GS,785,785,100.00
20,90,74GS2062,GS,4298,4294,99.91
