Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25092025,1441008411,0002943
Trade Date <25-SEP-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,933,933,100.00
20,2,1003ISFL28,N4,50,50,100.00
20,3,1003SCL30A,NV,55,55,100.00
20,4,1015ECL29,NR,755,590,78.15
20,5,1015SCFL29,YY,10000,10000,100.00
20,6,1018GS2026,GS,320,320,100.00
20,7,1025NFL25,N5,220,110,50.00
20,8,1025SCL34A,ZT,105,105,100.00
20,9,1040UCL27B,N1,10,10,100.00
20,10,1050ISFL28,N5,30,30,100.00
20,11,1050NFL26,N7,120,120,100.00
20,12,1050UCL28,NH,100,100,100.00
20,13,1060ECL29,NS,82,82,100.00
20,14,1065NFL27,NC,137,136,99.27
20,15,1075SCL33A,N2,10,10,100.00
20,16,10CAGL27,N5,1068,1000,93.63
20,17,10IIFL28,N4,709,709,100.00
20,18,10IIFL28A,NE,20,20,100.00
20,19,10IIFL29,N6,11,11,100.00
20,20,10NIDO26,N6,1090,1090,100.00
20,21,10UCL26,ND,26,26,100.00
20,22,1102NFL26,N8,39,39,100.00
20,23,1119NFL27,ND,100,100,100.00
20,24,11UCL26,NC,17,10,58.82
20,25,182D050326,TB,200,100,50.00
20,26,182D101025,TB,1400,1400,100.00
20,27,182D120226,TB,100,100,100.00
20,28,182D251225,TB,200,100,50.00
20,29,20MICRONS,EQ,84461,57577,68.17
20,30,21STCENMGM,EQ,4045,2134,52.76
20,31,360ONE,EQ,892451,552856,61.95
20,32,364D180626,TB,300,300,100.00
20,33,364D210526,TB,200,100,50.00
20,34,3IINFOLTD,EQ,548649,398508,72.63
20,35,3MINDIA,EQ,5293,3698,69.87
20,36,3PLAND,EQ,5145,3463,67.31
20,37,585GS2030,GS,300,300,100.00
20,38,591GS2028,GS,1502,1500,99.87
20,39,5PAISA,EQ,12274,7758,63.21
20,40,610GS2031,GS,2431,2431,100.00
20,41,613GS2028,GS,1,1,100.00
20,42,633GS2035,GS,300,300,100.00
