Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05112024,1106732206,0002559
Trade Date <05-NOV-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,32,30,93.75
20,2,1003IIFL29,NC,112,112,100.00
20,3,1003ISFL28,N4,209,209,100.00
20,4,1015ECL29,NR,100,100,100.00
20,5,1015SCL28B,AZ,10,10,100.00
20,6,1018GS2026,GS,154,154,100.00
20,7,1025UCL26A,N1,20,20,100.00
20,8,1040NFL26,NA,125,125,100.00
20,9,1040UCL27B,N1,11,11,100.00
20,10,1049DLS25A,Y5,15,15,100.00
20,11,1050NFL26,N7,62,57,91.94
20,12,1050UCL25,N7,305,300,98.36
20,13,1060ECL29,NS,1,1,100.00
20,14,1065NFL27,NC,275,275,100.00
20,15,1075UCL25,N9,49,49,100.00
20,16,10CAGL27,N5,10,10,100.00
20,17,10IFSL26,N7,10,10,100.00
20,18,10IIFL28,N4,29,29,100.00
20,19,10IIFL28A,NE,240,240,100.00
20,20,10NIDO26,N6,55,55,100.00
20,21,10SCL30A,BV,3,3,100.00
20,22,182D051224,TB,200,200,100.00
20,23,182D060225,TB,200,200,100.00
20,24,182D060325,TB,100,100,100.00
20,25,182D281124,TB,100,100,100.00
20,26,360ONE,EQ,560723,378149,67.44
20,27,364D030425,TB,500,500,100.00
20,28,364D060225,TB,200,200,100.00
20,29,364D090125,TB,200,100,50.00
20,30,364D100725,TB,100,100,100.00
20,31,364D110425,TB,2000,2000,100.00
20,32,364D120625,TB,100,100,100.00
20,33,364D150825,TB,4000,4000,100.00
20,34,364D160125,TB,100,100,100.00
20,35,364D200325,TB,200,200,100.00
20,36,3IINFOLTD,EQ,429846,228897,53.25
20,37,3MINDIA,EQ,6786,1448,21.34
20,38,574GS2026,GS,3,2,66.67
20,39,585GS2030,GS,1,1,100.00
20,40,5PAISA,EQ,42928,19552,45.55
20,41,610GS2031,GS,1,1,100.00
20,42,619GS2034,GS,1,1,100.00
20,43,63MOONS,EQ,571542,240744,42.12
20,44,654GS2032,GS,28624,28523,99.65
20,45,664GS2035,GS,1,1,100.00
20,46,667GS2035,GS,1,1,100.00
20,47,676GS2061,GS,2503,2503,100.00
20,48,679GS2034,GS,200,200,100.00
20,49,68GS2060,GS,200,200,100.00
20,50,695GS2061,GS,1,1,100.00
20,51,697GR2034,GS,200,200,100.00
20,52,699GS2051,GS,912,912,100.00
20,53,702GS2027,GS,6740,6740,100.00
20,54,702GS2031,GS,7705,7605,98.70
20,55,704GS2029,GS,301,301,100.00
20,56,704IRFC26,NL,11,11,100.00
20,57,706GS2028,GS,6102,6102,100.00
20,58,709GS2054,GS,500,500,100.00
20,59,710GS2029,GS,17200,16200,94.19
20,60,711NTPC25A,N8,112,112,100.00
20,61,717GS2028,GS,250599,250000,99.76
20,62,717GS2030,GS,5018,5018,100.00
20,63,718GS2033,GS,10001,10001,100.00
20,64,718GS2037,GS,44000,44000,100.00
20,65,71GS2034,GS,7098,7098,100.00
20,66,723GS2039,GS,3335,3335,100.00
20,67,725GS2063,GS,34101,34101,100.00
20,68,726GS2032,GS,12001,12001,100.00
20,69,729IRFC26,NN,20,20,100.00
20,70,729NHAI26,NC,10,10,100.00
20,71,732GS2030,GS,6218,6118,98.39
20,72,732IRFC25,NI,399,399,100.00
20,73,733GS2026,GS,118170,112973,95.60
20,74,734GS2064,GS,4351,4251,97.70
20,75,736GS2052,GS,1002,1002,100.00
20,76,737GS2028,GS,650,650,100.00
20,77,738GS2027,GS,233428,233428,100.00
20,78,739ML26,SG,100,100,100.00
20,79,739NHAI26,N8,250,250,100.00
20,80,739NHAI31A,ND,1093,1093,100.00
20,81,73GS2053,GS,3901,3901,100.00
20,82,741GS2036,GS,27752,27680,99.74
20,83,746GS2073,GS,18872,18872,100.00
20,84,74GS2062,GS,91,91,100.00
20,85,751HUDCO28,N5,9,9,100.00
20,86,753IRFC30,NJ,79,79,100.00
20,87,754GS2036,GS,208202,204730,98.33
20,88,757GS2033,GS,1,1,100.00
20,89,759GS2026,GS,5609,5500,98.06
20,90,760PFCL35,N3,1032,1032,100.00
20,91,762GS2039,GS,1500,1500,100.00
20,92,764HUDCO31,N8,1,1,100.00
20,93,764IRFC31,NO,407,305,74.94
20,94,764NABAR31,N2,1052,1030,97.91
20,95,769HUDCO31,N9,129,129,100.00
20,96,769IGT28,NH,500,500,100.00
20,97,769NHAI31,NE,9710,9710,100.00
20,98,76NHAI31,NA,1575,1315,83.49
20,99,789MH32,SG,200,200,100.00
20,100,78ABFL33,N4,10,10,100.00
20,101,797IGT31,NL,100,100,100.00
20,102,79NHIT35,N1,1719,1693,98.49
20,103,79NHIT40,N2,1193,1193,100.00
20,104,79NHIT47,N3,2050,1800,87.80
20,105,801TCH25,N4,277,277,100.00
20,106,805ABFL28,N2,5,5,100.00
20,107,810IRFC27,N2,4478,3025,67.55
20,108,812REC27,NI,110,110,100.00
20,109,815LTF24,NK,1,1,100.00
20,110,81ABFL33,N5,100,100,100.00
20,111,81TCHF28,N8,100,100,100.00
20,112,820IIFL27,N9,1500,1500,100.00
20,113,825IIFL25,N7,87,87,100.00
20,114,829LTF24,NL,4,4,100.00
20,115,829PFL29,N6,4,4,100.00
20,116,82HUDCO27,N2,100,100,100.00
20,117,82IGT31,NJ,1601,1601,100.00
20,118,830NHAI27,N2,485,460,94.85
20,119,830PFCL27,N5,265,265,100.00
20,120,837REC33,N7,3,3,100.00
20,121,83GS2040,GS,700,700,100.00
20,122,83TCHF25,N6,200,200,100.00
20,123,842IIFL26,NL,1599,1599,100.00
20,124,843IHFL29,NC,150,100,66.67
20,125,847SCL25,Z2,417,200,47.96
20,126,849NTPC25,N7,11186,11161,99.78
20,127,84TCHF28,NA,1,1,100.00
20,128,85IFL26,NX,150,150,100.00
20,129,863NHB29,N2,20,20,100.00
20,130,865IFL28,NZ,1317,1267,96.20
20,131,865IIFL28,NS,1407,1381,98.15
20,132,865IRFC29,NA,920,920,100.00
20,133,865LTF26,NN,90,90,100.00
20,134,865TCAPS27,N8,5,5,100.00
20,135,866NTPC33,N3,256,256,100.00
20,136,866SCFL25,Y8,10,10,100.00
20,137,866SFL25,ZE,1,1,100.00
20,138,86GS2028,GS,207,207,100.00
20,139,86LTF24,NJ,44,32,72.73
20,140,871REC28,N9,1770,1679,94.86
20,141,875IIFL26,NM,360,360,100.00
20,142,875NHAI29,N6,101,90,89.11
20,143,875PCHFL26,N8,101,101,100.00
20,144,876HUDCO28,ND,2019,1613,79.89
20,145,87LTF27,NH,10,10,100.00
20,146,880IREDA29,N5,500,500,100.00
20,147,888IRFC29,NE,4,4,100.00
20,148,888REC29,NF,66,66,100.00
20,149,890ICCL23A,NZ,7,7,100.00
20,150,892PFCL33,N8,935,870,93.05
20,151,894SCL25,Z3,1,1,100.00
20,152,897GS2030,GS,1021,1021,100.00
20,153,897MOFSL29,N4,1070,1070,100.00
20,154,898LTF29,N7,103,98,95.15
20,155,901HUDCO34,NE,200,200,100.00
20,156,901NHB34,N6,2,2,100.00
20,157,902SCL26I,AW,20,10,50.00
20,158,903SFL28,YI,59,59,100.00
20,159,905PEL26,N1,10,10,100.00
20,160,910TCAP28,NA,105,104,99.05
20,161,915SCL26,NE,1,1,100.00
20,162,91D051224,TB,1100,1100,100.00
20,163,920PEL28,N2,450,450,100.00
20,164,925AEL26,N1,168,168,100.00
20,165,925ERFL28,N6,30,30,100.00
20,166,925SCL26F,N1,27,27,100.00
20,167,925SFCL25,AC,1,1,100.00
20,168,92GS2030,GS,10057,10057,100.00
20,169,930SFL28,YP,200,200,100.00
20,170,935LTF29,N5,1240,1240,100.00
20,171,935MOFSL29,N5,100,100,100.00
20,172,93MOFSL34,N6,533,533,100.00
20,173,943ECL28,NJ,610,460,75.41
20,174,945IFSL25,N4,5,5,100.00
20,175,948ICCL25A,NG,15,15,100.00
20,176,948SCL26A,NN,44,44,100.00
20,177,948SCL27D,N1,29,29,100.00
20,178,94SFL28,YL,100,100,100.00
20,179,965AEL27,N4,1077,1077,100.00
20,180,965SCL25,AG,10,10,100.00
20,181,965SCL25B,Y1,173,173,100.00
20,182,965SCL25E,BF,1,1,100.00
20,183,965SCL26,YO,1,1,100.00
20,184,965SCL26F,N1,135,135,100.00
20,185,96IIFL28,N5,3287,2873,87.40
20,186,96IIFL28A,NF,1683,1563,92.87
20,187,96SFL24A,NB,12,12,100.00
20,188,970CAGL28,ND,2310,2310,100.00
20,189,97SFL28,YS,195,195,100.00
20,190,985ECL28,NK,180,180,100.00
20,191,985IIFL22,NC,400,300,75.00
20,192,990SCL26,N7,11,11,100.00
20,193,99AEL29,N7,1290,1290,100.00
20,194,99IFCI24,NH,170,170,100.00
20,195,9IIFL28A,NT,502,502,100.00
20,196,9MMFSML,N2,1780,1552,87.19
20,197,9PCHFL31A,NA,425,400,94.12
20,198,9SFL25A,ZH,50,50,100.00
20,199,A2ZINFRA,EQ,572878,409938,71.56
20,200,AAATECH,EQ,8125,4989,61.40
20,201,AADHARHFC,EQ,429474,180446,42.02
20,202,AAKASH,EQ,225060,170615,75.81
20,203,AARON,EQ,6385,4729,74.06
20,204,AARTECH,EQ,41961,23318,55.57
20,205,AARTIDRUGS,EQ,99792,41916,42.00
20,206,AARTIIND,EQ,1483256,592629,39.95
20,207,AARTIPHARM,EQ,365757,208230,56.93
20,208,AARTISURF,P1,10,10,100.00
20,209,AARVI,EQ,28076,14795,52.70
20,210,AAVAS,EQ,65780,31255,47.51
20,211,ABAN,EQ,42427,28949,68.23
20,212,ABB,EQ,2177411,423430,19.45
20,213,ABBOTINDIA,EQ,9203,2730,29.66
20,214,ABCAPITAL,EQ,5350020,1675302,31.31
20,215,ABCOTS,ST,1500,1500,100.00
20,216,ABDL,EQ,636427,288114,45.27
20,217,ABFRL,EQ,2235586,682660,30.54
20,218,ABGSEC,EQ,1,1,100.00
20,219,ABINFRA,ST,6000,6000,100.00
20,220,ABREL,EQ,148772,60032,40.35
20,221,ABSLAMC,EQ,947004,265653,28.05
20,222,ABSLBANETF,EQ,46571,34017,73.04
20,223,ABSLLIQUID,EQ,1530,1104,72.16
20,224,ABSLNN50ET,EQ,41015,30176,73.57
20,225,ABSLPSE,EQ,201956,94072,46.58
20,226,ABSMARINE,SM,186000,89000,47.85
20,227,ACC,EQ,123477,44548,36.08
20,228,ACCELYA,EQ,6848,2937,42.89
20,229,ACCENTMIC,SM,5500,4000,72.73
20,230,ACCURACY,EQ,171719,95940,55.87
20,231,ACE,EQ,173880,53158,30.57
20,232,ACEINTEG,EQ,18031,10349,57.40
20,233,ACI,EQ,1098787,236561,21.53
20,234,ACL,EQ,55702,30177,54.18
20,235,ACLGATI,EQ,225935,70794,31.33
20,236,ACSAL,ST,18000,18000,100.00
20,237,ADANIENSOL,EQ,2100961,1045106,49.74
20,238,ADANIENT,EQ,752303,207036,27.52
20,239,ADANIGREEN,EQ,379955,133467,35.13
20,240,ADANIPORTS,EQ,4852958,1780346,36.69
20,241,ADANIPOWER,EQ,2088555,773712,37.05
20,242,ADFFOODS,EQ,356548,115753,32.46
20,243,ADORWELD,EQ,4307,2096,48.66
20,244,ADROITINFO,EQ,51429,35346,68.73
20,245,ADROITPP1,E1,9204,8442,91.72
20,246,ADSL,EQ,370646,133246,35.95
20,247,ADVANIHOTR,EQ,70002,31058,44.37
20,248,ADVENZYMES,EQ,315530,131918,41.81
20,249,AEGISLOG,EQ,266423,119906,45.01
20,250,AEL120924A,N5,7,7,100.00
20,251,AEL120924B,N8,10,10,100.00
20,252,AEROFLEX,EQ,815381,302781,37.13
20,253,AERON,SM,50000,44000,88.00
20,254,AESTHETIK,SM,10000,8000,80.00
20,255,AETHER,EQ,37310,20940,56.12
20,256,AFCONS,EQ,16830053,6430205,38.21
20,257,AFFLE,EQ,97727,42317,43.30
