Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04062025,1696460231,0002735
Trade Date <04-JUN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,45,45,100.00
20,2,1015ECL29,NR,1148,1078,93.90
20,3,1015UCL26,N1,5,5,100.00
20,4,1018GS2026,GS,50,50,100.00
20,5,1025UCL26A,N1,7,7,100.00
20,6,1030SFIL28,NM,108,108,100.00
20,7,1035UCL26,NA,129,129,100.00
20,8,1040NFL26,NA,1,1,100.00
20,9,1050ISFL28,N5,12,12,100.00
20,10,1050NFL26,N7,50,50,100.00
20,11,1050SCL31,ZP,30,30,100.00
20,12,1050UCL25,N7,119,119,100.00
20,13,1060ECL29,NS,10,10,100.00
20,14,1065NFL27,NC,410,410,100.00
20,15,1075NFL25,N6,27,27,100.00
20,16,1075UCL25,N9,20,20,100.00
20,17,10IIFL28,N4,56,56,100.00
20,18,10IIFL29,N6,2356,2356,100.00
20,19,10IIFLSF27,NB,10,10,100.00
20,20,10NFL25,N9,52,52,100.00
20,21,10NIDO26,N6,90,90,100.00
20,22,1119NFL27,ND,110,110,100.00
20,23,12VCCL29B,N0,6,6,100.00
20,24,182D061125,TB,1500,1500,100.00
20,25,182D101025,TB,300,200,66.67
20,26,182D131125,TB,2000,2000,100.00
20,27,182D170725,TB,100,100,100.00
20,28,182D250925,TB,200,200,100.00
20,29,20MICRONS,EQ,122286,68511,56.03
20,30,21STCENMGM,EQ,6925,6096,88.03
20,31,360ONE,EQ,419409,251285,59.91
20,32,364D120326,TB,100,100,100.00
20,33,364D140526,TB,100,100,100.00
20,34,364D240426,TB,600,600,100.00
20,35,364D261225,TB,200,100,50.00
20,36,3IINFOLTD,EQ,265833,137761,51.82
20,37,3MINDIA,EQ,5912,3280,55.48
20,38,3PLAND,EQ,18509,12105,65.40
20,39,563GS2026,GS,3,2,66.67
20,40,574GS2026,GS,1,1,100.00
20,41,577GS2030,GS,13,13,100.00
20,42,5PAISA,EQ,23751,8139,34.27
20,43,633GS2035,GS,353,253,71.67
20,44,63MOONS,EQ,101930,49750,48.81
20,45,664GS2027,GS,100,100,100.00
20,46,667GS2035,GS,1,1,100.00
20,47,675GS2029,GS,200,200,100.00
20,48,676GS2061,GS,4915,4915,100.00
