Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30052025,2927416683,0002733
Trade Date <30-MAY-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,32,32,100.00
20,2,1015ECL29,NR,868,862,99.31
20,3,1018GS2026,GS,7396,4800,64.90
20,4,1025NFL25,N5,107,107,100.00
20,5,1025SCL34B,N1,1,1,100.00
20,6,1025SCL35A,N1,20,20,100.00
20,7,1025SFIL26,NT,2,2,100.00
20,8,1025UCL26A,N1,348,348,100.00
20,9,1035UCL26,NA,269,269,100.00
20,10,1050ISFL28,N5,100,100,100.00
20,11,1050NFL26,N7,1,1,100.00
20,12,1050UCL28,NH,225,215,95.56
20,13,105IIFL29,N7,395,395,100.00
20,14,1060ECL29,NS,564,564,100.00
20,15,1065NFL27,NC,261,261,100.00
20,16,1075UCL25,N9,28,28,100.00
20,17,10IIFL28,N4,1086,1086,100.00
20,18,10IIFL29,N6,1011,1011,100.00
20,19,10NFL25,N9,200,200,100.00
20,20,10NIDO26,N6,40,40,100.00
20,21,1102NFL26,N8,100,100,100.00
20,22,1119NFL27,ND,205,200,97.56
20,23,1180VCCL26,N0,3,3,100.00
20,24,11UCL26,NC,165,95,57.58
20,25,182D170725,TB,1000,1000,100.00
20,26,182D311025,TB,100,100,100.00
20,27,20MICRONS,EQ,73770,40821,55.34
20,28,21STCENMGM,EQ,3180,3180,100.00
20,29,360ONE,EQ,1273280,956229,75.10
20,30,364D050625,TB,18100,18100,100.00
20,31,364D070526,TB,100,100,100.00
20,32,364D190625,TB,100,100,100.00
20,33,364D280825,TB,4000,4000,100.00
20,34,364D310725,TB,9800,9800,100.00
20,35,3IINFOLTD,EQ,292226,133779,45.78
20,36,3MINDIA,EQ,4000,2012,50.30
20,37,3PLAND,EQ,8647,5613,64.91
20,38,522GS2025,GS,86,86,100.00
20,39,563GS2026,GS,5,4,80.00
20,40,577GS2030,GS,1000,1000,100.00
20,41,579GS2030,GS,1065,1065,100.00
20,42,5PAISA,EQ,21626,12407,57.37
20,43,63MOONS,EQ,294716,124017,42.08
20,44,664GS2027,GS,200,200,100.00
20,45,664GS2035,GS,1,1,100.00
20,46,667GS2035,GS,1,1,100.00
20,47,675GS2029,GS,101,100,99.01
20,48,676GS2061,GS,10000,9500,95.00
20,49,679GS2034A,GS,100,100,100.00
20,50,68GS2060,GS,19402,19402,100.00
20,51,690GS2065,GS,4151,4150,99.98
20,52,695GS2061,GS,3738,3738,100.00
20,53,698GR2054,GS,100,100,100.00
20,54,699GS2026,GS,33110,33010,99.70
20,55,699GS2051,GS,1200,1200,100.00
20,56,702GS2027,GS,600,600,100.00
20,57,706GS2046,GS,607,607,100.00
20,58,707IRFC25,NF,2,2,100.00
20,59,709GS2054,GS,1015,1015,100.00
20,60,709GS2074,GS,29023,28923,99.66
20,61,710GS2029,GS,7051,7051,100.00
20,62,714NHAI26,N7,51,51,100.00
20,63,717GS2030,GS,4169,4000,95.95
20,64,718GS2037,GS,3,1,33.33
20,65,719GS2060,GS,300,200,66.67
20,66,725GS2063,GS,58157,57957,99.66
20,67,726GS2029,GS,300,300,100.00
20,68,726GS2032,GS,7000,7000,100.00
20,69,729NHAI26,NC,5,4,80.00
20,70,732GS2030,GS,100,100,100.00
20,71,732IRFC25,NI,176,176,100.00
20,72,733GS2026,GS,1300,1300,100.00
20,73,734GS2064,GS,54924,52424,95.45
20,74,735NHAI31,N9,318,318,100.00
20,75,737GS2028,GS,2010,2010,100.00
20,76,737NTPC35C,NA,80,80,100.00
20,77,738GS2027,GS,267665,267665,100.00
20,78,738REC27TF,N2,430,430,100.00
20,79,739NHAI26,N8,615,615,100.00
20,80,739NHAI31A,ND,216,216,100.00
20,81,73GS2053,GS,100,100,100.00
20,82,741GS2036,GS,39000,39000,100.00
20,83,743REC35,NH,214,214,100.00
20,84,746GS2073,GS,7207,6706,93.05
20,85,750IRFC35,NK,200,200,100.00
20,86,751HUDCO28,N5,600,600,100.00
20,87,753IRFC30,NJ,90,90,100.00
20,88,754GS2036,GS,499807,494601,98.96
20,89,757GJ26,SG,100,100,100.00
20,90,757GS2033,GS,150,150,100.00
20,91,760PFCL35,N3,139,139,100.00
20,92,762NTPC35F,ND,63,63,100.00
20,93,764HUDCO31,N8,148,148,100.00
20,94,764IRFC31,NO,409,409,100.00
20,95,764NABAR31,N2,1225,973,79.43
20,96,768KA37,SG,100,100,100.00
20,97,769HUDCO31,N9,74,74,100.00
20,98,769NHAI31,NE,217,208,95.85
20,99,76NHAI31,NA,2548,2490,97.72
20,100,772GS2049,GS,329,314,95.44
20,101,774IREDA31,N7,79,79,100.00
20,102,797IGT31,NL,100,100,100.00
20,103,79NHIT40,N2,2,1,50.00
20,104,79NHIT47,N3,772,619,80.18
20,105,810IRFC27,N2,50,50,100.00
20,106,81TCHF28,N8,20,20,100.00
20,107,820IIFL27,N9,2012,2012,100.00
20,108,824GS2027,GS,2323,2322,99.96
20,109,828GS2027,GS,1,1,100.00
