Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03122025,1665233764,0003070
Trade Date <03-DEC-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,14,14,100.00
20,2,0SCL27,YW,49,49,100.00
20,3,1003IIFL29,NC,12,0,0.00
20,4,1015ECL29,NR,151,130,86.09
20,5,1018GS2026,GS,1971,1971,100.00
20,6,1025SCL34B,N1,450,450,100.00
20,7,1025SCL35A,N1,205,205,100.00
20,8,1025UCL26A,N1,3,3,100.00
20,9,1035UCL26,NA,25,25,100.00
20,10,1039UCL26,NE,10,10,100.00
20,11,1040NFL26,NA,16,16,100.00
20,12,1040UCL27B,N1,13,12,92.31
20,13,1050UCL28,NH,2,2,100.00
20,14,105IIFL29,N7,45,45,100.00
20,15,1060ECL29,NS,545,545,100.00
20,16,1065NFL27,NC,21,21,100.00
20,17,1075SCL34,ZR,400,400,100.00
20,18,10CAGL27,N5,8,8,100.00
20,19,10IIFL28,N4,218,218,100.00
20,20,10IIFL29,N6,283,283,100.00
20,21,10ISFL26,N3,19,19,100.00
20,22,10NIDO26,N6,4610,3350,72.67
20,23,10UCL26,ND,101,101,100.00
20,24,111ESFB31,N0,1,1,100.00
20,25,113ESFB31,N0,5,5,100.00
20,26,118VCCL27B,N0,11,11,100.00
20,27,12AFIL27,N0,1,1,100.00
20,28,12VCCL29A,N0,1,1,100.00
20,29,12VCCL29B,N0,3,3,100.00
20,30,20MICRONS,EQ,65939,32127,48.72
20,31,21STCENMGM,EQ,324,324,100.00
20,32,360ONE,EQ,323061,131821,40.80
20,33,364D010526,TB,100,100,100.00
20,34,364D061126,TB,200,100,50.00
20,35,364D100926,TB,50000,50000,100.00
20,36,3IINFOLTD,EQ,285364,204087,71.52
20,37,3MINDIA,EQ,1329,664,49.96
20,38,3PLAND,EQ,1484,1353,91.17
20,39,574GS2026,GS,251,251,100.00
20,40,577GS2030,GS,1000,1000,100.00
20,41,5PAISA,EQ,136070,49516,36.39
20,42,601GS2030,GS,150300,150300,100.00
20,43,610GS2031,GS,800,800,100.00
20,44,628GS2032,GS,100,100,100.00
20,45,633GS2035,GS,897,700,78.04
20,46,63MOONS,EQ,191864,59313,30.91
20,47,648GS2035,GS,160,160,100.00
20,48,664GS2027,GS,300,300,100.00
20,49,667GS2050,GS,10600,10600,100.00
20,50,668GS2040,GS,400,200,50.00
20,51,676GS2061,GS,5,5,100.00
20,52,679GS2034,GS,19400,19400,100.00
20,53,68GS2060,GS,21,21,100.00
20,54,690GS2065,GS,427339,417220,97.63
20,55,692GS2039,GS,4101,4001,97.56
20,56,695GS2061,GS,179414,178714,99.61
20,57,698GR2054,GS,9300,9300,100.00
20,58,699GS2026,GS,3053,3053,100.00
20,59,702GS2027,GS,662,662,100.00
20,60,704GS2029,GS,1000,1000,100.00
20,61,709GS2054,GS,15102,15102,100.00
20,62,709GS2074,GS,409688,409578,99.97
20,63,710GS2029,GS,2549,2549,100.00
20,64,717GS2030,GS,500,500,100.00
20,65,718GS2037,GS,94679,94679,100.00
20,66,719GS2060,GS,10,5,50.00
20,67,71GS2034,GS,10100,10100,100.00
20,68,724GS2055,GS,3300,3100,93.94
20,69,725GS2063,GS,107379,107379,100.00
20,70,726GS2029,GS,100,100,100.00
20,71,726GS2032,GS,5646,5646,100.00
20,72,727GS2026,GS,2,1,50.00
20,73,729NHAI26,NC,9,9,100.00
20,74,732GS2030,GS,4300,4300,100.00
20,75,732IRFC25,NI,16,16,100.00
20,76,733GS2026,GS,100,100,100.00
20,77,734GS2064,GS,772112,754418,97.71
20,78,734IRFC28,N4,628,628,100.00
20,79,736GS2052,GS,128,128,100.00
20,80,736PFCL28,N2,75,75,100.00
20,81,737GS2028,GS,807,807,100.00
20,82,737NTPC35C,NA,10,10,100.00
20,83,738GS2027,GS,46046,45444,98.69
20,84,738REC27TF,N2,27,27,100.00
20,85,73GS2053,GS,7508,7508,100.00
20,86,740IIFCL33,N1,100,100,100.00
20,87,741GS2036,GS,26101,26000,99.61
20,88,743REC35,NH,50,50,100.00
20,89,746GS2073,GS,329115,329115,100.00
20,90,74GS2035,GS,45,45,100.00
20,91,74GS2062,GS,41,41,100.00
20,92,751HUDCO28,N5,220,220,100.00
20,93,753IRFC30,NJ,101,101,100.00
20,94,753NTPC30E,NC,4,4,100.00
20,95,754GS2036,GS,332597,323752,97.34
20,96,762NTPC35F,ND,16,16,100.00
20,97,763GS2059,GS,180,90,50.00
20,98,764HUDCO31,N8,1,1,100.00
20,99,764IRFC31,NO,165,165,100.00
20,100,764NABAR31,N2,1431,1025,71.63
20,101,766ML32,SG,200,200,100.00
20,102,767WB37,SG,2000,2000,100.00
20,103,769HUDCO31,N9,111,111,100.00
20,104,769NHAI31,NE,1,1,100.00
20,105,76NHAI31,NA,150,150,100.00
20,106,772GS2049,GS,2,1,50.00
20,107,772GS2055,GS,11,11,100.00
20,108,774IREDA31,N7,119,119,100.00
20,109,794TN32,SG,4000,4000,100.00
