Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21112025,1513814591,0003008
Trade Date <21-NOV-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,1,1,100.00
20,2,1003SCL30A,NV,114,114,100.00
20,3,1015ECL29,NR,280,262,93.57
20,4,1015SCL28A,AL,11,11,100.00
20,5,1015UCL27,NF,3,3,100.00
20,6,1018GS2026,GS,1793,1793,100.00
20,7,1025IIFL30,Y3,75,75,100.00
20,8,1025SCL34B,N1,146,116,79.45
20,9,1035UCL26,NA,45,43,95.56
20,10,1040NFL26,NA,16,16,100.00
20,11,1040UCL27B,N1,12,12,100.00
20,12,1050NFL26,N7,104,104,100.00
20,13,1065NFL27,NC,415,415,100.00
20,14,1090NFL26,NB,10,10,100.00
20,15,10CAGL27,N5,262,262,100.00
20,16,10IIFL28,N4,150,150,100.00
20,17,10IIFL28A,NE,200,200,100.00
20,18,10IIFL29,N6,15,15,100.00
20,19,10ISFL26,N3,49,49,100.00
20,20,10NIDO26,N6,87,87,100.00
20,21,12AFIL27A,N0,1,1,100.00
20,22,12AFIL28,N0,20,20,100.00
20,23,182D160426,TB,100,100,100.00
20,24,182D190226,TB,100,100,100.00
20,25,20MICRONS,EQ,49898,28530,57.18
20,26,21STCENMGM,EQ,4836,4836,100.00
20,27,360ONE,EQ,2783024,782101,28.10
20,28,364D100426,TB,100,100,100.00
20,29,364D271125,TB,100,100,100.00
20,30,3IINFOLTD,EQ,270180,168587,62.40
20,31,3MINDIA,EQ,8367,6658,79.57
20,32,3PLAND,EQ,2402,1887,78.56
20,33,574GS2026,GS,172,172,100.00
20,34,585GS2030,GS,1786,1586,88.80
20,35,591GS2028,GS,100,100,100.00
20,36,5PAISA,EQ,405431,85294,21.04
20,37,601GS2030,GS,500100,500100,100.00
20,38,633GS2035,GS,2,2,100.00
20,39,63MOONS,EQ,113447,56102,49.45
20,40,648GS2035,GS,200,200,100.00
20,41,667GS2050,GS,10,10,100.00
20,42,676GS2061,GS,1070,1070,100.00
20,43,679GS2034,GS,7000,7000,100.00
20,44,679GS2034A,GS,700,700,100.00
20,45,68GS2060,GS,558,558,100.00
20,46,690GS2065,GS,23912,23892,99.92
20,47,692GS2039,GS,51,51,100.00
20,48,695GS2061,GS,4193,4193,100.00
20,49,697GR2034,GS,46,46,100.00
20,50,698GR2054,GS,178,100,56.18
20,51,699GS2026,GS,184,184,100.00
20,52,702GS2027,GS,10196,10196,100.00
20,53,709GS2054,GS,12906,12906,100.00
20,54,709GS2074,GS,59328,59328,100.00
20,55,710GS2029,GS,64905,58505,90.14
20,56,714NHAI26,N7,14,14,100.00
20,57,717GS2030,GS,1318,1318,100.00
20,58,718GS2037,GS,2000,2000,100.00
20,59,724GS2055,GS,7600,7600,100.00
20,60,725GS2063,GS,172784,172284,99.71
20,61,725IRFC35,NH,400,400,100.00
20,62,726GS2033,GS,25,25,100.00
20,63,732GS2030,GS,210,210,100.00
20,64,732IRFC25,NI,833,833,100.00
20,65,733GS2026,GS,6486,6486,100.00
20,66,734GS2064,GS,56720,55179,97.28
20,67,734IRFC28,N4,1300,1300,100.00
20,68,737GS2028,GS,700,700,100.00
20,69,738GS2027,GS,43700,43241,98.95
20,70,73GS2053,GS,501,501,100.00
20,71,741GS2036,GS,1100,1100,100.00
20,72,743REC35,NH,111,111,100.00
20,73,744TS45,SG,100,100,100.00
20,74,746GS2073,GS,63413,63413,100.00
20,75,74GS2035,GS,2301,2300,99.96
20,76,74GS2062,GS,2601,2301,88.47
20,77,750IRFC35,NK,46,46,100.00
20,78,751HUDCO28,N5,20,20,100.00
20,79,753IRFC30,NJ,144,94,65.28
20,80,753NTPC30E,NC,5,5,100.00
20,81,754GS2036,GS,794857,734206,92.37
20,82,764HUDCO31,N8,55,55,100.00
20,83,764NABAR31,N2,5,5,100.00
20,84,769GS2043,GS,1500,1500,100.00
20,85,769HUDCO31,N9,175,175,100.00
20,86,769NHAI31,NE,1413,1413,100.00
20,87,76NHAI31,NA,9937,6201,62.40
20,88,772MH34,SG,100,100,100.00
20,89,774IREDA31,N7,864,664,76.85
20,90,797IGT31,NL,1440,1340,93.06
20,91,79NHIT35,N1,818,775,94.74
20,92,79NHIT40,N2,413,413,100.00
20,93,79NHIT47,N3,873,705,80.76
20,94,810IRFC27,N2,100,100,100.00
20,95,812REC27,NI,382,382,100.00
20,96,81TCHF28,N8,4,4,100.00
20,97,820IIFL27,N9,50,50,100.00
20,98,82HUDCO27,N2,5,5,100.00
20,99,82IGT31,NJ,90,90,100.00
20,100,830NHAI27,N2,122,122,100.00
20,101,830PFCL27,N5,416,416,100.00
20,102,832GS2032,GS,2005,2005,100.00
20,103,833GS2026,GS,5,5,100.00
20,104,83GS2040,GS,298,298,100.00
20,105,840CIFCL28,N4,50,50,100.00
20,106,850CIFCL26,NE,20,20,100.00
20,107,865IFL28,NZ,4,4,100.00
20,108,865IRFC29,NA,506,506,100.00
20,109,865LTF26,NN,5,5,100.00
20,110,865SCL27,N4,5,5,100.00
20,111,871REC28,N9,1909,1836,96.18
20,112,872MMFSL26,N1,186,83,44.62
20,113,875NHAI29,N6,6989,6223,89.04
20,114,875PCHFL26,N8,9,9,100.00
20,115,875SFL27,ZF,200,200,100.00
20,116,876HUDCO28,ND,2179,1816,83.34
20,117,879NHPC28,N5,943,943,100.00
20,118,880IREDA29,N5,5,5,100.00
20,119,880IREDA34,N6,417,417,100.00
20,120,885AEL28,NB,150,150,100.00
20,121,888IRFC29,NE,126,126,100.00
20,122,888REC29,NF,823,823,100.00
20,123,889SCL26,NS,15,15,100.00
20,124,889SCL27,YT,145,145,100.00
20,125,891IIFCL34,N4,87,87,100.00
20,126,891NTPC33,N6,1391,1051,75.56
20,127,892PFCL33,N8,2664,2045,76.76
20,128,893NHB29,N6,89,89,100.00
20,129,895AEL27,N9,273,273,100.00
20,130,898LTF29,N7,312,212,67.95
20,131,89IHFL29,N1,200,200,100.00
20,132,901HUDCO34,NE,1595,1495,93.73
20,133,901NHB34,N6,284,264,92.96
20,134,903SFL28,YI,69,69,100.00
20,135,910TCAP28,NA,18,18,100.00
20,136,915AEL28,NC,10,10,100.00
20,137,915SCL26,NE,549,529,96.36
20,138,915SCL27,Z7,50,50,100.00
20,139,91D060226,TB,200,200,100.00
20,140,91D080126,TB,100,100,100.00
20,141,91D111225,TB,100,100,100.00
20,142,91D120226,TB,100,100,100.00
20,143,91D150126,TB,400,400,100.00
20,144,91D180226,TB,200,200,100.00
20,145,91D251225,TB,800,800,100.00
20,146,91D290126,TB,100,100,100.00
20,147,925SCL25B,Y3,10,10,100.00
20,148,925SCL30A,NH,54,54,100.00
20,149,92GS2030,GS,10750,10750,100.00
20,150,930AEL30,NF,150,150,100.00
20,151,930APMD29,N0,6,6,100.00
20,152,930APMD34,N0,2,2,100.00
20,153,930APMD35,N0,1,1,100.00
20,154,930SFL28,YP,16,8,50.00
20,155,931SFL26,Z5,22,22,100.00
20,156,932AEL27,N3,81,81,100.00
20,157,935LTF29,N5,1,1,100.00
20,158,935TSIIC28,N0,6,6,100.00
20,159,93MOFSL34,N6,189,189,100.00
20,160,93SCL24A,ZN,54,54,100.00
20,161,943ECL28,NJ,110,110,100.00
20,162,948SCL26A,NN,1137,1137,100.00
20,163,94SFL28,YL,50,50,100.00
20,164,950ISF27C,N0,6,6,100.00
20,165,965AEL27,N4,90,90,100.00
20,166,965SCL25B,Y1,75,75,100.00
20,167,965SCL26Y,N1,40,20,50.00
20,168,96IIFL28,N5,753,677,89.91
20,169,96IIFL28A,NF,1867,1867,100.00
20,170,96SFIL24A,NB,23,23,100.00
20,171,971SCL28,AN,2,2,100.00
20,172,975ISF28,N0,3,3,100.00
20,173,97SFL28,YS,22,22,100.00
20,174,985ECL28,NK,400,400,100.00
20,175,98SCL27,ZX,78,78,100.00
20,176,990SCL26,N7,5,5,100.00
20,177,990SCL26B,Y7,190,190,100.00
20,178,990SCL27,YT,10,10,100.00
20,179,995SCL2035,NM,46,46,100.00
20,180,9AEL30,NE,85,85,100.00
20,181,9IIFL28,Y0,276,276,100.00
20,182,9MMFSML,N2,11,11,100.00
20,183,9SCL26BA,NA,913,913,100.00
20,184,9SCL27,N2,30,30,100.00
20,185,A2ZINFRA,EQ,488156,445384,91.24
20,186,AADHARHFC,EQ,169017,95108,56.27
20,187,AAKAAR,SM,25600,17600,68.75
20,188,AAKASH,EQ,65638,48440,73.80
20,189,AARADHYA,ST,3600,3600,100.00
20,190,AARON,EQ,34844,17104,49.09
20,191,AARTECH,EQ,34485,24772,71.83
20,192,AARTIDRUGS,EQ,152405,75310,49.41
20,193,AARTIIND,EQ,415110,202772,48.85
20,194,AARTIPHARM,EQ,187678,93842,50.00
20,195,AARTISURF,EQ,5249,3873,73.79
20,196,AARTISURF,P1,12,12,100.00
20,197,AARVI,EQ,72270,36153,50.02
20,198,AATMAJ,SM,2000,2000,100.00
20,199,AAVAS,EQ,52752,27998,53.07
20,200,ABB,EQ,195539,108384,55.43
20,201,ABBOTINDIA,EQ,4817,2529,52.50
20,202,ABCAPITAL,EQ,2675777,1369263,51.17
20,203,ABCOTS,EQ,51918,3513,6.77
20,204,ABDL,EQ,655999,327770,49.97
20,205,ABFRL,EQ,1719535,903598,52.55
20,206,ABGSEC,EQ,221,20,9.05
20,207,ABHAPOWER,ST,1600,1600,100.00
20,208,ABINFRA,EQ,2625056,1236117,47.09
20,209,ABLBL,EQ,2323765,1475732,63.51
20,210,ABREL,EQ,70848,42140,59.48
20,211,ABSLAMC,EQ,213751,123568,57.81
20,212,ABSLBANETF,EQ,34551,28836,83.46
20,213,ABSLLIQUID,EQ,745,673,90.34
20,214,ABSLNN50ET,EQ,13519,12807,94.73
20,215,ABSLPSE,EQ,136166,129218,94.90
20,216,ABSMARINE,SM,61500,46000,74.80
20,217,ACC,EQ,179113,117144,65.40
20,218,ACCELYA,EQ,5600,4030,71.96
20,219,ACCENTMIC,SM,44000,35000,79.55
20,220,ACCPL,SM,52800,36000,68.18
20,221,ACCURACY,EQ,134225,93583,69.72
20,222,ACE,EQ,69107,41234,59.67
20,223,ACEINTEG,EQ,2526,841,33.29
20,224,ACI,EQ,114373,40599,35.50
20,225,ACMESOLAR,EQ,828365,567696,68.53
20,226,ACTIVEINFR,SM,6000,6000,100.00
20,227,ACUTAAS,EQ,176324,96649,54.81
20,228,ADANIENSOL,EQ,815816,427257,52.37
20,229,ADANIENT,EQ,547541,137254,25.07
20,230,ADANIGREEN,EQ,2075493,782113,37.68
20,231,ADANIPORTS,EQ,1165365,514625,44.16
20,232,ADANIPOWER,EQ,9642165,4160265,43.15
20,233,ADFFOODS,EQ,65188,31755,48.71
20,234,ADL,EQ,442,173,39.14
20,235,ADOR,EQ,6096,3715,60.94
20,236,ADROITINFO,EQ,109430,89410,81.71
20,237,ADSL,EQ,191351,60004,31.36
20,238,ADVANCE,EQ,792345,270803,34.18
20,239,ADVANIHOTR,EQ,25986,19232,74.01
20,240,ADVENZYMES,EQ,145370,67422,46.38
20,241,AEGISLOG,EQ,222068,113312,51.03
20,242,AEGISVOPAK,EQ,976702,299552,30.67
20,243,AEL170725A,NG,77,77,100.00
20,244,AEROENTER,EQ,249939,133503,53.41
20,245,AEROFLEX,EQ,347813,178017,51.18
20,246,AERON,SM,21000,17000,80.95
20,247,AERONEU,EQ,39354,14428,36.66
