Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05122023,1910940102,0002324
Trade Date <05-DEC-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D090524,TB,500,500,100.00
20,2,182D110424,TB,200,100,50.00
20,3,182D160524,TB,200,200,100.00
20,4,182D180424,TB,100,100,100.00
20,5,182D210324,TB,200,200,100.00
20,6,182D230524,TB,20600,20300,98.54
20,7,182D250424,TB,1600,1600,100.00
20,8,182D290324,TB,100,100,100.00
20,9,182D300524,TB,100,100,100.00
20,10,20MICRONS,EQ,64577,38503,59.62
20,11,21STCENMGM,EQ,8390,8390,100.00
20,12,360ONE,EQ,1609373,803643,49.94
20,13,364D010824,TB,500,500,100.00
20,14,364D040424,TB,40000,40000,100.00
20,15,364D040724,TB,3000,3000,100.00
20,16,364D110424,TB,19200,19200,100.00
20,17,364D120924,TB,100,100,100.00
20,18,364D130624,TB,1500,1500,100.00
20,19,364D140324,TB,500,500,100.00
20,20,364D141124,TB,1200,1100,91.67
20,21,364D150224,TB,100,100,100.00
20,22,364D211124,TB,400,400,100.00
20,23,364D220224,TB,1000,1000,100.00
20,24,364D230524,TB,3000,3000,100.00
20,25,364D281124,TB,200,200,100.00
20,26,3IINFOLTD,EQ,818660,525750,64.22
20,27,3MINDIA,EQ,4177,2366,56.64
20,28,3PLAND,EQ,64187,37672,58.69
20,29,515GS2025,GS,4081,4081,100.00
20,30,563GS2026,GS,1,1,100.00
20,31,574GS2026,GS,813,563,69.25
20,32,579GS2030,GS,999,999,100.00
20,33,5PAISA,EQ,117741,65322,55.48
20,34,610GS2031,GS,33975,33975,100.00
20,35,618GS2024,GS,10,10,100.00
20,36,619GS2034,GS,1,1,100.00
20,37,63MOONS,EQ,532857,255817,48.01
20,38,645GS2029,GS,1,1,100.00
20,39,664GS2035,GS,2,1,50.00
20,40,667GS2050,GS,862,862,100.00
20,41,669GS2024,GS,2021,2005,99.21
20,42,676GS2061,GS,5074,5074,100.00
20,43,695GS2061,GS,1,1,100.00
20,44,699GS2026,GS,15100,15100,100.00
20,45,699GS2051,GS,29,27,93.10
20,46,706GS2028,GS,22300,22300,100.00
20,47,710GS2029,GS,15355,15118,98.46
20,48,717GS2030,GS,339,339,100.00
20,49,718GS2033,GS,700,700,100.00
20,50,718GS2037,GS,12300,12300,100.00
20,51,719GS2060,GS,50,50,100.00
20,52,725GS2063,GS,90800,90800,100.00
20,53,726GS2032,GS,4700,4450,94.68
20,54,726GS2033,GS,47251,47251,100.00
20,55,733GS2026,GS,355800,355512,99.92
