Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29112023,1768047389,0002319
Trade Date <29-NOV-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,41,40,97.56
20,2,182D070324,TB,200,200,100.00
20,3,182D071223,TB,2500,2500,100.00
20,4,182D090524,TB,300,300,100.00
20,5,182D160524,TB,100,100,100.00
20,6,182D211223,TB,100,100,100.00
20,7,182D230524,TB,200,200,100.00
20,8,20MICRONS,EQ,176992,99176,56.03
20,9,21STCENMGM,EQ,35335,35256,99.78
20,10,360ONE,EQ,353886,282152,79.73
20,11,364D040124,TB,200,200,100.00
20,12,364D071124,TB,1000,1000,100.00
20,13,364D080824,TB,100,100,100.00
20,14,364D110124,TB,100,100,100.00
20,15,364D141124,TB,1700,1700,100.00
20,16,364D180424,TB,100,100,100.00
20,17,364D200624,TB,100,100,100.00
20,18,364D211124,TB,300,300,100.00
20,19,364D220324,TB,200,200,100.00
20,20,364D290224,TB,200,200,100.00
20,21,3IINFOLTD,EQ,5770063,1823505,31.60
20,22,3MINDIA,EQ,1522,774,50.85
20,23,3PLAND,EQ,75062,65182,86.84
20,24,515GS2025,GS,4,4,100.00
20,25,563GS2026,GS,1,1,100.00
20,26,574GS2026,GS,912,912,100.00
20,27,5PAISA,EQ,368458,103181,28.00
20,28,610GS2031,GS,2,2,100.00
20,29,618GS2024,GS,27,21,77.78
20,30,63MOONS,EQ,416743,226133,54.26
20,31,645GS2029,GS,3,3,100.00
20,32,654GS2032,GS,20402,20400,99.99
20,33,667GS2035,GS,4,2,50.00
20,34,667GS2050,GS,10994,10994,100.00
20,35,669GS2024,GS,2767,2767,100.00
20,36,676GS2061,GS,2,2,100.00
20,37,689GS2025,GS,1,1,100.00
20,38,68GS2060,GS,1591,1591,100.00
20,39,695GS2061,GS,24550,24550,100.00
20,40,699GS2026,GS,1,1,100.00
20,41,699GS2051,GS,104,102,98.08
20,42,706GS2028,GS,5102,5102,100.00
20,43,710GS2029,GS,7311,7311,100.00
20,44,717GS2030,GS,108,108,100.00
20,45,718GS2033,GS,1250,1250,100.00
20,46,718GS2037,GS,3415,3320,97.22
20,47,725GS2063,GS,30270,30270,100.00
20,48,726GS2029,GS,4,4,100.00
20,49,726GS2032,GS,2399,2399,100.00
20,50,726GS2033,GS,9100,9100,100.00
20,51,732GS2024,GS,6838,3419,50.00
20,52,733GS2026,GS,2156563,2156065,99.98
20,53,736GS2052,GS,12152,12152,100.00
20,54,737GS2028,GS,205,105,51.22
20,55,738GS2027,GS,38720,38720,100.00
20,56,73GS2053,GS,2200,1200,54.55
20,57,741GS2036,GS,37893,25079,66.18
20,58,746GS2073,GS,135,135,100.00
20,59,74GS2062,GS,377,330,87.53
20,60,752TN33,SG,200,200,100.00
