Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10072025,1380013368,0002699
Trade Date <10-JUL-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,98,50,51.02
20,2,1003ISFL28,N4,106,106,100.00
20,3,1003SFIL28,NX,40,40,100.00
20,4,1015ECL29,NR,1182,1082,91.54
20,5,1015UCL27,NF,1,1,100.00
20,6,1018GS2026,GS,3694,3694,100.00
20,7,1025SCL34B,N1,341,321,94.13
20,8,1039UCL26,NE,10,10,100.00
20,9,1050ISFL28,N5,56,56,100.00
20,10,1050NFL26,N7,1,1,100.00
20,11,1050UCL25,N7,30,25,83.33
20,12,1075SCL34T,N1,100,100,100.00
20,13,10CAGL27,N5,80,80,100.00
20,14,10IIFL28,N4,1450,1450,100.00
20,15,10IIFL28A,NE,515,515,100.00
20,16,10ISFL26,N3,20,20,100.00
20,17,10NFL25,N9,50,50,100.00
20,18,10NIDO26,N6,215,215,100.00
20,19,1102NFL26,N8,6,6,100.00
20,20,12VCCL29B,N0,5,4,80.00
20,21,182D101025,TB,100,100,100.00
20,22,182D170725,TB,200,100,50.00
20,23,20MICRONS,EQ,251129,100029,39.83
20,24,21STCENMGM,EQ,10746,7893,73.45
20,25,360ONE,EQ,735700,502754,68.34
20,26,364D110626,TB,7000,7000,100.00
20,27,364D150825,TB,100,100,100.00
20,28,3IINFOLTD,EQ,461459,170633,36.98
20,29,3MINDIA,EQ,4017,1933,48.12
20,30,3PLAND,EQ,5262,2812,53.44
20,31,563GS2026,GS,3,3,100.00
20,32,585GS2030,GS,1017,1017,100.00
20,33,591GS2028,GS,1200,1000,83.33
20,34,5PAISA,EQ,36153,10783,29.83
20,35,610GS2031,GS,1902,1902,100.00
20,36,613GS2028,GS,3,3,100.00
20,37,619GS2034,GS,149,149,100.00
20,38,63MOONS,EQ,618404,245022,39.62
20,39,664GS2027,GS,200,200,100.00
20,40,667GS2050,GS,3000,3000,100.00
20,41,668GS2040,GS,200,200,100.00
20,42,675GS2029,GS,2,2,100.00
20,43,676GS2061,GS,11838,11838,100.00
20,44,68GS2060,GS,500,500,100.00
20,45,690GS2065,GS,5750,5750,100.00
20,46,692GS2039,GS,2482,2482,100.00
20,47,699GS2026,GS,752,751,99.87
20,48,699GS2051,GS,27553,27553,100.00
20,49,702GS2031,GS,86196,86196,100.00
20,50,704GS2029,GS,20,20,100.00
20,51,706GS2028,GS,2000,2000,100.00
20,52,709GS2054,GS,111211,111210,100.00
20,53,709GS2074,GS,26690,26689,100.00
20,54,710GS2029,GS,2000,2000,100.00
20,55,717GS2030,GS,150,150,100.00
20,56,718GS2037,GS,83,83,100.00
20,57,71GS2034,GS,20,20,100.00
20,58,723GS2039,GS,100,100,100.00
20,59,725GS2063,GS,523079,477578,91.30
20,60,726GS2029,GS,1,1,100.00
20,61,727GS2026,GS,1,1,100.00
20,62,732GS2030,GS,100,100,100.00
20,63,732IRFC25,NI,8,8,100.00
20,64,734GS2064,GS,6000,6000,100.00
20,65,734IRFC28,N4,5,5,100.00
