Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07102025,1804403274,0003010
Trade Date <07-OCT-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,550,550,100.00
20,2,1003ISFL28,N4,50,50,100.00
20,3,1003SCFL31,Z4,44,0,0.00
20,4,1015ECL29,NR,63,61,96.83
20,5,1015UCL27,NF,681,426,62.56
20,6,1018GS2026,GS,20,20,100.00
20,7,1025IIFL30,Y3,1010,1010,100.00
20,8,1025UCL26A,N1,31,31,100.00
20,9,1025VCCL28,N0,1,1,100.00
20,10,1039UCL26,NE,76,76,100.00
20,11,1040NFL26,NA,136,136,100.00
20,12,1050ISFL28,N5,5,5,100.00
20,13,1065NFL27,NC,149,149,100.00
20,14,1075SCL34C,N1,50,50,100.00
20,15,10CAGL27,N5,1659,1659,100.00
20,16,10IIFL28,N4,365,365,100.00
20,17,10IIFL28A,NE,545,395,72.48
20,18,10IIFL29,N6,313,303,96.81
20,19,10NIDO26,N6,256,256,100.00
20,20,10UCL26,ND,10,10,100.00
20,21,1119NFL27,ND,20,20,100.00
20,22,111ESFB31,N0,7,7,100.00
20,23,113ESFB31,N0,7,7,100.00
20,24,11UCL26,NC,59,46,77.97
20,25,12AFIL27,N0,5,5,100.00
20,26,12VCCL29,N0,5,5,100.00
20,27,182D030426,TB,100,100,100.00
20,28,182D050326,TB,200,200,100.00
20,29,182D111225,TB,300,300,100.00
20,30,182D131125,TB,400,400,100.00
20,31,182D201125,TB,100,100,100.00
20,32,182D220126,TB,1000,1000,100.00
20,33,182D231025,TB,10200,10100,99.02
20,34,182D260326,TB,100,100,100.00
20,35,20MICRONS,EQ,65943,34703,52.63
20,36,21STCENMGM,EQ,11555,9535,82.52
20,37,360ONE,EQ,650935,381382,58.59
20,38,364D010526,TB,100,100,100.00
20,39,364D021026,TB,100,100,100.00
20,40,364D041225,TB,100,100,100.00
20,41,364D050326,TB,1600,1600,100.00
20,42,364D140526,TB,100,100,100.00
20,43,364D170926,TB,200,100,50.00
20,44,364D181225,TB,300,200,66.67
20,45,364D210526,TB,100,100,100.00
20,46,364D231025,TB,800,800,100.00
20,47,364D240426,TB,200,200,100.00
20,48,364D260326,TB,200,200,100.00
20,49,3IINFOLTD,EQ,1154632,765980,66.34
20,50,3MINDIA,EQ,2405,1758,73.10
20,51,3PLAND,EQ,9352,7659,81.90
20,52,515GS2025,GS,1601,801,50.03
20,53,563GS2026,GS,6,6,100.00
20,54,574GS2026,GS,102,51,50.00
20,55,5PAISA,EQ,11120,6998,62.93
20,56,601GS2030,GS,700,700,100.00
