Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092025,1603527176,0002942
Trade Date <18-SEP-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,10,10,100.00
20,2,1003SCL30A,NV,22,22,100.00
20,3,1003SFIL28,NX,4,0,0.00
20,4,1015ECL29,NR,207,207,100.00
20,5,1015UCL26,N1,10,10,100.00
20,6,1025SCL34A,ZT,1,1,100.00
20,7,1030SFIL28,NM,15,15,100.00
20,8,1035UCL26,NA,30,30,100.00
20,9,1039UCL26,NE,5,5,100.00
20,10,1040UCL27B,N1,108,108,100.00
20,11,1050ISFL28,N5,2,2,100.00
20,12,1050NFL26,N7,25,25,100.00
20,13,1075NFL25,N6,2,2,100.00
20,14,1090NFL26,NB,10,10,100.00
20,15,10IIFL28,N4,250,250,100.00
20,16,10IIFL29,N6,5,5,100.00
20,17,10ISFL26,N3,15,15,100.00
20,18,10NIDO26,N6,103,103,100.00
20,19,113ESFB31,N0,5,5,100.00
20,20,12VCCL29B,N0,2,2,100.00
20,21,12VCCL29C,N0,5,5,100.00
20,22,182D101025,TB,2800,2800,100.00
20,23,182D111225,TB,2300,2300,100.00
20,24,182D131125,TB,400,400,100.00
20,25,20MICRONS,EQ,275039,109628,39.86
20,26,21STCENMGM,EQ,1068,913,85.49
20,27,360ONE,EQ,196378,105361,53.65
20,28,364D031025,TB,3000,3000,100.00
20,29,364D061125,TB,1000,1000,100.00
20,30,364D091025,TB,1000,1000,100.00
20,31,364D210526,TB,100,100,100.00
20,32,3IINFOLTD,EQ,584846,360756,61.68
20,33,3MINDIA,EQ,3958,2907,73.45
20,34,3PLAND,EQ,7033,4513,64.17
20,35,515GS2025,GS,100,50,50.00
20,36,563GS2026,GS,1470,1470,100.00
20,37,5PAISA,EQ,16556,9270,55.99
20,38,601GS2030,GS,3002010,3001010,99.97
20,39,610GS2031,GS,1,1,100.00
20,40,628GS2032,GS,200,200,100.00
20,41,633GS2035,GS,200,200,100.00
20,42,63MOONS,EQ,185904,82591,44.43
20,43,664GS2027,GS,2700,2700,100.00
20,44,676GS2061,GS,201213,201213,100.00
20,45,679GS2034A,GS,200,200,100.00
20,46,690GS2065,GS,600,550,91.67
20,47,695GS2061,GS,5037,5036,99.98
20,48,698GR2054,GS,11000,11000,100.00
20,49,702GS2027,GS,200,200,100.00
20,50,704GS2029,GS,2500400,2500400,100.00
20,51,709GS2054,GS,86946,86946,100.00
20,52,709GS2074,GS,1826331,1823831,99.86
20,53,710GS2029,GS,5350,5350,100.00
20,54,711WB44,SG,500,500,100.00
20,55,717GS2030,GS,7245,7245,100.00
20,56,718GS2037,GS,285128,285128,100.00
20,57,723GS2039,GS,500,500,100.00
20,58,724GS2055,GS,20941,20941,100.00
20,59,725GS2063,GS,323327,323327,100.00
20,60,726GS2032,GS,1223,1223,100.00
20,61,726GS2033,GS,50023,50023,100.00
20,62,729IRFC26,NN,1,1,100.00
20,63,729NHAI26,NC,56,55,98.21
20,64,732GS2030,GS,300,300,100.00
20,65,733GS2026,GS,1800,1800,100.00
20,66,734GS2064,GS,22136,18200,82.22
20,67,736GS2052,GS,36670,36670,100.00
20,68,736NTPC25D,NB,1,1,100.00
20,69,738GS2027,GS,88481,85748,96.91
20,70,738REC27TF,N2,100,100,100.00
20,71,739NHAI26,N8,10,10,100.00
20,72,739NHAI31A,ND,250,250,100.00
20,73,73GS2053,GS,4,2,50.00
20,74,741GS2036,GS,5600,5600,100.00
20,75,743AP41,SG,100,100,100.00
20,76,744TS45,SG,200,200,100.00
20,77,746GS2073,GS,5459,5459,100.00
20,78,747AP32,SG,200,200,100.00
20,79,74GS2062,GS,35479,34729,97.89
20,80,751HUDCO28,N5,2,2,100.00
20,81,753IRFC30,NJ,5563,5098,91.64
20,82,754GS2036,GS,589647,575517,97.60
20,83,758GA37A,SG,100,100,100.00
20,84,760PFCL35,N3,42,42,100.00
20,85,762NTPC35F,ND,360,350,97.22
20,86,764HUDCO31,N8,5,5,100.00
20,87,764IRFC31,NO,1959,1959,100.00
20,88,764NABAR31,N2,161,161,100.00
20,89,769HUDCO31,N9,10,10,100.00
20,90,769NHAI31,NE,1291,1291,100.00
20,91,76NHAI31,NA,200,200,100.00
20,92,772GS2049,GS,1,1,100.00
20,93,772JK43,SG,100,100,100.00
