Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23122024,957479445,0002614
Trade Date <23-DEC-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003SFIL28,NX,354,354,100.00
20,2,1015ECL29,NR,232,232,100.00
20,3,1018GS2026,GS,3,1,33.33
20,4,1025NFL25,N5,25,25,100.00
20,5,1035UCL26,NA,71,71,100.00
20,6,1040NFL26,NA,10,10,100.00
20,7,1049DLS25A,Y5,25,25,100.00
20,8,1049DLSL25,NX,50,50,100.00
20,9,1050ISFL28,N5,215,215,100.00
20,10,1060ECL29,NS,1,1,100.00
20,11,1065NFL27,NC,97,97,100.00
20,12,10CAGL27,N5,360,360,100.00
20,13,10IIFL28,N4,800,800,100.00
20,14,10NFL25,N9,153,152,99.35
20,15,10NIDO26,N6,75,75,100.00
20,16,11UCL26,NC,20,10,50.00
20,17,182D050625,TB,900,900,100.00
20,18,182D150525,TB,100,100,100.00
20,19,182D270225,TB,100,100,100.00
20,20,360ONE,EQ,499836,204964,41.01
20,21,364D061125,TB,500,500,100.00
20,22,364D090125,TB,300,300,100.00
20,23,364D091025,TB,100,100,100.00
20,24,364D110925,TB,500,500,100.00
20,25,364D130225,TB,700,700,100.00
20,26,364D150825,TB,200,200,100.00
20,27,364D200225,TB,100,100,100.00
20,28,364D240425,TB,3200,3200,100.00
20,29,364D280825,TB,100,100,100.00
20,30,364D310725,TB,300,300,100.00
20,31,3IINFOLTD,EQ,557111,252362,45.30
20,32,3MINDIA,EQ,2004,1000,49.90
20,33,522GS2025,GS,3248,3248,100.00
20,34,563GS2026,GS,1,1,100.00
20,35,574GS2026,GS,40,20,50.00
20,36,579GS2030,GS,75,75,100.00
20,37,5PAISA,EQ,23215,12846,55.33
20,38,610GS2031,GS,10000,10000,100.00
20,39,622GS2035,GS,6,6,100.00
20,40,63MOONS,EQ,1004423,319780,31.84
20,41,654GS2032,GS,6001,6000,99.98
20,42,663TN35,SG,5000,5000,100.00
20,43,667GS2035,GS,2020,2020,100.00
20,44,689GS2025,GS,1000,1000,100.00
20,45,68GS2060,GS,10,10,100.00
20,46,695GS2061,GS,10248,10248,100.00
20,47,697GR2034,GS,100,100,100.00
20,48,699GS2026,GS,4100,4100,100.00
20,49,699GS2051,GS,52,52,100.00
20,50,702GS2027,GS,1200,1001,83.42
20,51,702GS2031,GS,10121,10121,100.00
20,52,704GS2029,GS,9814,8814,89.81
20,53,709GS2054,GS,2387,2287,95.81
20,54,709GS2074,GS,200,100,50.00
20,55,710GS2029,GS,18599,17595,94.60
20,56,717GS2028,GS,100,100,100.00
20,57,717GS2030,GS,2460,2360,95.93
20,58,718GS2037,GS,14200,14200,100.00
20,59,719GS2060,GS,6,6,100.00
20,60,723GS2039,GS,100,100,100.00
20,61,725GS2063,GS,45407,45295,99.75
20,62,726GS2032,GS,259999,259769,99.91
20,63,726GS2033,GS,7500,7500,100.00
20,64,727GS2026,GS,202,202,100.00
20,65,728IRFC30,NG,1499,1499,100.00
20,66,729IRFC26,NN,17,17,100.00
20,67,729KA36,SG,10000,10000,100.00
20,68,732IRFC25,NI,196,196,100.00
20,69,733GS2026,GS,700,700,100.00
