Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30102024,1581935144,0002517
Trade Date <30-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ICCL28,NX,10,10,100.00
20,2,1003IIFL29,NC,1,1,100.00
20,3,1003ISFL28,N4,24,24,100.00
20,4,1015ECL29,NR,330,320,96.97
20,5,1015UCL26,N1,25,25,100.00
20,6,1018GS2026,GS,12445,12445,100.00
20,7,1025SCL34A,ZT,20,20,100.00
20,8,1025SCL34B,N1,800,800,100.00
20,9,1035UCL26,NA,10,10,100.00
20,10,1040UCL25,N4,1,1,100.00
20,11,1040UCL27B,N1,150,150,100.00
20,12,1049DLS25A,Y5,62,62,100.00
20,13,1050NFL26,N7,8,8,100.00
20,14,1050UCL25,N7,1,1,100.00
20,15,105IIFL29,N7,65,65,100.00
20,16,1060ECL29,NS,1,1,100.00
20,17,1065NFL27,NC,170,170,100.00
20,18,1075NFL25,N6,32,32,100.00
20,19,1075UCL25,N9,2,2,100.00
20,20,1090NFL26,NB,10,10,100.00
20,21,10IFSL26,N7,30,30,100.00
20,22,10IIFL28,N4,1984,1649,83.11
20,23,10IIFL29,N6,324,324,100.00
20,24,10ISFL26,N3,10,5,50.00
20,25,10NFL25,N9,510,510,100.00
20,26,10SCL30A,BV,9,9,100.00
20,27,182D071124,TB,100,100,100.00
20,28,182D100425,TB,100,100,100.00
20,29,182D141124,TB,200,200,100.00
20,30,182D170125,TB,800,800,100.00
20,31,182D221124,TB,700,700,100.00
20,32,182D281124,TB,200,200,100.00
20,33,360ONE,EQ,331634,170946,51.55
20,34,364D060325,TB,2100,2100,100.00
20,35,364D110925,TB,7000,7000,100.00
20,36,364D120625,TB,1000,1000,100.00
20,37,364D161025,TB,100,100,100.00
20,38,364D261224,TB,17000,17000,100.00
20,39,3IINFOLTD,EQ,659143,391263,59.36
20,40,3MINDIA,EQ,6014,1928,32.06
20,41,515GS2025,GS,8,8,100.00
20,42,574GS2026,GS,7,5,71.43
20,43,5PAISA,EQ,45257,17810,39.35
20,44,619GS2034,GS,3,2,66.67
20,45,63MOONS,EQ,556122,184605,33.20
20,46,654GS2032,GS,413,413,100.00
20,47,667GS2035,GS,6,6,100.00
20,48,679GS2034,GS,11000,11000,100.00
20,49,68GS2060,GS,2,2,100.00
20,50,699GS2026,GS,2000,2000,100.00
20,51,699GS2051,GS,100,100,100.00
20,52,702GS2027,GS,800,800,100.00
20,53,702GS2031,GS,801,801,100.00
20,54,704GS2029,GS,600,600,100.00
20,55,704IRFC28,N6,9,9,100.00
20,56,709GS2054,GS,500,500,100.00
20,57,710GS2029,GS,2822,2822,100.00
20,58,716GS2050,GS,810,800,98.77
20,59,717GS2030,GS,16700,15300,91.62
20,60,718GS2033,GS,10200,10000,98.04
20,61,718GS2037,GS,13432,7323,54.52
20,62,71GS2034,GS,875,875,100.00
20,63,726GS2032,GS,34513,29000,84.03
20,64,733GS2026,GS,26601,25400,95.49
20,65,734GS2064,GS,164,164,100.00
20,66,735IRFC31,NM,308,308,100.00
20,67,736GS2052,GS,1000,1000,100.00
20,68,737GS2028,GS,897,800,89.19
20,69,738GS2027,GS,114603,114603,100.00
20,70,738REC27TF,N2,100,100,100.00
20,71,73GS2053,GS,8801,8601,97.73
20,72,740IIFCL33,N1,168,168,100.00
20,73,741GS2036,GS,28089,27977,99.60
20,74,746GS2073,GS,990,990,100.00
20,75,750IRFC35,NK,58,58,100.00
20,76,753IRFC30,NJ,1291,1091,84.51
20,77,753NTPC30E,NC,186,176,94.62
20,78,754GS2036,GS,277420,272414,98.20
20,79,756TN53A,SG,200,100,50.00
20,80,758GJ32,SG,200,200,100.00
20,81,759GS2026,GS,12,12,100.00
20,82,762NTPC35F,ND,168,168,100.00
20,83,764HUDCO31,N8,500,500,100.00
20,84,764IRFC31,NO,420,420,100.00
20,85,764NABAR31,N2,1470,1370,93.20
20,86,765UP34,SG,200,200,100.00
20,87,769HUDCO31,N9,597,570,95.48
20,88,769NHAI31,NE,2380,1911,80.29
20,89,76NHAI31,NA,3662,3562,97.27
20,90,772GS2049,GS,1,1,100.00
20,91,795GS2032,GS,23,23,100.00
20,92,797IGT31,NL,1,1,100.00
20,93,79NHIT35,N1,1349,1341,99.41
20,94,79NHIT40,N2,208,208,100.00
20,95,79NHIT47,N3,907,907,100.00
20,96,801TCH25,N4,85,70,82.35
20,97,810IRFC27,N2,1180,1180,100.00
20,98,812REC27,NI,135,135,100.00
20,99,81ABFL33,N5,89,89,100.00
20,100,825IIFL25,N7,60,60,100.00
20,101,829LTF24,NL,1,1,100.00
20,102,82HUDCO27,N2,2248,749,33.32
20,103,830NHAI27,N2,484,442,91.32
20,104,830PFCL27,N5,1820,1820,100.00
20,105,833GS2036,GS,4750,4750,100.00
20,106,835SCL23B,YM,25,25,100.00
20,107,83TCHF25,N6,30,30,100.00
20,108,842IIFL26,NL,320,320,100.00
20,109,843IHFL29,NC,45,45,100.00
20,110,849NTPC25,N7,27102,27102,100.00
20,111,850NHAI29,N5,100,100,100.00
20,112,851HUDCO28,NB,400,400,100.00
20,113,865IFL28,NZ,11,11,100.00
20,114,865IIFL28,NS,2813,2503,88.98
20,115,865IRFC29,NA,1,1,100.00
20,116,865TCAPS27,N8,926,594,64.15
20,117,866SCFL25,Y8,8,8,100.00
20,118,871REC28,N9,2366,2306,97.46
20,119,872MMFSL26,N1,20,20,100.00
20,120,875IHFL29,ND,50,50,100.00
20,121,875NHAI29,N6,514,505,98.25
20,122,876HUDCO28,ND,2234,2213,99.06
20,123,879NHPC28,N5,1,1,100.00
20,124,880IREDA29,N5,328,327,99.70
20,125,885TCAPS29,NC,60,60,100.00
20,126,888ERFL28,N5,830,830,100.00
20,127,888IRFC29,NE,4123,3249,78.80
20,128,888REC29,NF,5,5,100.00
20,129,891IIFCL34,N4,804,630,78.36
20,130,892PFCL33,N8,1865,1600,85.79
20,131,893NHB29,N6,367,192,52.32
20,132,897MOFSL29,N4,12,12,100.00
20,133,898LTF29,N7,715,500,69.93
20,134,901HUDCO34,NE,3162,2936,92.85
20,135,901NHB34,N6,61,57,93.44
20,136,903SFL28,YI,10,10,100.00
20,137,905LTF27,NF,110,90,81.82
20,138,91D051224,TB,100,100,100.00
20,139,91D090125,TB,200,100,50.00
20,140,91D121224,TB,100,100,100.00
20,141,91D211124,TB,2800,2800,100.00
20,142,91D281124,TB,100,100,100.00
20,143,921ISFL25,N0,25,25,100.00
20,144,92GS2030,GS,11705,11705,100.00
20,145,930SFL28,YP,18,15,83.33
20,146,932AEL27,N3,20,20,100.00
20,147,93MOFSL34,N6,20,20,100.00
20,148,943ECL28,NJ,1141,1141,100.00
20,149,948SCL26A,NN,20,20,100.00
20,150,94SFL28,YL,314,314,100.00
20,151,956AEL29,N6,70,70,100.00
20,152,957ICCL25,YW,210,210,100.00
20,153,965AEL27,N4,4328,4328,100.00
20,154,965IFSL26,N6,1,1,100.00
20,155,965SCL25E,BF,10,10,100.00
20,156,96IIFL28,N5,380,380,100.00
20,157,96IIFL28A,NF,27,27,100.00
20,158,970CAGL28,ND,420,420,100.00
20,159,971SCL28,AN,5,5,100.00
20,160,971SCL28A,NT,102,102,100.00
20,161,985ECL28,NK,150,100,66.67
20,162,985IIFL22,NC,30,30,100.00
20,163,990SCL26,N7,114,94,82.46
20,164,990SCL26A,NL,50,50,100.00
20,165,990SCL27,YT,2,2,100.00
20,166,99AEL29,N7,881,881,100.00
20,167,99IFCI24,NH,249,249,100.00
20,168,9IIFL28,Y0,50,40,80.00
20,169,9IIFL28A,NT,80,80,100.00
20,170,9MMFSML,N2,25,25,100.00
20,171,9PCHFL31A,NA,40,40,100.00
20,172,A2ZINFRA,EQ,226858,132740,58.51
20,173,AAATECH,EQ,22095,10059,45.53
20,174,AADHARHFC,EQ,738542,366745,49.66
20,175,AAKASH,EQ,129309,86384,66.80
20,176,AARON,EQ,6568,3629,55.25
20,177,AARTECH,EQ,47652,29543,62.00
20,178,AARTIDRUGS,EQ,62594,29453,47.05
20,179,AARTIIND,EQ,846325,325210,38.43
20,180,AARTIPHARM,EQ,171605,72852,42.45
20,181,AARVI,EQ,18588,5990,32.23
20,182,AATMAJ,SM,6000,6000,100.00
20,183,AAVAS,EQ,77769,35430,45.56
20,184,ABAN,EQ,52300,39249,75.05
20,185,ABB,EQ,262509,98717,37.61
20,186,ABBOTINDIA,EQ,3118,809,25.95
20,187,ABCAPITAL,EQ,29299209,8144584,27.80
20,188,ABCOTS,ST,500,500,100.00
20,189,ABDL,EQ,3487032,1187866,34.07
20,190,ABFRL,EQ,2733312,930877,34.06
20,191,ABGSEC,EQ,95,90,94.74
20,192,ABINFRA,ST,4000,4000,100.00
20,193,ABMINTLLTD,EQ,1703,1703,100.00
20,194,ABREL,EQ,117948,53673,45.51
20,195,ABSLAMC,EQ,338491,140434,41.49
20,196,ABSLBANETF,EQ,24393,13205,54.13
20,197,ABSLLIQUID,EQ,15623,13554,86.76
20,198,ABSLNN50ET,EQ,25955,23591,90.89
20,199,ABSLPSE,EQ,198886,143434,72.12
20,200,ABSMARINE,SM,70000,53000,75.71
20,201,ACC,EQ,295110,90369,30.62
20,202,ACCELYA,EQ,9907,5489,55.41
20,203,ACCENTMIC,SM,16500,12500,75.76
20,204,ACCURACY,EQ,217446,167238,76.91
20,205,ACE,EQ,1533121,276917,18.06
20,206,ACEINTEG,EQ,11698,5254,44.91
20,207,ACI,EQ,250963,67853,27.04
20,208,ACL,EQ,22199,14802,66.68
20,209,ACLGATI,EQ,334166,133837,40.05
20,210,ACSAL,ST,24000,24000,100.00
20,211,ADANIENSOL,EQ,1785038,690628,38.69
20,212,ADANIENT,EQ,2884272,598660,20.76
20,213,ADANIGREEN,EQ,713381,250346,35.09
20,214,ADANIPORTS,EQ,2526884,710646,28.12
20,215,ADANIPOWER,EQ,1808791,595139,32.90
20,216,ADFFOODS,EQ,203000,54850,27.02
20,217,ADORWELD,EQ,7881,4162,52.81
20,218,ADROITINFO,EQ,57365,28169,49.10
20,219,ADROITPP1,E1,29294,18166,62.01
20,220,ADSL,EQ,582600,300801,51.63
20,221,ADVANIHOTR,EQ,31611,15061,47.64
20,222,ADVENZYMES,EQ,83922,34513,41.13
20,223,AEGISLOG,EQ,186873,89082,47.67
20,224,AEROFLEX,EQ,1525131,565388,37.07
20,225,AERON,SM,21000,17000,80.95
20,226,AESTHETIK,SM,52000,20000,38.46
20,227,AETHER,EQ,33248,14299,43.01
20,228,AFFLE,EQ,137786,76311,55.38
20,229,AFFORDABLE,EQ,22834,13167,57.66
20,230,AFIL,EQ,29005,11937,41.15
20,231,AGARIND,EQ,21616,12718,58.84
20,232,AGARWALFT,SM,75000,51000,68.00
20,233,AGI,EQ,140751,55268,39.27
20,234,AGIIL,EQ,13018,6606,50.75
20,235,AGNI,SM,67500,37500,55.56
20,236,AGRITECH,EQ,12570,7589,60.37
20,237,AGROPHOS,EQ,297109,91320,30.74
20,238,AGSTRA,EQ,662229,274811,41.50
20,239,AHIMSA,ST,6000,6000,100.00
20,240,AHL,EQ,148562,29083,19.58
20,241,AHLADA,EQ,17238,6148,35.67
20,242,AHLEAST,EQ,12325,4806,38.99
20,243,AHLUCONT,EQ,45215,25123,55.56
20,244,AIAENG,EQ,127016,29482,23.21
20,245,AIIL,EQ,215376,94540,43.90
20,246,AILIMITED,ST,21000,21000,100.00
20,247,AIMTRON,ST,40800,40000,98.04
20,248,AIROLAM,EQ,65707,42308,64.39
20,249,AIRTELPP,E1,79557,49185,61.82
20,250,AISL,ST,7200,6000,83.33
20,251,AJANTPHARM,EQ,126525,76791,60.69
20,252,AJMERA,EQ,216698,66871,30.86
20,253,AKANKSHA,SM,70000,40000,57.14
20,254,AKASH,EQ,54908,9244,16.84
20,255,AKG,EQ,21023,17715,84.26
20,256,AKI,EQ,17488,10288,58.83
20,257,AKIKO,SM,17600,16000,90.91
20,258,AKSHARCHEM,EQ,2827,1496,52.92
20,259,AKSHOPTFBR,EQ,515869,312283,60.54
20,260,AKUMS,EQ,88614,42052,47.46
20,261,AKZOINDIA,EQ,5858,2629,44.88
20,262,ALANKIT,EQ,690821,306172,44.32
20,263,ALEMBICLTD,EQ,574486,212227,36.94
20,264,ALICON,EQ,8145,3733,45.83
20,265,ALKALI,EQ,14435,6453,44.70
20,266,ALKEM,EQ,132445,58196,43.94
20,267,ALKYLAMINE,EQ,35532,14108,39.71
20,268,ALLCARGO,EQ,1644274,769853,46.82
20,269,ALLDIGI,EQ,38794,25562,65.89
20,270,ALLETEC,SM,92000,54400,59.13
20,271,ALOKINDS,EQ,8711985,2302835,26.43
20,272,ALPEXSOLAR,SM,88800,46400,52.25
20,273,ALPHA,EQ,988505,650400,65.80
20,274,ALPHAETF,EQ,859138,724909,84.38
20,275,ALPHAGEO,EQ,5449,3178,58.32
20,276,ALPL30IETF,EQ,8011644,7362789,91.90
20,277,ALUWIND,ST,30000,30000,100.00
20,278,AMBER,EQ,779342,102938,13.21
20,279,AMBEY,SM,22000,16000,72.73
20,280,AMBICAAGAR,EQ,37842,2732,7.22
20,281,AMBIKCO,EQ,10755,6217,57.81
20,282,AMBUJACEM,EQ,2364199,1288216,54.49
20,283,AMDIND,EQ,23790,8397,35.30
20,284,AMEYA,ST,26000,22000,84.62
20,285,AMIABLE,SM,8000,4800,60.00
20,286,AMIORG,EQ,1786855,360435,20.17
20,287,AMJLAND,EQ,61724,28576,46.30
20,288,AMNPLST,EQ,5200,3064,58.92
20,289,AMRUTANJAN,EQ,24383,14450,59.26
20,290,ANANDRATHI,EQ,50167,22260,44.37
20,291,ANANTRAJ,EQ,484206,194769,40.22
20,292,ANDHRAPAP,EQ,117921,52356,44.40
20,293,ANDHRSUGAR,EQ,263026,88566,33.67
20,294,ANGELONE,EQ,2227229,433326,19.46
20,295,ANLON,SM,7200,6400,88.89
20,296,ANMOL,EQ,73838,26546,35.95
20,297,ANNAPURNA,SM,77500,72000,92.90
20,298,ANUP,EQ,106888,31432,29.41
20,299,ANURAS,EQ,212469,89214,41.99
20,300,APARINDS,EQ,64287,25005,38.90
20,301,APCL,EQ,5864,3978,67.84
20,302,APCOTEXIND,EQ,25893,16681,64.42
20,303,APEX,EQ,78523,43485,55.38
20,304,APLAPOLLO,EQ,1435351,1056074,73.58
20,305,APLLTD,EQ,47606,20525,43.11
20,306,APOLLO,EQ,2488434,824121,33.12
20,307,APOLLOHOSP,EQ,191699,112121,58.49
20,308,APOLLOPIPE,EQ,39302,17987,45.77
20,309,APOLLOTYRE,EQ,1207029,332871,27.58
20,310,APOLSINHOT,EQ,8842,5394,61.00
20,311,APRAMEYA,SM,56000,46000,82.14
20,312,APS,ST,53000,52500,99.06
20,313,APTECHT,EQ,229501,77016,33.56
20,314,APTUS,EQ,1237672,716938,57.93
20,315,ARABIAN,SM,10000,8000,80.00
20,316,ARCHIDPLY,EQ,29683,19909,67.07
20,317,ARE&M,EQ,413585,150443,36.38
20,318,ARHAM,SM,30000,22000,73.33
20,319,ARIES,EQ,27114,10584,39.04
20,320,ARIHANTACA,ST,8000,8000,100.00
20,321,ARIHANTCAP,EQ,319952,112034,35.02
20,322,ARIHANTSUP,EQ,70925,48715,68.69
20,323,ARISTO,SM,4800,3200,66.67
20,324,ARKADE,EQ,1019892,359903,35.29
20,325,ARMANFIN,EQ,41572,23875,57.43
20,326,AROGRANITE,EQ,39140,15405,39.36
20,327,ARROWGREEN,EQ,51967,33064,63.62
20,328,ARTEMISMED,EQ,114459,79766,69.69
