Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03102023,1406460155,0002214
Trade Date <03-OCT-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D070324,TB,10600,10600,100.00
20,2,182D121023,TB,100,100,100.00
20,3,182D191023,TB,1000,1000,100.00
20,4,182D220224,TB,100,100,100.00
20,5,182D290224,TB,3000,3000,100.00
20,6,182D290324,TB,1100,600,54.55
20,7,21STCENMGM,EQ,4453,4123,92.59
20,8,360ONE,EQ,164712,113860,69.13
20,9,364D050924,TB,1200,1200,100.00
20,10,364D071223,TB,500,500,100.00
20,11,364D140324,TB,800,400,50.00
20,12,364D270924,TB,300,200,66.67
20,13,364D290324,TB,1000,1000,100.00
20,14,3IINFOLTD,EQ,1905972,880204,46.18
20,15,3MINDIA,EQ,1746,748,42.84
20,16,3PLAND,EQ,29599,23071,77.95
20,17,515GS2025,GS,156,156,100.00
20,18,522GS2025,GS,5027,5025,99.96
20,19,574GS2026,GS,100,100,100.00
20,20,585GS2030,GS,10400,10000,96.15
20,21,5PAISA,EQ,87557,53530,61.14
20,22,622GS2035,GS,8400,8400,100.00
20,23,63MOONS,EQ,43673,26931,61.67
20,24,654GS2032,GS,10004,10002,99.98
20,25,667GS2035,GS,1,1,100.00
20,26,667GS2050,GS,2269,2269,100.00
20,27,669GS2024,GS,318910,316400,99.21
20,28,68GS2060,GS,833,833,100.00
20,29,699GS2026,GS,19700,19700,100.00
20,30,699GS2051,GS,41,31,75.61
20,31,706GS2028,GS,16348,16348,100.00
20,32,710GS2029,GS,2332,2332,100.00
20,33,717GS2030,GS,700,700,100.00
20,34,718GS2033,GS,4250,4250,100.00
20,35,718GS2037,GS,300,300,100.00
20,36,725GS2063,GS,901,901,100.00
20,37,726GS2029,GS,174,87,50.00
20,38,726GS2032,GS,24947,24947,100.00
20,39,726GS2033,GS,1650,1650,100.00
20,40,727GS2026,GS,3,3,100.00
20,41,732GS2024,GS,1,1,100.00
20,42,736GS2052,GS,11546,11545,99.99
20,43,738GS2027,GS,310633,310632,100.00
20,44,73GS2053,GS,6752,5150,76.27
20,45,741GS2036,GS,8317,8317,100.00
20,46,74GS2062,GS,225,225,100.00
20,47,754GS2036,GS,536450,536418,99.99
20,48,757GS2033,GS,1000,1000,100.00
20,49,768GS2023,GS,200,100,50.00
20,50,83GS2042,GS,990,990,100.00
20,51,91D071223,TB,1000,1000,100.00
20,52,91D091123,TB,100,100,100.00
20,53,91D191023,TB,200,200,100.00
20,54,91D211223,TB,500,300,60.00
20,55,91D291223,TB,100,100,100.00
20,56,92GS2030,GS,15750,15750,100.00
20,57,AAATECH,EQ,19937,9967,49.99
20,58,AARTIDRUGS,EQ,192802,104218,54.05
20,59,AARTIIND,EQ,859191,399171,46.46
20,60,AARTIPHARM,EQ,232667,153206,65.85
20,61,AARTIPP,E1,42,39,92.86
20,62,AARTISURF,EQ,9091,5196,57.16
20,63,AARVEEDEN,EQ,12961,7131,55.02
20,64,AARVI,EQ,7300,5714,78.27
20,65,AATMAJ,SM,30000,24000,80.00
20,66,AAVAS,EQ,348661,224007,64.25
20,67,ABAN,EQ,227516,143806,63.21
20,68,ABB,EQ,303772,185776,61.16
20,69,ABBOTINDIA,EQ,13820,7425,53.73
20,70,ABCAPITAL,EQ,2422083,1145236,47.28
20,71,ABCOTS,SM,4000,4000,100.00
20,72,ABFRL,EQ,1889920,948085,50.17
20,73,ABSLAMC,EQ,81480,48385,59.38
20,74,ABSLBANETF,EQ,204514,193947,94.83
20,75,ABSLLIQUID,EQ,4008,4008,100.00
20,76,ABSLNN50ET,EQ,55095,45570,82.71
20,77,ACC,EQ,248293,97232,39.16
20,78,ACCELYA,EQ,108265,42503,39.26
20,79,ACE,EQ,213036,126325,59.30
20,80,ACEINTEG,EQ,461,434,94.14
20,81,ACI,EQ,214693,114766,53.46
