Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092023,2097919698,0002152
Trade Date <18-SEP-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,15,15,100.00
20,2,182D070324,TB,5000,5000,100.00
20,3,182D121023,TB,30500,30500,100.00
20,4,182D191023,TB,1000,1000,100.00
20,5,182D211223,TB,5000,5000,100.00
20,6,21STCENMGM,EQ,6471,6239,96.41
20,7,360ONE,EQ,203337,113148,55.65
20,8,364D040124,TB,400,400,100.00
20,9,364D051023,TB,100,100,100.00
20,10,364D060624,TB,100,100,100.00
20,11,364D090524,TB,100,100,100.00
20,12,364D110424,TB,300,300,100.00
20,13,364D210923,TB,64200,64200,100.00
20,14,364D301123,TB,2300,2300,100.00
20,15,3IINFOLTD,EQ,589615,266758,45.24
20,16,3MINDIA,EQ,1781,731,41.04
20,17,3PLAND,EQ,24777,12894,52.04
20,18,456GS2023,GS,69,39,56.52
20,19,563GS2026,GS,12,6,50.00
20,20,574GS2026,GS,100,100,100.00
20,21,5PAISA,EQ,35340,17423,49.30
20,22,610GS2031,GS,14,14,100.00
20,23,618GS2024,GS,10,10,100.00
20,24,63MOONS,EQ,65861,31918,48.46
20,25,654GS2032,GS,1002,1002,100.00
20,26,667GS2035,GS,6520,6509,99.83
20,27,669GS2024,GS,803,703,87.55
20,28,676GS2061,GS,2,2,100.00
20,29,68GS2060,GS,3,3,100.00
20,30,699GS2051,GS,1702,1702,100.00
20,31,706GS2028,GS,1401,1400,99.93
20,32,710GS2029,GS,2501,2501,100.00
20,33,717GS2030,GS,3756,3756,100.00
20,34,718GS2037,GS,14885,6135,41.22
20,35,725GS2063,GS,5701,5701,100.00
20,36,726GS2032,GS,130285,130285,100.00
20,37,726GS2033,GS,3,3,100.00
20,38,736GS2052,GS,2331,2331,100.00
20,39,738GS2027,GS,151991,116654,76.75
20,40,73GS2053,GS,100,100,100.00
20,41,741GS2036,GS,3282,3282,100.00
20,42,744AP33,SG,100,100,100.00
20,43,74GS2062,GS,21,21,100.00
20,44,754GS2036,GS,184550,165464,89.66
20,45,772GS2055,GS,1,1,100.00
20,46,828GS2032,GS,2,1,50.00
20,47,82GS2025,GS,104,104,100.00
20,48,91D021123,TB,100,100,100.00
20,49,91D071223,TB,16200,16200,100.00
20,50,91D141223,TB,1200,1200,100.00
20,51,91D171123,TB,1300,1300,100.00
20,52,91D210923,TB,6000,6000,100.00
20,53,91D261023,TB,100,100,100.00
20,54,91D290923,TB,10000,10000,100.00
20,55,AAATECH,EQ,78334,21964,28.04
20,56,AARTIDRUGS,EQ,234072,81017,34.61
20,57,AARTIIND,EQ,1158369,443726,38.31
20,58,AARTIPHARM,EQ,175629,90391,51.47
20,59,AARTIPP,E1,21,20,95.24
20,60,AARTISURF,EQ,11361,6029,53.07
20,61,AARVEEDEN,EQ,139031,54247,39.02
20,62,AARVI,EQ,9953,6436,64.66
20,63,AATMAJ,SM,56000,52000,92.86
20,64,AAVAS,EQ,66762,33352,49.96
20,65,ABAN,EQ,88584,47179,53.26
20,66,ABB,EQ,105351,42088,39.95
20,67,ABBOTINDIA,EQ,18594,8480,45.61
20,68,ABCAPITAL,EQ,3600058,1001999,27.83
20,69,ABFRL,EQ,1951447,747430,38.30
20,70,ABINFRA,SM,8000,8000,100.00
20,71,ABSLAMC,EQ,95905,50413,52.57
20,72,ABSLBANETF,EQ,19577,12005,61.32
20,73,ABSLLIQUID,EQ,1562,151,9.67
20,74,ABSLNN50ET,EQ,3063,2279,74.40
20,75,ACC,EQ,231014,101278,43.84
20,76,ACCELYA,EQ,23371,13108,56.09
20,77,ACE,EQ,257754,94824,36.79
20,78,ACI,EQ,201679,116573,57.80
20,79,ADANIENSOL,EQ,6408916,3190183,49.78
20,80,ADANIENT,EQ,861677,226721,26.31
20,81,ADANIGREEN,EQ,5210864,3456659,66.34
20,82,ADANIPORTS,EQ,2801202,1102404,39.35
20,83,ADANIPOWER,EQ,20351913,11115660,54.62
20,84,ADFFOODS,EQ,146155,69031,47.23
20,85,ADORWELD,EQ,25436,11922,46.87
20,86,ADROITINFO,EQ,1391743,855838,61.49
20,87,ADSL,EQ,230183,113529,49.32
20,88,ADVANIHOTR,EQ,28414,13767,48.45
20,89,ADVENZYMES,EQ,95480,45930,48.10
20,90,AEGISCHEM,EQ,1131041,241061,21.31
20,91,AEROFLEX,EQ,417796,195625,46.82
20,92,AETHER,EQ,30487,18334,60.14
20,93,AFFLE,EQ,198259,84570,42.66
20,94,AGARIND,EQ,163253,65547,40.15
20,95,AGARWALFT,SM,24000,21000,87.50
20,96,AGI,EQ,390326,187990,48.16
20,97,AGNI,SM,30000,20000,66.67
20,98,AGROPHOS,EQ,44815,28201,62.93
20,99,AGSTRA,EQ,195254,113378,58.07
20,100,AGUL,SM,14000,10000,71.43
20,101,AHL,EQ,527387,83182,15.77
20,102,AHLADA,EQ,19317,8024,41.54
20,103,AHLEAST,EQ,14210,7040,49.54
20,104,AHLUCONT,EQ,43172,24083,55.78
20,105,AIAENG,EQ,36120,16967,46.97
20,106,AILIMITED,SM,6000,6000,100.00
20,107,AIRAN,EQ,697874,142883,20.47
20,108,AIRTELPP,E1,1111595,626605,56.37
20,109,AISL,SM,1200,1200,100.00
20,110,AJANTPHARM,EQ,192742,94217,48.88
20,111,AJMERA,EQ,47562,23379,49.15
20,112,AJOONI,EQ,862613,688696,79.84
20,113,AKASH,EQ,67500,22150,32.81
20,114,AKG,EQ,11228,8731,77.76
20,115,AKSHARCHEM,EQ,46508,24628,52.95
